rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,site_vs30,site_z2pt5,result_type,damping,pgd,pgv,pga,0.01,0.20,0.50,1.00,3.00,5.00
4.00,90.00,0.00,0.00,30.00,29.60,500.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.76558E-01,4.76558E-01,5.32351E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,50.00,49.70,500.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77292E-01,4.77292E-01,5.33191E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,100.00,99.90,500.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77736E-01,4.77736E-01,5.33698E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,200.00,199.90,500.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77902E-01,4.77902E-01,5.33888E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,5.00,0.00,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.76152E-01,4.76152E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,10.00,8.70,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.76959E-01,4.76959E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,15.00,14.10,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77346E-01,4.77346E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,30.00,29.60,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77737E-01,4.77737E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,50.00,49.70,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77871E-01,4.77871E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,100.00,99.90,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77952E-01,4.77952E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,200.00,199.90,760.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.77982E-01,4.77982E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,5.00,0.00,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,10.00,8.70,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,15.00,14.10,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,30.00,29.60,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,50.00,49.70,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,100.00,99.90,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,200.00,199.90,1100.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,5.00,0.00,1500.00,0.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.78000E-01,4.78000E-01,5.34000E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
