"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,1.43155966943599,0.181475738486029
"2",5,0.01,1.43135836957963,0.181475738486029
"3",5,0.02,1.43086845561645,0.181475738486029
"4",5,0.03,1.43050131948062,0.181475738486029
"5",5,0.04,1.43020483602828,0.181475738486029
"6",5,0.05,1.42995614481182,0.181475738486029
"7",5,0.06,1.42974267279375,0.181475738486029
"8",5,0.07,1.42955658334952,0.181475738486029
"9",5,0.08,1.42939258254863,0.181475738486029
"10",5,0.09,1.42924688662018,0.181475738486029
"11",5,0.1,1.42911667577101,0.181475738486029
"12",5,0.11,1.42899977985197,0.181475738486029
"13",5,0.12,1.42889448548504,0.181475738486029
"14",5,0.13,1.42879941159022,0.181475738486029
"15",5,0.14,1.42871342570355,0.181475738486029
"16",5,0.15,1.42863558578395,0.181475738486029
"17",5,0.16,1.42856509857686,0.181475738486029
"18",5,0.17,1.4285012890915,0.181475738486029
"19",5,0.18,1.42844357775043,0.181475738486029
"20",5,0.19,1.42839146296652,0.181475738486029
"21",5,0.2,1.42834450764184,0.181475738486029
"22",5,0.21,1.42830232855479,0.181475738486029
"23",5,0.22,1.42826458790985,0.181475738486029
"24",5,0.23,1.42823098653141,0.181475738486029
"25",5,0.24,1.42820125832433,0.181475738486029
"26",5,0.25,1.42817516572259,0.181475738486029
"27",5,0.26,1.42815249591728,0.181475738486029
"28",5,0.27,1.42813305770563,0.181475738486029
"29",5,0.28,1.42811667883965,0.181475738486029
"30",5,0.29,1.42810320377986,0.181475738486029
"31",5,0.3,1.4280924917806,0.181475738486029
"32",5,0.31,1.42808441524821,0.181475738486029
"33",5,0.32,1.42807885832581,0.181475738486029
"34",5,0.33,1.42807571566701,0.181475738486029
"35",5,0.34,1.42807489136849,0.181475738486029
"36",5,0.35,1.42807629803655,0.181475738486029
"37",5,0.36,1.42807985596755,0.181475738486029
"38",5,0.37,1.42808549242538,0.181475738486029
"39",5,0.38,1.42809314100218,0.181475738486029
"40",5,0.39,1.42810274105061,0.181475738486029
"41",5,0.4,1.42811423717811,0.181475738486029
"42",5,0.41,1.42812757879477,0.181475738486029
"43",5,0.42,1.428142719708,0.181475738486029
"44",5,0.43,1.42815961775808,0.181475738486029
"45",5,0.44,1.42817823448948,0.181475738486029
"46",5,0.45,1.42819853485374,0.181475738486029
"47",5,0.46,1.42822048694004,0.181475738486029
