style,c_0,c_1,c_2,c_3,c_5,c_6,c_7,M_1,c_10,c_11,c_12,c_13,c_14,c_14a,c_15,c_16,c_17,c_17a,c_18,c_19,c_20,c_21,c_22,c_23,c_24a,c_24b,c_24c,c_25,c_26a,c_26b,c_26c,b_0,b_1,b_2,b_3,b_4,b_5,phi_b2,tau_b2,rho_b2,e_1,e_2,e_3,e_4
normal,0.272,0.913,-2.128,1.15,0.7,-0.262,0.033,6.25,-0.406,-8.205,-165,-1372,-3013,-0.904,-0.44,0.0767,0.0275,0.00276,-0.215,0.043,0.00574,-0.082,0.027,-0.0088,0.02,0,0.0247,0.6,0.162,0.084,0.008,-3.24,9.105,-0.097,0.286,1.195,-1.526,0.11,0.05,-0.15,0.326,0.41,-0.0166,0.0244
strike-slip,0.272,0.913,-2.128,1.15,0.7,-0.314,0.033,6.5,-0.394,-2.95,-64.3,-833,-2145,-1.01,-0.155,0.0263,0.0177,0.00534,-0.201,0.0364,0.0102,-0.135,0.027,0.0063,0.04,0.005,0.00273,0.41,0.153,0.017,0.00312,0.867,3.767,-0.048,0.191,1.058,-1.418,0.11,0.05,-0.15,0.326,0.41,-0.0144,-0.0109
reverse,0.272,0.913,-2.128,1.15,-0.2,0,0.033,5,-0.849,8.026,237.2,927,831,-3.555,-0.087,0.0148,0.0087,0.00234,-0.165,0.0304,0.00773,-0.151,0.033,0.0032,0.04,0,0.00843,0.43,0.156,0.031,0.00575,1.65,1.349,-0.062,0.28,0,0,0.11,0.05,-0.15,0.326,0.41,-0.0172,0.0094
