"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,0.30649049047516,0.0596062795238585
"2",5,0.01,0.296765363222661,0.059673303389523
"3",5,0.02,0.29458957689961,0.0597369363238721
"4",5,0.03,0.293317025158433,0.0597970494528576
"5",5,0.04,0.292460462151866,0.0598535217803425
"6",5,0.05,0.291843304062421,0.0599062399485227
"7",5,0.06,0.291380131383368,0.0599550980095916
"8",5,0.07,0.291022878902233,0.0599999972091055
"9",5,0.08,0.290741816327322,0.0600408457814536
"10",5,0.09,0.290517320503781,0.0600775587577885
"11",5,0.1,0.290335813653673,0.0601100577867285
"12",5,0.11,0.290187560309603,0.0601382709681057
"13",5,0.12,0.290065384597537,0.060162132699998
"14",5,0.13,0.289963880778103,0.060181583539254
"15",5,0.14,0.289878905170281,0.0601965700756915
"16",5,0.15,0.289807236917441,0.0602070448201264
"17",5,0.16,0.289746344398542,0.0602129661063679
"18",5,0.17,0.289694220114627,0.0602142980072972
"19",5,0.18,0.289649261316009,0.0602110102651293
"20",5,0.19,0.289610181989839,0.0602030782359438
"21",5,0.2,0.289575946843275,0.060190482848557
"22",5,0.21,0.289545721026025,0.0601732105777961
"23",5,0.22,0.289518831317468,0.0601512534322235
"24",5,0.23,0.289494735798195,0.0601246089563536
"25",5,0.24,0.289472999890722,0.0600932802473903
"26",5,0.25,0.289453277243502,0.0600572759865071
"27",5,0.26,0.28943529434124,0.0600166104846828
"28",5,0.27,0.289418838012905,0.059971303743095
"29",5,0.28,0.289403745215175,0.0599213815280665
"30",5,0.29,0.289389894618847,0.0598668754605456
"31",5,0.3,0.289377199635697,0.059807823120096
"32",5,0.31,0.289365602605094,0.0597442681633526
"33",5,0.32,0.28935506992106,0.0596762604568911
"34",5,0.33,0.289345587927081,0.059603856224441
"35",5,0.34,0.289337159441664,0.0595271182083528
"36",5,0.35,0.289329800805194,0.0594461158452106
"37",5,0.36,0.289323539360129,0.0593609254554582
"38",5,0.37,0.289318411293412,0.0592716304468773
"39",5,0.38,0.289314459783317,0.0591783215317263
"40",5,0.39,0.28931173340355,0.0590810969573151
"41",5,0.4,0.289310284745953,0.0589800627497453
"42",5,0.41,0.289310169230021,0.0588753329705059
"43",5,0.42,0.289311444073042,0.0587670299855562
"44",5,0.43,0.289314167399258,0.0586552847464742
"45",5,0.44,0.289318397470217,0.0585402370831784
"46",5,0.45,0.289324192021636,0.0584220360076597
