"","M","Ustar","sd_med","sd_sigma_T"
"1",5,0,0.821187947940181,0.55210019401027
"2",5,0.01,0.820846428057717,0.553146250311786
"3",5,0.02,0.820842258484641,0.554164713604183
"4",5,0.03,0.820882932404009,0.555155648157134
"5",5,0.04,0.820937019941452,0.556119138838847
"6",5,0.05,0.820994165689819,0.557055289913648
"7",5,0.06,0.821050200778387,0.557964223824814
"8",5,0.07,0.82110337456223,0.558846079965641
"9",5,0.08,0.821153023669509,0.55970101344178
"10",5,0.09,0.821199009836539,0.560529193827835
"11",5,0.1,0.821241454519562,0.561330803921263
"12",5,0.11,0.821280604147097,0.562106038496563
"13",5,0.12,0.821316758426682,0.562855103062728
"14",5,0.13,0.821350231201415,0.563578212626868
"15",5,0.14,0.821381328968913,0.564275590466861
"16",5,0.15,0.821410339343054,0.564947466915828
"17",5,0.16,0.821437525259174,0.565594078161109
"18",5,0.17,0.8214631225495,0.566215665060364
"19",5,0.18,0.821487339506218,0.566812471977291
"20",5,0.19,0.821510357607358,0.567384745639352
"21",5,0.2,0.821532332904512,0.567932734019783
"22",5,0.21,0.821553397764427,0.568456685246037
"23",5,0.22,0.821573662773965,0.568956846536683
"24",5,0.23,0.821593218690688,0.569433463168667
"25",5,0.24,0.821612138367029,0.569886777476685
"26",5,0.25,0.82163047860496,0.570317027886317
"27",5,0.26,0.821648281916586,0.570724447982429
"28",5,0.27,0.821665578177898,0.571109265614212
"29",5,0.28,0.821682386170457,0.571471702038127
"30",5,0.29,0.821698715010535,0.571811971099883
"31",5,0.3,0.821714565468167,0.572130278456477
"32",5,0.31,0.821729931180313,0.572426820839202
"33",5,0.32,0.82174479976329,0.57270178535843
"34",5,0.33,0.821759153830103,0.572955348850886
"35",5,0.34,0.821772971918415,0.573187677270026
"36",5,0.35,0.821786229334825,0.57339892512006
"37",5,0.36,0.821798898920922,0.573589234934081
"38",5,0.37,0.821810951746294,0.573758736796678
"39",5,0.38,0.821822357733344,0.573907547911377
"40",5,0.39,0.821833086218447,0.574035772213172
"41",5,0.4,0.821843106453625,0.574143500026368
"42",5,0.41,0.821852388052615,0.574230807767914
"43",5,0.42,0.821860901384855,0.574297757696372
"44",5,0.43,0.821868617920662,0.574344397706623
