"","c1","c2","c3","alpha","beta","gamma","sigma","s_m,n1","s_m,n2","s_m,n3","lambda"
"238",0.791084,3.49411,0.312072,0.294702,0.971621,4.20287,0.635773,0.513781,0.0744948,9.56371,0.124096
"239",0.903861,2.95337,0.100416,0.277609,0.988964,3.94399,0.641998,0.714355,0.45168,4.07075,0.141102
"240",1.06969,3.69174,1.14362,0.30422,0.993262,4.32865,0.626471,0.852794,0.332571,8.39746,0.116605
"241",0.919321,3.23957,1.73252,0.281439,0.967277,4.09228,0.639877,0.998725,0.274436,17.2394,0.11434
"242",0.819748,2.99968,2.06465,0.285845,0.953442,4.03172,0.636207,0.999946,0.419608,18.3388,0.115289
"243",0.86898,3.25521,1.23202,0.282883,0.994354,4.21786,0.627344,1.10531,0.648456,11.3342,0.102674
"244",0.645281,3.46669,1.78959,0.307012,0.980368,4.252,0.634604,0.636938,0.0926205,13.5849,0.139134
"245",0.941981,2.77879,0.0306982,0.287455,0.973484,4.17453,0.640311,1.05443,0.693817,8.82185,0.114612
"246",0.9939,2.69744,0.445033,0.274635,0.986885,4.05751,0.628769,1.09665,0.641853,19.7926,0.103486
"247",0.80342,2.01521,0.873331,0.271469,0.962027,3.96288,0.640807,0.939369,0.691782,6.49512,0.125141
"248",0.831673,2.23419,0.440008,0.268031,0.974575,3.8748,0.638146,0.694318,0.534203,1.7764,0.131303
"249",0.971341,2.84096,0.590767,0.287804,0.987706,4.16605,0.638971,0.64793,0.0595536,18.6368,0.104495
"250",0.517796,2.27309,1.30835,0.300374,0.992139,4.25659,0.633018,0.60505,0.218243,14.1395,0.12998
"251",0.535554,3.03347,1.09379,0.283888,0.983004,4.06527,0.627927,0.875089,0.526605,18.3993,0.123371
"252",0.572588,3.36902,1.24687,0.279906,0.98161,4.01946,0.636026,0.537289,0.116165,11.3181,0.135314
"253",0.482745,2.77507,1.17371,0.289194,0.992113,3.99083,0.640913,0.830025,0.58958,7.79088,0.104423
"254",0.721819,3.13378,0.694318,0.315815,0.990033,4.34251,0.617061,0.703905,0.377284,22.3578,0.125347
"255",0.693441,3.58174,0.703497,0.303927,0.992347,4.5299,0.648865,0.886816,0.435153,6.17339,0.111688
"256",0.741296,3.61193,0.665095,0.307972,0.983151,4.43541,0.642804,0.959371,0.657771,5.1807,0.12642
"257",0.614056,3.65254,0.628112,0.290672,0.993667,4.30624,0.638468,1.18108,0.948072,2.16651,0.0810626
"258",0.707973,3.29048,0.445491,0.297888,0.975618,4.37213,0.638041,0.811948,0.265366,32.2267,0.12428
"259",0.672744,1.98717,1.47347,0.288416,0.994456,4.20485,0.641845,0.908723,0.450259,5.54668,0.116574
"260",0.376499,1.83818,1.59268,0.28364,0.985809,4.10303,0.626962,0.693738,0.177483,19.555,0.129171
"261",0.248317,1.58833,1.89137,0.295341,0.968903,4.19763,0.647532,0.527492,0.0380071,14.8864,0.116917
"262",0.785139,2.82291,0.304393,0.296031,0.998574,4.30801,0.626564,1.33118,1.08606,3.1521,0.100594
"263",0.732315,2.75671,0.344055,0.297693,0.99829,4.36192,0.626527,1.46127,1.11774,4.21392,0.100256
"264",0.89704,3.15074,0.307296,0.317636,0.997018,4.51226,0.633036,1.04494,0.290438,23.5371,0.115189
"265",0.854036,2.45395,0.819747,0.27258,0.963271,3.93923,0.631362,0.519046,0.35225,2.15841,0.115876
"266",1.12071,3.53926,0.713871,0.306823,0.989052,4.31328,0.621444,0.793932,0.476821,2.96628,0.125138
"267",1.05693,3.1294,0.52989,0.297189,0.994867,4.27892,0.641865,0.520671,0.203659,15.523,0.115825
"268",0.881321,2.91292,0.535588,0.299801,0.978736,4.2711,0.626462,0.968775,0.600595,14.5455,0.103619
"269",0.725438,2.43467,1.07759,0.301614,0.994583,4.25124,0.646136,0.90566,0.573339,4.84094,0.119873
"270",0.737514,3.65679,0.917757,0.282446,0.985157,4.14668,0.616443,0.435037,0.118691,12.994,0.120825
"271",1.01709,4.6335,0.432104,0.304522,0.993691,4.29976,0.645053,2.07412,1.87371,5.8709,0.125192
"272",0.537029,3.0447,1.74697,0.290042,0.971998,4.19105,0.619502,0.7057,0.0752624,35.9488,0.123766
"273",0.347056,2.29495,1.3916,0.290368,0.989648,4.05447,0.623925,1.08105,0.70969,1.11857,0.122994
"274",0.441037,2.61411,0.972181,0.297998,0.976054,4.3213,0.638984,0.759891,0.39907,8.64422,0.120704
"275",0.628102,2.42464,1.22992,0.295471,0.995171,4.19819,0.638598,0.63509,0.273457,12.9308,0.126152
"276",0.647953,2.72676,1.23949,0.301691,0.99714,4.23517,0.620893,0.577921,0.229024,21.2039,0.117244
"277",0.658147,2.67164,1.37159,0.289481,0.998219,4.28992,0.618008,0.587485,0.21581,19.4619,0.107381
"278",0.694395,2.64818,1.20886,0.29361,0.997743,4.2445,0.621528,0.631107,0.183291,24.8086,0.113668
"279",1.04979,4.48693,0.895785,0.296216,0.966776,4.23128,0.624924,0.914972,0.488674,8.68321,0.126329
"280",0.943261,4.12997,0.644714,0.292476,0.993983,4.08132,0.646816,0.987786,0.695825,8.71927,0.128897
"281",1.11596,4.31797,0.03241,0.28264,0.991039,4.02865,0.633478,0.888923,0.511573,23.7815,0.132839
"282",0.953192,4.21996,0.57794,0.281206,0.988869,3.9988,0.629297,1.01708,0.819686,3.59692,0.13105
"283",1.03302,3.48698,0.446503,0.273377,0.962207,4.10277,0.637752,0.981592,0.818145,9.15753,0.122783
"284",0.988354,3.5734,0.395696,0.272669,0.97003,3.91045,0.635339,1.11719,0.696156,17.7036,0.127455
"285",1.06301,3.96914,0.606962,0.312366,0.998566,4.4565,0.641065,0.588112,0.0754058,9.01835,0.0927314
"286",0.879884,3.27131,0.389679,0.266206,0.993492,3.97215,0.612893,1.20772,0.991214,5.29268,0.112671
"287",0.912917,3.30052,0.314795,0.285808,0.982335,3.94291,0.623445,0.82064,0.775686,0.579066,0.142572
"288",1.0406,3.99028,-0.281405,0.292151,0.965446,4.29742,0.659811,0.779144,0.432166,14.1521,0.102358
"289",0.98341,3.43769,0.505816,0.295137,0.998315,4.32584,0.620804,0.60249,0.207719,19.0083,0.114344
"290",1.26946,4.04987,0.11112,0.288722,0.977377,4.05132,0.644466,0.714844,0.399152,14.2012,0.111467
"291",1.02494,2.65777,0.909984,0.312655,0.987957,4.3113,0.625819,0.722417,0.237956,13.4041,0.117955
"292",1.1177,2.45433,0.0450045,0.28452,0.979455,3.99791,0.63295,1.13235,0.83415,12.0695,0.106695
"293",0.77345,2.95128,1.02392,0.307417,0.986642,4.22315,0.634202,0.549174,0.124297,20.1051,0.121574
"294",0.667833,2.52363,1.4088,0.300782,0.994363,4.33456,0.657599,0.724209,0.345089,1.37624,0.113223
"295",0.963653,2.5664,0.188349,0.276699,0.983588,4.12418,0.607246,0.729321,0.124599,5.54427,0.122933
"296",0.751912,3.39284,1.12419,0.295843,0.997345,4.432,0.654202,0.832041,0.324472,4.58267,0.114697
"297",0.833225,2.70954,0.383285,0.308081,0.99417,4.32696,0.634017,0.584342,0.318995,4.68959,0.113392
"298",0.649937,2.89516,1.24467,0.291046,0.971474,4.28219,0.619843,0.914898,0.381121,2.07171,0.105328
"299",0.855804,2.82625,0.66954,0.302045,0.989611,4.24519,0.636843,0.618642,0.3573,2.90624,0.129583
"300",1.0813,4.32556,0.0787465,0.302609,0.994715,4.28298,0.627041,1.03695,0.639881,22.4715,0.0980595
"301",0.477475,3.80374,1.80435,0.288276,0.959122,4.20667,0.642885,0.934713,0.593347,22.8191,0.13749
"302",0.517275,3.88787,1.15537,0.290103,0.998765,4.22131,0.631755,1.02786,0.714569,2.03644,0.0946124
"303",0.879445,4.46822,0.614886,0.28922,0.983898,4.35031,0.647901,0.850553,0.363668,23.4721,0.118322
"304",0.634916,2.81206,1.07765,0.296399,0.991668,4.28898,0.629233,0.892339,0.656607,3.33527,0.123492
"305",0.929469,3.06414,0.521643,0.294319,0.990992,4.3041,0.64256,0.564272,0.0279175,34.4971,0.0996538
"306",0.811868,3.38318,0.656383,0.293581,0.996383,4.13794,0.617838,1.7443,1.64243,4.87095,0.128234
"307",0.899839,3.54294,0.783565,0.290462,0.99504,4.18234,0.624335,1.7757,0.970267,14.2959,0.123758
"308",0.824022,3.7977,0.822643,0.298482,0.97365,4.02212,0.625527,0.443389,0.0124346,12.9356,0.136133
"309",0.774629,4.03755,1.077,0.303212,0.993897,3.97683,0.623566,0.475918,0.0207091,14.682,0.138924
"310",0.677823,2.86539,1.24646,0.27173,0.949916,4.17637,0.622671,1.13655,1.04006,1.88961,0.108713
"311",0.614334,2.89849,1.5472,0.299755,0.994251,4.09966,0.65288,1.12794,1.07753,1.19784,0.140869
"312",0.687407,2.76685,1.58851,0.274037,0.957725,4.17015,0.621907,0.597316,0.0744849,2.42791,0.11164
