"","c1","c2","c3","alpha","beta","gamma","sigma","s_m,n1","s_m,n2","s_m,n3","lambda"
"119",0.899022,4.56554,1.10297,0.305093,0.989829,4.39801,0.656453,0.934687,0.567951,30.2221,0.107744
"120",0.88054,3.53167,1.15736,0.296669,0.995224,4.29916,0.612146,0.686637,0.359101,2.92649,0.145188
"121",0.749528,3.36947,1.58328,0.296993,0.988284,4.13658,0.633553,0.784838,0.250907,2.13365,0.128103
"122",1.00348,2.66858,0.648841,0.296359,0.980304,4.18239,0.636073,0.80568,0.374267,22.2909,0.0938199
"123",1.13569,2.81777,0.390882,0.295828,0.984269,4.28032,0.632456,0.663009,0.446556,8.46186,0.128493
"124",1.20193,2.88368,0.329577,0.299235,0.988036,4.26882,0.625945,0.676742,0.432084,6.87827,0.135396
"125",1.02369,2.60426,0.163172,0.291397,0.984224,4.07096,0.634169,0.959442,0.480621,18.9246,0.113689
"126",0.821993,2.29824,0.551412,0.274785,0.975573,3.99697,0.624304,0.805988,0.406305,12.3114,0.136393
"127",0.595166,1.38338,1.07476,0.298784,0.996368,4.41272,0.63798,0.990187,0.857034,3.4784,0.113569
"128",0.807879,2.71237,0.968046,0.288446,0.973589,4.17618,0.629512,0.765062,0.416898,4.34958,0.114427
"129",0.748997,2.19414,0.506801,0.309928,0.984146,4.21192,0.646761,0.938497,0.515826,3.08238,0.130589
"130",0.67503,1.46207,1.14188,0.295493,0.983235,4.16414,0.634262,0.869764,0.613377,7.79685,0.111781
"131",0.41949,0.939098,1.18978,0.279701,0.98816,4.26449,0.648191,0.944204,0.340625,8.61014,0.101194
"132",0.780937,1.63028,0.567791,0.301208,0.978259,4.11762,0.639881,0.905289,0.599622,20.9972,0.133929
"133",0.968023,1.88307,0.377756,0.293101,0.993553,4.23392,0.631906,1.02215,0.57038,3.46839,0.127084
"134",0.729539,2.8548,1.12312,0.300516,0.984379,4.18779,0.635526,0.595215,0.228644,24.6849,0.105285
"135",0.768696,2.64413,0.996361,0.30207,0.995898,4.41094,0.627466,0.654585,0.329576,3.19874,0.126872
"136",0.697718,2.97162,0.788174,0.316285,0.986431,4.4759,0.64284,0.685725,0.21183,18.9458,0.110366
"137",0.664763,3.01959,1.42338,0.278015,0.988248,3.98696,0.617942,0.612805,0.321034,10.3254,0.133746
"138",0.774956,2.58186,0.414733,0.310688,0.986429,4.38191,0.647589,0.524331,0.136048,12.6658,0.112741
"139",0.86021,3.19534,0.734094,0.294231,0.989161,4.22465,0.621968,0.587243,0.26131,15.6999,0.12727
"140",0.841471,3.13471,1.05009,0.281416,0.987362,4.03608,0.63442,1.01106,0.649963,5.09613,0.130182
"141",0.872833,3.00896,1.32487,0.278456,0.990469,4.24038,0.627136,0.463772,0.03606,27.0775,0.0917081
"142",0.82765,3.04435,1.37423,0.288851,0.996423,4.11625,0.632664,0.76963,0.161956,7.83722,0.106335
"143",1.22902,2.98136,0.473787,0.306469,0.975213,4.51925,0.637391,1.1244,0.28787,18.4049,0.110009
"144",1.43273,3.2382,0.28932,0.287656,0.995685,4.18022,0.638194,0.747081,0.250294,6.37966,0.133029
"145",0.539299,2.11892,1.12037,0.302683,0.997693,4.2283,0.648211,0.635753,0.395599,3.50581,0.109117
"146",0.913963,3.86215,0.705123,0.285313,0.989373,4.14629,0.622531,0.711791,0.434433,3.31118,0.131599
"147",0.851008,2.93011,0.58014,0.301486,0.984606,4.3156,0.639553,0.717537,0.294118,17.4229,0.11325
"148",0.761952,2.75733,0.923639,0.296724,0.991971,4.2223,0.61815,0.500642,0.0810205,13.2513,0.119779
"149",1.00611,3.76332,0.700549,0.287148,0.993942,4.19417,0.646761,0.880583,0.268508,10.0417,0.0991995
"150",0.851634,3.08353,0.70755,0.290376,0.985385,4.36302,0.613857,0.582348,0.214096,10.1331,0.134731
"151",0.982192,3.27376,0.442398,0.292102,0.989986,4.27626,0.622169,0.533202,0.192274,17.4401,0.132553
"152",1.04336,2.66574,0.485513,0.286681,0.988747,4.24648,0.639179,0.970155,0.552761,5.22646,0.119452
"153",1.05198,3.05504,0.215567,0.298581,0.98806,4.31217,0.630509,1.12074,0.79488,3.43772,0.12218
"154",1.05012,3.13381,0.869068,0.297287,0.993122,4.34664,0.63587,0.575485,0.13819,29.1027,0.100488
"155",1.20203,4.47044,0.347049,0.275026,0.983621,4.1548,0.625442,0.989765,0.842101,3.6323,0.136319
"156",1.27516,5.14493,0.423832,0.302342,0.992074,4.18507,0.626632,0.99827,0.540143,23.3515,0.129973
"157",1.20221,4.98794,0.630595,0.284565,0.984025,4.27717,0.63481,0.992707,0.46621,8.70238,0.112278
"158",0.863551,3.23172,1.19154,0.305874,0.98977,4.24895,0.634535,0.738579,0.268046,24.291,0.129366
"159",0.832158,2.85426,1.06605,0.301183,0.995499,4.25778,0.637155,0.84988,0.377266,10.7639,0.110047
"160",0.85961,2.67258,0.98339,0.276753,0.95554,3.98552,0.629587,0.890325,0.231708,17.5136,0.116751
"161",0.919617,2.57921,1.24358,0.293776,0.9894,4.28237,0.62616,0.715291,0.267912,16.04,0.128605
"162",0.764958,1.97289,1.34925,0.293847,0.992774,4.34726,0.65989,1.02387,0.464079,11.8006,0.0920032
"163",0.746272,2.46672,0.816509,0.307448,0.996264,4.44212,0.643944,0.526144,0.289836,23.1224,0.122138
"164",1.02385,3.25881,0.330274,0.298391,0.976978,4.30005,0.625565,1.05451,0.783321,8.77787,0.119919
"165",1.04391,3.39823,0.448715,0.309963,0.996376,4.2597,0.63837,0.705752,0.304324,22.7157,0.140241
"166",0.917058,2.87508,0.709429,0.306875,0.995724,4.41503,0.622191,0.576349,0.263793,17.7568,0.126439
"167",1.14846,3.54474,0.334282,0.293128,0.970885,4.05952,0.635504,0.777119,0.544283,5.6036,0.113778
"168",1.08379,3.32005,0.567601,0.286444,0.974669,4.16887,0.630213,0.766517,0.292068,3.87186,0.10258
"169",1.07967,3.01451,0.844179,0.307613,0.994243,4.30018,0.631382,0.584679,0.111386,8.16314,0.131303
"170",1.00406,2.87927,1.24423,0.289064,0.977072,4.38673,0.638965,1.07162,0.646027,21.5245,0.110435
"171",0.992548,3.50783,0.333323,0.305192,0.991962,4.10331,0.634575,0.56036,0.111989,14.8886,0.122467
"172",0.785673,2.19187,1.0237,0.294733,0.97954,4.21574,0.639148,1.17443,0.765266,9.09586,0.120164
"173",1.00902,2.31827,0.987643,0.294055,0.992071,4.29237,0.628932,0.67698,0.273851,17.943,0.12287
"174",1.03612,2.35119,1.09173,0.298361,0.979775,4.26813,0.64053,0.835272,0.168437,4.13914,0.102227
"175",0.851987,1.85558,1.50352,0.276614,0.984622,4.15323,0.633298,0.923761,0.553593,31.9992,0.113438
"176",0.877693,1.75963,1.57342,0.277019,0.983304,4.13336,0.629547,0.956225,0.46074,29.4006,0.114384
"177",1.04273,2.45384,0.986779,0.292738,0.984696,4.0268,0.63815,1.26194,0.794648,4.8903,0.139288
"178",1.14928,2.65561,0.674776,0.294902,0.978496,4.08751,0.62329,1.32279,0.733056,32.0602,0.131898
"179",1.02091,3.078,-0.0252186,0.300103,0.995371,4.37618,0.639992,0.546931,0.245186,3.573,0.107586
"180",0.67699,2.23135,1.39652,0.310878,0.98056,4.1802,0.640767,1.06512,0.732083,15.4608,0.117274
"181",0.446094,1.83502,1.00967,0.27846,0.981494,3.90853,0.636893,0.634048,0.11942,10.8033,0.11267
"182",0.543105,2.08332,1.00866,0.283886,0.972272,4.25221,0.638054,0.794149,0.37416,23.1254,0.1435
"183",0.562283,2.13981,1.01878,0.282959,0.963552,4.28718,0.631364,0.725508,0.388414,21.9778,0.140909
"184",0.907905,3.45469,0.339397,0.2944,0.990606,4.04816,0.642855,0.642386,0.191519,9.54869,0.0903923
"185",0.78295,2.83317,0.459285,0.280222,0.973217,4.20487,0.632067,0.751587,0.435984,9.62013,0.137328
"186",0.966985,3.68644,0.33874,0.294543,0.982774,4.19091,0.62097,0.77328,0.341493,3.80072,0.112053
"187",0.766801,2.66679,0.599892,0.287993,0.977494,4.18366,0.648569,0.766168,0.377693,9.91515,0.125771
"188",1.09091,3.8386,-0.0842174,0.295413,0.984155,4.27032,0.641782,0.524024,0.180929,3.56319,0.111376
"189",0.709865,2.86798,1.26511,0.307858,0.990971,4.1087,0.634977,1.0599,0.784354,11.5383,0.120592
"190",0.705858,2.97269,0.834385,0.282916,0.980842,4.27094,0.631938,1.08193,0.361771,4.63395,0.118035
"191",0.597176,2.39636,0.658798,0.285372,0.984924,4.04197,0.622516,0.503708,0.0656628,25.9212,0.135624
"192",0.645953,2.81838,0.62293,0.304986,0.9873,4.20327,0.624147,0.834648,0.382965,6.21083,0.129844
"193",0.73315,3.30137,1.34717,0.281822,0.974826,4.10753,0.63728,0.659526,0.297266,4.81631,0.109394
"194",0.539198,2.35519,1.39889,0.276671,0.983371,4.0328,0.61445,0.550793,0.0988925,31.1319,0.147797
"195",0.581459,3.11706,0.897499,0.301173,0.984647,4.17952,0.628513,0.699126,0.376686,1.53734,0.118764
"196",0.720025,2.46723,1.78845,0.290685,0.990948,4.17121,0.635782,0.78328,0.329113,25.3939,0.110659
"197",0.891574,2.50924,1.48166,0.298253,0.986463,4.30459,0.629586,1.01872,0.370151,10.4377,0.125427
"198",0.976129,2.61038,1.23648,0.288718,0.987129,4.23722,0.645941,0.66985,0.222947,19.0587,0.092021
"199",0.86199,3.9279,0.723685,0.306286,0.984701,4.1896,0.639102,0.823124,0.325534,16.9972,0.13529
