rup_mag,dist_rjb,result_type,damping,0.03,0.04,0.1,0.2,0.4,1.0,2.0,3.0,4.0,pga
5.0,0.0,TOTAL_STDDEV,5.0,0.9235258523723091,0.890730037665734,0.8259539938761723,0.804114419718985,0.8267405880927826,0.8232860985101109,0.808084154033477,0.808084154033477,0.808084154033477,0.8235289915965315
5.0,10.0,TOTAL_STDDEV,5.0,0.865678924313166,0.8340929870890361,0.764395185751454,0.7481310045707236,0.7723988606931006,0.7687002016391046,0.7523961722390672,0.7523961722390672,0.7523961722390672,0.7540851705506776
5.0,30.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
5.0,60.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
5.0,90.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
5.0,120.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
5.0,150.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
5.0,200.0,TOTAL_STDDEV,5.0,0.7687652437513027,0.743370701601832,0.6790434448545983,0.677126280689208,0.7038465741907111,0.6997856814768362,0.6818357573492315,0.6818357573492315,0.6818357573492315,0.6531462317123172
6.0,0.0,TOTAL_STDDEV,5.0,0.9374518654309669,0.9051607592024744,0.8516712980956914,0.8493974334785808,0.8852592840518534,0.8575639917813714,0.8440876731714544,0.8440876731714544,0.8440876731714544,0.8650919026323157
6.0,10.0,TOTAL_STDDEV,5.0,0.8805203007313346,0.8494863807684684,0.7921136282125184,0.7966027868392126,0.834735886373648,0.8053049111982368,0.790938682831988,0.790938682831988,0.790938682831988,0.7992674423773586
