ID,Sigma,Tau,Phi
ln(PGA),0.21,0.02,0.21
ln(PGV),0.25,0.02,0.25
ln(PSA=0.03),0.2,0.02,0.2
ln(PSA=0.05),0.2,0.02,0.2
ln(PSA=0.075),0.19,0.02,0.19
ln(PSA=0.1),0.19,0.02,0.19
ln(PSA=0.15),0.21,0.03,0.21
ln(PSA=0.2),0.22,0.02,0.22
ln(PSA=0.25),0.24,0.02,0.24
ln(PSA=0.3),0.25,0.02,0.25
ln(PSA=0.4),0.27,0.02,0.27
ln(PSA=0.5),0.28,0.02,0.28
ln(PSA=0.75),0.31,0.02,0.31
ln(PSA=1.0),0.33,0.02,0.33
ln(PSA=1.5),0.35,0.03,0.35
ln(PSA=2.0),0.36,0.03,0.36
