rup_mag,rup_width,rup_rake,rup_hypo_depth,dist_rhypo,dist_rjb,site_vs30,result_type,damping,pga,0.2,1.0,2.0
5.5,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,8.17093298e-02,2.19906766e-01,2.34362570e-02,8.40607304e-03
5.5,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,6.71017918e-02,1.79269955e-01,2.04337939e-02,7.42056103e-03
5.5,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,5.39025086e-02,1.42835919e-01,1.75624010e-02,6.46596552e-03
5.5,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,4.23598425e-02,1.11240895e-01,1.48813868e-02,5.56228201e-03
5.5,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,3.25995472e-02,8.47623742e-02,1.24402505e-02,4.72726563e-03
5.5,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,2.46113271e-02,6.32953405e-02,1.02717489e-02,3.97392606e-03
5.5,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,1.82829223e-02,4.64576606e-02,8.39395880e-03,3.31095966e-03
5.5,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,1.34133331e-02,3.36368234e-02,6.80531497e-03,2.74065442e-03
5.5,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,9.76263466e-03,2.41308530e-02,5.49008816e-03,2.26039606e-03
5.5,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,7.08428779e-03,1.72374027e-02,4.42160789e-03,1.86346294e-03
5.5,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,5.15123988e-03,1.23225168e-02,3.56686110e-03,1.54041446e-03
5.5,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,3.77134030e-03,8.85849644e-03,2.89107979e-03,1.28061773e-03
5.5,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,2.79208893e-03,6.43258669e-03,2.36118814e-03,1.07348850e-03
5.5,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,2.09771966e-03,4.73573490e-03,1.94758506e-03,9.09200034e-04
5.5,10.0000,0.0,10.0,124.6250,124.6250,800.0,MEAN,5,1.60367157e-03,3.54511031e-03,1.62521821e-03,7.79181785e-04
5.5,10.0000,0.0,10.0,145.9080,145.9080,800.0,MEAN,5,1.24973088e-03,2.70404023e-03,1.37365853e-03,6.76257366e-04
5.5,10.0000,0.0,10.0,170.8260,170.8260,800.0,MEAN,5,9.93713863e-04,2.10413792e-03,1.17667134e-03,5.94584080e-04
5.5,10.0000,0.0,10.0,200.0000,200.0000,800.0,MEAN,5,8.06400277e-04,1.67125049e-03,1.02163410e-03,5.29518174e-04
6.0,10.0000,0.0,10.0,10.0000,10.0000,800.0,MEAN,5,1.58151174e-01,4.32526775e-01,5.72772589e-02,2.30151921e-02
6.0,10.0000,0.0,10.0,11.7080,11.7080,800.0,MEAN,5,1.39513203e-01,3.76933947e-01,5.22126378e-02,2.12648018e-02
6.0,10.0000,0.0,10.0,13.7070,13.7070,800.0,MEAN,5,1.21006020e-01,3.22620964e-01,4.70720862e-02,1.94589294e-02
6.0,10.0000,0.0,10.0,16.0480,16.0480,800.0,MEAN,5,1.03022667e-01,2.70767874e-01,4.19259732e-02,1.76169820e-02
6.0,10.0000,0.0,10.0,18.7890,18.7890,800.0,MEAN,5,8.59804684e-02,2.22545653e-01,3.68599082e-02,1.57654896e-02
6.0,10.0000,0.0,10.0,21.9980,21.9980,800.0,MEAN,5,7.02657370e-02,1.78952693e-01,3.19652682e-02,1.39355415e-02
6.0,10.0000,0.0,10.0,25.7540,25.7540,800.0,MEAN,5,5.61969005e-02,1.40720596e-01,2.73334970e-02,1.21613049e-02
6.0,10.0000,0.0,10.0,30.1530,30.1530,800.0,MEAN,5,4.39783435e-02,1.08209719e-01,2.30441258e-02,1.04757482e-02
6.0,10.0000,0.0,10.0,35.3020,35.3020,800.0,MEAN,5,3.37068440e-02,8.14569545e-02,1.91661884e-02,8.91106583e-03
6.0,10.0000,0.0,10.0,41.3310,41.3310,800.0,MEAN,5,2.53416463e-02,6.01298344e-02,1.57423150e-02,7.49182319e-03
6.0,10.0000,0.0,10.0,48.3900,48.3900,800.0,MEAN,5,1.87387871e-02,4.36481320e-02,1.27912549e-02,6.23486313e-03
6.0,10.0000,0.0,10.0,56.6540,56.6540,800.0,MEAN,5,1.36775896e-02,3.12738920e-02,1.03061908e-02,5.14735483e-03
6.0,10.0000,0.0,10.0,66.3290,66.3290,800.0,MEAN,5,9.89793806e-03,2.22172556e-02,8.25791816e-03,4.22680412e-03
6.0,10.0000,0.0,10.0,77.6570,77.6570,800.0,MEAN,5,7.13668085e-03,1.57281665e-02,6.60141070e-03,3.46277212e-03
6.0,10.0000,0.0,10.0,90.9190,90.9190,800.0,MEAN,5,5.15414929e-03,1.11550374e-02,5.28321336e-03,2.83940524e-03
6.0,10.0000,0.0,10.0,106.4460,106.4460,800.0,MEAN,5,3.74763146e-03,7.96760610e-03,4.24731605e-03,2.33773109e-03
