rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,mmi
4,0,0.001,200,10,TOTAL_STDDEV,0.434165867
4,0,0.001,200,10,TOTAL_STDDEV,0.434165867
5,0,73.78289063,200,10,TOTAL_STDDEV,0.434165867
5,0,38.80489453,200,10,TOTAL_STDDEV,0.434165867
5,0,19.75461523,200,10,TOTAL_STDDEV,0.434165867
5,0,5.973233887,200,10,TOTAL_STDDEV,0.434165867
5,0,0.001,200,10,TOTAL_STDDEV,0.434165867
5,0,0.001,200,10,TOTAL_STDDEV,0.434165867
6,0,166.1086406,200,10,TOTAL_STDDEV,0.434165867
6,0,87.78128906,200,10,TOTAL_STDDEV,0.434165867
6,0,46.26599609,200,10,TOTAL_STDDEV,0.434165867
6,0,23.93341406,200,10,TOTAL_STDDEV,0.434165867
6,0,10.32215625,200,10,TOTAL_STDDEV,0.434165867
6,0,0.001,200,10,TOTAL_STDDEV,0.434165867
7,0,373.682875,200,10,TOTAL_STDDEV,0.434165867
7,0,197.5575469,200,10,TOTAL_STDDEV,0.434165867
7,0,104.4200078,200,10,TOTAL_STDDEV,0.434165867
7,0,55.10516406,200,10,TOTAL_STDDEV,0.434165867
7,0,28.76558203,200,10,TOTAL_STDDEV,0.434165867
7,0,13.73541113,200,10,TOTAL_STDDEV,0.434165867
8,0,840.5925,200,10,TOTAL_STDDEV,0.434165867
8,0,444.4182188,200,10,TOTAL_STDDEV,0.434165867
8,0,234.9575313,200,10,TOTAL_STDDEV,0.434165867
8,0,124.2016172,200,10,TOTAL_STDDEV,0.434165867
8,0,65.59347656,200,10,TOTAL_STDDEV,0.434165867
8,0,34.42047656,200,10,TOTAL_STDDEV,0.434165867
9,0,1890.88625,200,10,TOTAL_STDDEV,0.434165867
9,0,999.707875,200,10,TOTAL_STDDEV,0.434165867
9,0,528.5426875,200,10,TOTAL_STDDEV,0.434165867
9,0,279.4355938,200,10,TOTAL_STDDEV,0.434165867
9,0,147.7229688,200,10,TOTAL_STDDEV,0.434165867
9,0,78.05021094,200,10,TOTAL_STDDEV,0.434165867
9,0,41.08285938,200,10,TOTAL_STDDEV,0.434165867
4,0,32.49004688,500,10,TOTAL_STDDEV,0.434165867
4,0,16.05992676,500,10,TOTAL_STDDEV,0.434165867
4,0,0.001,500,10,TOTAL_STDDEV,0.434165867
4,0,0.001,500,10,TOTAL_STDDEV,0.434165867
4,0,0.001,500,10,TOTAL_STDDEV,0.434165867
4,0,0.001,500,10,TOTAL_STDDEV,0.434165867
5,0,73.78289063,500,10,TOTAL_STDDEV,0.434165867
5,0,38.80489453,500,10,TOTAL_STDDEV,0.434165867
5,0,19.75461523,500,10,TOTAL_STDDEV,0.434165867
5,0,5.973233887,500,10,TOTAL_STDDEV,0.434165867
5,0,0.001,500,10,TOTAL_STDDEV,0.434165867
5,0,0.001,500,10,TOTAL_STDDEV,0.434165867
6,0,166.1086406,500,10,TOTAL_STDDEV,0.434165867
6,0,87.78128906,500,10,TOTAL_STDDEV,0.434165867
6,0,46.26599609,500,10,TOTAL_STDDEV,0.434165867
6,0,23.93341406,500,10,TOTAL_STDDEV,0.434165867
6,0,10.32215625,500,10,TOTAL_STDDEV,0.434165867
6,0,0.001,500,10,TOTAL_STDDEV,0.434165867
7,0,373.682875,500,10,TOTAL_STDDEV,0.434165867
7,0,197.5575469,500,10,TOTAL_STDDEV,0.434165867
7,0,104.4200078,500,10,TOTAL_STDDEV,0.434165867
7,0,55.10516406,500,10,TOTAL_STDDEV,0.434165867
7,0,28.76558203,500,10,TOTAL_STDDEV,0.434165867
7,0,13.73541113,500,10,TOTAL_STDDEV,0.434165867
8,0,840.5925,500,10,TOTAL_STDDEV,0.434165867
8,0,444.4182188,500,10,TOTAL_STDDEV,0.434165867
8,0,234.9575313,500,10,TOTAL_STDDEV,0.434165867
8,0,124.2016172,500,10,TOTAL_STDDEV,0.434165867
8,0,65.59347656,500,10,TOTAL_STDDEV,0.434165867
8,0,34.42047656,500,10,TOTAL_STDDEV,0.434165867
9,0,1890.88625,500,10,TOTAL_STDDEV,0.434165867
9,0,999.707875,500,10,TOTAL_STDDEV,0.434165867
9,0,528.5426875,500,10,TOTAL_STDDEV,0.434165867
9,0,279.4355938,500,10,TOTAL_STDDEV,0.434165867
9,0,147.7229688,500,10,TOTAL_STDDEV,0.434165867
9,0,78.05021094,500,10,TOTAL_STDDEV,0.434165867
9,0,41.08285938,500,10,TOTAL_STDDEV,0.434165867
4,0,32.49004688,1000,10,TOTAL_STDDEV,0.434165867
4,0,16.05992676,1000,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
4,0,0.001,1000,10,TOTAL_STDDEV,0.434165867
