rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,mmi
4,0,18.19123633,170,10,INTER_EVENT_STDDEV,0.21
4,0,9.575145508,170,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
5,0,36.64460156,170,10,INTER_EVENT_STDDEV,0.21
5,0,23.40261133,170,10,INTER_EVENT_STDDEV,0.21
5,0,14.0220791,170,10,INTER_EVENT_STDDEV,0.21
5,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
5,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
5,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
6,0,70.79664063,170,10,INTER_EVENT_STDDEV,0.21
6,0,45.99622656,170,10,INTER_EVENT_STDDEV,0.21
6,0,29.66893945,170,10,INTER_EVENT_STDDEV,0.21
6,0,18.59867969,170,10,INTER_EVENT_STDDEV,0.21
6,0,9.974022461,170,10,INTER_EVENT_STDDEV,0.21
6,0,0.001,170,10,INTER_EVENT_STDDEV,0.21
7,0,136.0427188,170,10,INTER_EVENT_STDDEV,0.21
7,0,88.590375,170,10,INTER_EVENT_STDDEV,0.21
7,0,57.63255859,170,10,INTER_EVENT_STDDEV,0.21
7,0,37.35728125,170,10,INTER_EVENT_STDDEV,0.21
7,0,23.88512109,170,10,INTER_EVENT_STDDEV,0.21
7,0,14.3915332,170,10,INTER_EVENT_STDDEV,0.21
8,0,261.2229688,170,10,INTER_EVENT_STDDEV,0.21
8,0,170.1622344,170,10,INTER_EVENT_STDDEV,0.21
8,0,110.8292656,170,10,INTER_EVENT_STDDEV,0.21
8,0,72.14836719,170,10,INTER_EVENT_STDDEV,0.21
8,0,46.88140625,170,10,INTER_EVENT_STDDEV,0.21
8,0,30.25676758,170,10,INTER_EVENT_STDDEV,0.21
9,0,501.5350625,170,10,INTER_EVENT_STDDEV,0.21
9,0,326.7179375,170,10,INTER_EVENT_STDDEV,0.21
9,0,212.8315781,170,10,INTER_EVENT_STDDEV,0.21
9,0,138.6335313,170,10,INTER_EVENT_STDDEV,0.21
9,0,90.279375,170,10,INTER_EVENT_STDDEV,0.21
9,0,58.73576172,170,10,INTER_EVENT_STDDEV,0.21
9,0,38.08295703,170,10,INTER_EVENT_STDDEV,0.21
4,0,18.19123633,200,10,INTER_EVENT_STDDEV,0.21
4,0,9.575145508,200,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,200,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,200,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,200,10,INTER_EVENT_STDDEV,0.21
4,0,0.001,200,10,INTER_EVENT_STDDEV,0.21
5,0,36.64460156,200,10,INTER_EVENT_STDDEV,0.21
5,0,23.40261133,200,10,INTER_EVENT_STDDEV,0.21
5,0,14.0220791,200,10,INTER_EVENT_STDDEV,0.21
5,0,0.001,200,10,INTER_EVENT_STDDEV,0.21
