rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  1.00,  2.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  1.00,  5.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  1.00, 10.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  1.00, 20.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  1.00, 50.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  2.00,  1.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  2.00,  2.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  2.00,  5.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
  2.00, 10.00,TOTAL_STDDEV,5.0, 0.8101199E+00, 0.9611579E+00, 0.9611579E+00, 0.9611579E+00, 0.7282733E+00, 0.5331332E+00, 0.5403981E+00, 0.5553948E+00, 0.5904106E+00, 0.5915663E+00,
