rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.1417319E-01, 0.5543472E-02, 0.5543472E-02, 0.1649129E-01, 0.5948638E-03, 0.1224352E-03, 0.7479551E-04, 0.4996836E-04, 0.2622878E-04, 0.1586231E-04,
  1.00,  2.00,MEAN,5.0, 0.6416843E-02, 0.2434183E-02, 0.2434183E-02, 0.7634731E-02, 0.2871634E-03, 0.5624233E-04, 0.3413276E-04, 0.2268622E-04, 0.1200067E-04, 0.7362511E-05,
  1.00,  5.00,MEAN,5.0, 0.1859442E-02, 0.6143004E-03, 0.6143004E-03, 0.1731353E-02, 0.1015386E-03, 0.1972901E-04, 0.1179549E-04, 0.7746909E-05, 0.4009736E-05, 0.2424528E-05,
  1.00, 10.00,MEAN,5.0, 0.6503894E-03, 0.1809879E-03, 0.1809879E-03, 0.4151066E-03, 0.4303419E-04, 0.8656637E-05, 0.5136872E-05, 0.3353520E-05, 0.1698110E-05, 0.1005502E-05,
  1.00, 20.00,MEAN,5.0, 0.2045589E-03, 0.4531433E-04, 0.4531433E-04, 0.8143963E-04, 0.1635218E-04, 0.3586754E-05, 0.2139278E-05, 0.1402525E-05, 0.7024053E-06, 0.4090494E-06,
  1.00, 50.00,MEAN,5.0, 0.3377242E-04, 0.4889872E-05, 0.4889872E-05, 0.7216162E-05, 0.3208386E-05, 0.9232702E-06, 0.5807555E-06, 0.3976743E-06, 0.2068928E-06, 0.1217962E-06,
  2.00,  1.00,MEAN,5.0, 0.2990277E+00, 0.8651270E-01, 0.8651270E-01, 0.1978701E+00, 0.1904558E-01, 0.3580926E-02, 0.2110139E-02, 0.1368801E-02, 0.7030621E-03, 0.4250339E-03,
  2.00,  2.00,MEAN,5.0, 0.1353833E+00, 0.3798841E-01, 0.3798841E-01, 0.9160499E-01, 0.9194028E-02, 0.1644949E-02, 0.9629571E-03, 0.6214521E-03, 0.3216777E-03, 0.1972800E-03,
  2.00,  5.00,MEAN,5.0, 0.3923072E-01, 0.9586910E-02, 0.9586910E-02, 0.2077357E-01, 0.3250933E-02, 0.5770249E-03, 0.3327756E-03, 0.2122138E-03, 0.1074809E-03, 0.6496577E-04,
  2.00, 10.00,MEAN,5.0, 0.1372199E-01, 0.2824537E-02, 0.2824537E-02, 0.4980640E-02, 0.1377813E-02, 0.2531853E-03, 0.1449219E-03, 0.9186421E-04, 0.4551781E-04, 0.2694265E-04,
  2.00, 20.00,MEAN,5.0, 0.4315807E-02, 0.7071856E-03, 0.7071856E-03, 0.9771502E-03, 0.5235431E-03, 0.1049037E-03, 0.6035354E-04, 0.3841986E-04, 0.1882797E-04, 0.1096056E-04,
  2.00, 50.00,MEAN,5.0, 0.7125345E-03, 0.7631240E-04, 0.7631240E-04, 0.8658285E-04, 0.1027219E-03, 0.2700338E-04, 0.1638434E-04, 0.1089364E-04, 0.5545761E-05, 0.3263557E-05,
  3.00,  1.00,MEAN,5.0, 0.3736080E+01, 0.6723728E+00, 0.6723728E+00, 0.1324593E+01, 0.3026451E+00, 0.8341685E-01, 0.5186249E-01, 0.3514853E-01, 0.1829120E-01, 0.1092193E-01,
  3.00,  2.00,MEAN,5.0, 0.1691491E+01, 0.2952444E+00, 0.2952444E+00, 0.6132274E+00, 0.1460983E+00, 0.3831872E-01, 0.2366733E-01, 0.1595785E-01, 0.8368922E-02, 0.5069427E-02,
  3.00,  5.00,MEAN,5.0, 0.4901522E+00, 0.7450908E-01, 0.7450908E-01, 0.1390636E+00, 0.5165917E-01, 0.1344166E-01, 0.8178880E-02, 0.5449296E-02, 0.2796275E-02, 0.1669400E-02,
  3.00, 10.00,MEAN,5.0, 0.1714439E+00, 0.2195219E-01, 0.2195219E-01, 0.3334168E-01, 0.2189424E-01, 0.5897895E-02, 0.3561856E-02, 0.2358919E-02, 0.1184213E-02, 0.6923345E-03,
  3.00, 20.00,MEAN,5.0, 0.5392211E-01, 0.5496217E-02, 0.5496217E-02, 0.6541294E-02, 0.8319398E-02, 0.2443708E-02, 0.1483355E-02, 0.9865577E-03, 0.4898374E-03, 0.2816492E-03,
  3.00, 50.00,MEAN,5.0, 0.8902474E-02, 0.5930969E-03, 0.5930969E-03, 0.5796077E-03, 0.1632310E-02, 0.6290377E-03, 0.4026904E-03, 0.2797304E-03, 0.1442812E-03, 0.8386231E-04,
  4.00,  1.00,MEAN,5.0, 0.2931885E+02, 0.3077396E+01, 0.3077396E+01, 0.5688848E+01, 0.2139896E+01, 0.1006640E+01, 0.7158160E+00, 0.5413932E+00, 0.3169366E+00, 0.2006788E+00,
  4.00,  2.00,MEAN,5.0, 0.1327396E+02, 0.1351310E+01, 0.1351310E+01, 0.2633682E+01, 0.1033009E+01, 0.4624144E+00, 0.3266612E+00, 0.2457990E+00, 0.1450106E+00, 0.9314533E-01,
  4.00,  5.00,MEAN,5.0, 0.3846464E+01, 0.3410220E+00, 0.3410220E+00, 0.5972488E+00, 0.3652636E+00, 0.1622085E+00, 0.1128865E+00, 0.8393558E-01, 0.4845182E-01, 0.3067344E-01,
  4.00, 10.00,MEAN,5.0, 0.1345404E+01, 0.1004734E+00, 0.1004734E+00, 0.1431955E+00, 0.1548064E+00, 0.7117330E-01, 0.4916144E-01, 0.3633446E-01, 0.2051919E-01, 0.1272091E-01,
  4.00, 20.00,MEAN,5.0, 0.4231531E+00, 0.2515574E-01, 0.2515574E-01, 0.2809347E-01, 0.5882353E-01, 0.2948965E-01, 0.2047356E-01, 0.1519596E-01, 0.8487548E-02, 0.5175004E-02,
  4.00, 50.00,MEAN,5.0, 0.6986207E-01, 0.2714557E-02, 0.2714557E-02, 0.2489292E-02, 0.1154148E-01, 0.7590965E-02, 0.5558013E-02, 0.4308690E-02, 0.2499999E-02, 0.1540881E-02,
  5.00,  1.00,MEAN,5.0, 0.1532743E+03, 0.9808658E+01, 0.9808658E+01, 0.1802467E+02, 0.6035710E+01, 0.4093071E+01, 0.3576477E+01, 0.3200923E+01, 0.2509770E+01, 0.1965792E+01,
  5.00,  2.00,MEAN,5.0, 0.6939417E+02, 0.4307058E+01, 0.4307058E+01, 0.8344609E+01, 0.2913669E+01, 0.1880211E+01, 0.1632117E+01, 0.1453258E+01, 0.1148316E+01, 0.9124247E+00,
  5.00,  5.00,MEAN,5.0, 0.2010870E+02, 0.1086948E+01, 0.1086948E+01, 0.1892336E+01, 0.1030249E+01, 0.6595513E+00, 0.5640218E+00, 0.4962594E+00, 0.3836822E+00, 0.3004681E+00,
