rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.7678963E-02, 0.2205999E-02, 0.2205999E-02, 0.5350861E-02, 0.5354963E-03, 0.1089830E-03, 0.6619500E-04, 0.4402829E-04, 0.2271362E-04, 0.1359481E-04,
  1.00,  2.00,MEAN,5.0, 0.3303070E-02, 0.8583263E-03, 0.8583263E-03, 0.1722070E-02, 0.2525237E-03, 0.4897644E-04, 0.2935423E-04, 0.1931734E-04, 0.1009773E-04, 0.6146879E-05,
  1.00,  5.00,MEAN,5.0, 0.8115475E-03, 0.1626786E-03, 0.1626786E-03, 0.2521838E-03, 0.8120605E-04, 0.1630771E-04, 0.9651629E-05, 0.6287395E-05, 0.3213904E-05, 0.1925643E-05,
  1.00, 10.00,MEAN,5.0, 0.2366816E-03, 0.3571266E-04, 0.3571266E-04, 0.4668331E-04, 0.2956517E-04, 0.6624857E-05, 0.3937997E-05, 0.2574633E-05, 0.1292392E-05, 0.7587932E-06,
  1.00, 20.00,MEAN,5.0, 0.6007480E-04, 0.6403987E-05, 0.6403987E-05, 0.7430417E-05, 0.8428394E-05, 0.2372217E-05, 0.1456104E-05, 0.9773146E-06, 0.4942970E-06, 0.2879058E-06,
  1.00, 50.00,MEAN,5.0, 0.7185868E-05, 0.4347390E-06, 0.4347390E-06, 0.5094333E-06, 0.7244775E-06, 0.3995847E-06, 0.2813417E-06, 0.2112367E-06, 0.1201548E-06, 0.7382323E-07,
  2.00,  1.00,MEAN,5.0, 0.2020670E+00, 0.5000878E-01, 0.5000878E-01, 0.1101173E+00, 0.1751074E-01, 0.3315658E-02, 0.1950181E-02, 0.1263498E-02, 0.6382072E-03, 0.3813095E-03,
  2.00,  2.00,MEAN,5.0, 0.8691818E-01, 0.1945778E-01, 0.1945778E-01, 0.3543913E-01, 0.8257530E-02, 0.1490040E-02, 0.8648096E-03, 0.5543577E-03, 0.2837259E-03, 0.1724086E-03,
  2.00,  5.00,MEAN,5.0, 0.2135536E-01, 0.3687833E-02, 0.3687833E-02, 0.5189784E-02, 0.2655440E-02, 0.4961394E-03, 0.2843481E-03, 0.1804320E-03, 0.9030425E-04, 0.5401072E-04,
  2.00, 10.00,MEAN,5.0, 0.6228124E-02, 0.8095861E-03, 0.8095861E-03, 0.9607132E-03, 0.9667818E-03, 0.2015521E-03, 0.1160179E-03, 0.7388531E-04, 0.3631364E-04, 0.2128275E-04,
  2.00, 20.00,MEAN,5.0, 0.1580831E-02, 0.1451749E-03, 0.1451749E-03, 0.1529133E-03, 0.2756087E-03, 0.7217138E-04, 0.4289850E-04, 0.2804640E-04, 0.1388875E-04, 0.8075232E-05,
  2.00, 50.00,MEAN,5.0, 0.1890914E-03, 0.9855285E-05, 0.9855285E-05, 0.1048382E-04, 0.2369044E-04, 0.1215681E-04, 0.8288649E-05, 0.6061951E-05, 0.3376110E-05, 0.2070605E-05,
  3.00,  1.00,MEAN,5.0, 0.3460901E+01, 0.5986556E+00, 0.5986556E+00, 0.1245257E+01, 0.2869330E+00, 0.8038015E-01, 0.5036152E-01, 0.3435759E-01, 0.1783430E-01, 0.1062238E-01,
  3.00,  2.00,MEAN,5.0, 0.1488690E+01, 0.2329292E+00, 0.2329292E+00, 0.4007619E+00, 0.1353089E+00, 0.3612243E-01, 0.2233286E-01, 0.1507434E-01, 0.7928544E-02, 0.4802896E-02,
  3.00,  5.00,MEAN,5.0, 0.3657638E+00, 0.4414708E-01, 0.4414708E-01, 0.5868845E-01, 0.4351234E-01, 0.1202771E-01, 0.7343012E-02, 0.4906387E-02, 0.2523497E-02, 0.1504611E-02,
  3.00, 10.00,MEAN,5.0, 0.1066721E+00, 0.9691562E-02, 0.9691562E-02, 0.1086419E-01, 0.1584179E-01, 0.4886144E-02, 0.2996050E-02, 0.2009122E-02, 0.1014762E-02, 0.5928869E-03,
  3.00, 20.00,MEAN,5.0, 0.2707567E-01, 0.1737889E-02, 0.1737889E-02, 0.1729214E-02, 0.4516155E-02, 0.1749621E-02, 0.1107812E-02, 0.7626500E-03, 0.3881125E-03, 0.2249567E-03,
  3.00, 50.00,MEAN,5.0, 0.3238662E-02, 0.1179777E-03, 0.1179777E-03, 0.1185558E-03, 0.3881942E-03, 0.2947126E-03, 0.2140463E-03, 0.1648391E-03, 0.9434332E-04, 0.5768215E-04,
  4.00,  1.00,MEAN,5.0, 0.3631440E+02, 0.3906380E+01, 0.3906380E+01, 0.7927719E+01, 0.2104562E+01, 0.9989195E+00, 0.7211083E+00, 0.5523193E+00, 0.3273323E+00, 0.2092810E+00,
  4.00,  2.00,MEAN,5.0, 0.1562046E+02, 0.1519922E+01, 0.1519922E+01, 0.2551381E+01, 0.9924474E+00, 0.4489093E+00, 0.3197761E+00, 0.2423292E+00, 0.1455212E+00, 0.9462614E-01,
  4.00,  5.00,MEAN,5.0, 0.3837870E+01, 0.2880709E+00, 0.2880709E+00, 0.3736299E+00, 0.3191490E+00, 0.1494736E+00, 0.1051419E+00, 0.7887312E-01, 0.4631645E-01, 0.2964369E-01,
  4.00, 10.00,MEAN,5.0, 0.1119285E+01, 0.6323989E-01, 0.6323989E-01, 0.6916495E-01, 0.1161945E+00, 0.6072228E-01, 0.4289937E-01, 0.3229785E-01, 0.1862502E-01, 0.1168100E-01,
  4.00, 20.00,MEAN,5.0, 0.2840984E+00, 0.1134017E-01, 0.1134017E-01, 0.1100874E-01, 0.3312454E-01, 0.2174332E-01, 0.1586236E-01, 0.1226006E-01, 0.7123447E-02, 0.4432075E-02,
  4.00, 50.00,MEAN,5.0, 0.3398249E-01, 0.7698347E-03, 0.7698347E-03, 0.7547651E-03, 0.2847281E-02, 0.3662523E-02, 0.3064852E-02, 0.2649889E-02, 0.1731584E-02, 0.1136448E-02,
  5.00,  1.00,MEAN,5.0, 0.2197144E+03, 0.1434219E+02, 0.1434219E+02, 0.2910969E+02, 0.6172006E+01, 0.4094015E+01, 0.3621459E+01, 0.3274841E+01, 0.2606029E+01, 0.2076470E+01,
  5.00,  2.00,MEAN,5.0, 0.9450914E+02, 0.5580358E+01, 0.5580358E+01, 0.9368382E+01, 0.2910529E+01, 0.1839830E+01, 0.1605939E+01, 0.1436832E+01, 0.1158555E+01, 0.9388733E+00,
  5.00,  5.00,MEAN,5.0, 0.2322042E+02, 0.1057646E+01, 0.1057646E+01, 0.1371927E+01, 0.9359616E+00, 0.6126092E+00, 0.5280304E+00, 0.4676589E+00, 0.3687445E+00, 0.2941224E+00,
  5.00, 10.00,MEAN,5.0, 0.6772054E+01, 0.2321839E+00, 0.2321839E+00, 0.2539659E+00, 0.3407613E+00, 0.2488668E+00, 0.2154437E+00, 0.1915022E+00, 0.1482816E+00, 0.1158980E+00,
  5.00, 20.00,MEAN,5.0, 0.1718892E+01, 0.4163518E-01, 0.4163518E-01, 0.4042286E-01, 0.9714364E-01, 0.8911376E-01, 0.7966192E-01, 0.7269304E-01, 0.5671272E-01, 0.4397471E-01,
  5.00, 50.00,MEAN,5.0, 0.2056057E+00, 0.2826431E-02, 0.2826431E-02, 0.2771413E-02, 0.8350160E-02, 0.1501064E-01, 0.1539190E-01, 0.1571187E-01, 0.1378587E-01, 0.1127575E-01,
