rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.1000327E-02, 0.7937327E-04, 0.7937327E-04, 0.7670744E-04, 0.1509614E-03, 0.3994044E-04, 0.2386974E-04, 0.1567405E-04, 0.7971195E-05, 0.4786169E-05,
  1.00,  2.00,MEAN,5.0, 0.4580301E-03, 0.3568782E-04, 0.3568782E-04, 0.3490085E-04, 0.7410889E-04, 0.1972863E-04, 0.1179560E-04, 0.7748319E-05, 0.3919233E-05, 0.2338944E-05,
  1.00,  5.00,MEAN,5.0, 0.1612843E-03, 0.1223383E-04, 0.1223383E-04, 0.1214241E-04, 0.2784839E-04, 0.7665966E-05, 0.4595278E-05, 0.3024934E-05, 0.1523012E-05, 0.9029950E-06,
  1.00, 10.00,MEAN,5.0, 0.7191301E-04, 0.5321082E-05, 0.5321082E-05, 0.5333057E-05, 0.1282357E-04, 0.3671953E-05, 0.2212641E-05, 0.1462745E-05, 0.7369282E-06, 0.4358498E-06,
  1.00, 20.00,MEAN,5.0, 0.3101716E-04, 0.2220380E-05, 0.2220380E-05, 0.2241243E-05, 0.5599685E-05, 0.1692526E-05, 0.1031379E-05, 0.6881046E-06, 0.3495045E-06, 0.2071397E-06,
  1.00, 50.00,MEAN,5.0, 0.9129113E-05, 0.6084359E-06, 0.6084359E-06, 0.6144683E-06, 0.1580038E-05, 0.5344018E-06, 0.3372213E-06, 0.2314949E-06, 0.1219000E-06, 0.7355527E-07,
  2.00,  1.00,MEAN,5.0, 0.1676498E-01, 0.8874495E-03, 0.8874495E-03, 0.8499764E-03, 0.2006930E-02, 0.9638874E-03, 0.6381960E-03, 0.4556603E-03, 0.2417179E-03, 0.1431246E-03,
  2.00,  2.00,MEAN,5.0, 0.7676352E-02, 0.3990151E-03, 0.3990151E-03, 0.3867279E-03, 0.9852273E-03, 0.4761132E-03, 0.3153744E-03, 0.2252514E-03, 0.1188465E-03, 0.6994328E-04,
  2.00,  5.00,MEAN,5.0, 0.2703045E-02, 0.1367829E-03, 0.1367829E-03, 0.1345471E-03, 0.3702255E-03, 0.1850037E-03, 0.1228622E-03, 0.8793787E-04, 0.4618369E-04, 0.2700296E-04,
  2.00, 10.00,MEAN,5.0, 0.1205226E-02, 0.5949346E-04, 0.5949346E-04, 0.5909434E-04, 0.1704807E-03, 0.8861568E-04, 0.5915854E-04, 0.4252347E-04, 0.2234656E-04, 0.1303356E-04,
  2.00, 20.00,MEAN,5.0, 0.5198319E-03, 0.2482542E-04, 0.2482542E-04, 0.2483467E-04, 0.7444400E-04, 0.4084592E-04, 0.2757558E-04, 0.2000389E-04, 0.1059835E-04, 0.6194265E-05,
  2.00, 50.00,MEAN,5.0, 0.1529992E-03, 0.6802744E-05, 0.6802744E-05, 0.6808777E-05, 0.2100553E-04, 0.1289678E-04, 0.9016157E-05, 0.6729783E-05, 0.3696488E-05, 0.2199582E-05,
  3.00,  1.00,MEAN,5.0, 0.1521309E+00, 0.4968940E-02, 0.4968940E-02, 0.4756648E-02, 0.1007699E-01, 0.7718208E-02, 0.6109318E-02, 0.5047097E-02, 0.3335442E-02, 0.2295336E-02,
  3.00,  2.00,MEAN,5.0, 0.6965771E-01, 0.2234135E-02, 0.2234135E-02, 0.2164211E-02, 0.4946925E-02, 0.3812417E-02, 0.3019014E-02, 0.2494985E-02, 0.1639952E-02, 0.1121704E-02,
  3.00,  5.00,MEAN,5.0, 0.2452831E-01, 0.7658643E-03, 0.7658643E-03, 0.7529540E-03, 0.1858939E-02, 0.1481394E-02, 0.1176135E-02, 0.9740392E-03, 0.6372842E-03, 0.4330554E-03,
  3.00, 10.00,MEAN,5.0, 0.1093662E-01, 0.3331113E-03, 0.3331113E-03, 0.3307044E-03, 0.8560005E-03, 0.7095790E-03, 0.5663124E-03, 0.4710089E-03, 0.3083580E-03, 0.2090235E-03,
  3.00, 20.00,MEAN,5.0, 0.4717124E-02, 0.1390006E-03, 0.1390006E-03, 0.1389801E-03, 0.3737908E-03, 0.3270686E-03, 0.2639754E-03, 0.2215720E-03, 0.1462455E-03, 0.9933949E-04,
  3.00, 50.00,MEAN,5.0, 0.1388366E-02, 0.3808940E-04, 0.3808940E-04, 0.3810336E-04, 0.1054708E-03, 0.1032694E-03, 0.8630980E-04, 0.7454211E-04, 0.5100749E-04, 0.3527541E-04,
  4.00,  1.00,MEAN,5.0, 0.8564194E+00, 0.1713571E-01, 0.1713571E-01, 0.1645115E-01, 0.2936043E-01, 0.2897267E-01, 0.2648364E-01, 0.2460954E-01, 0.2025343E-01, 0.1665320E-01,
  4.00,  2.00,MEAN,5.0, 0.3921375E+00, 0.7704559E-02, 0.7704559E-02, 0.7485054E-02, 0.1441341E-01, 0.1431108E-01, 0.1308730E-01, 0.1216550E-01, 0.9958098E-02, 0.8138220E-02,
  4.00,  5.00,MEAN,5.0, 0.1380819E+00, 0.2641132E-02, 0.2641132E-02, 0.2604136E-02, 0.5416225E-02, 0.5560868E-02, 0.5098494E-02, 0.4749395E-02, 0.3869710E-02, 0.3141918E-02,
  4.00, 10.00,MEAN,5.0, 0.6156758E-01, 0.1148756E-02, 0.1148756E-02, 0.1143761E-02, 0.2494052E-02, 0.2663624E-02, 0.2454941E-02, 0.2296630E-02, 0.1872408E-02, 0.1516515E-02,
  4.00, 20.00,MEAN,5.0, 0.2655502E-01, 0.4793525E-03, 0.4793525E-03, 0.4806709E-03, 0.1089081E-02, 0.1227753E-02, 0.1144322E-02, 0.1080381E-02, 0.8880306E-03, 0.7207310E-03,
  4.00, 50.00,MEAN,5.0, 0.7815794E-02, 0.1313538E-03, 0.1313538E-03, 0.1317828E-03, 0.3073010E-03, 0.3876534E-03, 0.3741494E-03, 0.3634657E-03, 0.3097271E-03, 0.2559313E-03,
  5.00,  1.00,MEAN,5.0, 0.3426982E+01, 0.4476373E-01, 0.4476373E-01, 0.4302973E-01, 0.7626521E-01, 0.7203570E-01, 0.6575419E-01, 0.6103061E-01, 0.5233428E-01, 0.4610861E-01,
  5.00,  2.00,MEAN,5.0, 0.1569147E+01, 0.2012668E-01, 0.2012668E-01, 0.1957795E-01, 0.3743955E-01, 0.3558212E-01, 0.3249343E-01, 0.3016990E-01, 0.2573144E-01, 0.2253273E-01,
  5.00,  5.00,MEAN,5.0, 0.5525381E+00, 0.6899450E-02, 0.6899450E-02, 0.6811395E-02, 0.1406891E-01, 0.1382617E-01, 0.1265866E-01, 0.1177829E-01, 0.9999216E-02, 0.8699196E-02,
  5.00, 10.00,MEAN,5.0, 0.2463642E+00, 0.3000903E-02, 0.3000903E-02, 0.2991628E-02, 0.6478426E-02, 0.6622654E-02, 0.6095181E-02, 0.5695543E-02, 0.4838247E-02, 0.4198855E-02,
  5.00, 20.00,MEAN,5.0, 0.1062605E+00, 0.1252216E-02, 0.1252216E-02, 0.1257246E-02, 0.2828942E-02, 0.3052602E-02, 0.2841149E-02, 0.2679297E-02, 0.2294645E-02, 0.1995527E-02,
  5.00, 50.00,MEAN,5.0, 0.3127507E-01, 0.3431364E-03, 0.3431364E-03, 0.3446918E-03, 0.7982297E-03, 0.9638353E-03, 0.9289465E-03, 0.9013792E-03, 0.8003257E-03, 0.7086109E-03,
