rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.3434099E-02, 0.5445983E-03, 0.5445983E-03, 0.5899231E-03, 0.3168323E-03, 0.7016506E-04, 0.4230299E-04, 0.2796894E-04, 0.1438199E-04, 0.8601628E-05,
  1.00,  2.00,MEAN,5.0, 0.1605936E-02, 0.2495212E-03, 0.2495212E-03, 0.2772813E-03, 0.1583858E-03, 0.3381145E-04, 0.2037336E-04, 0.1346473E-04, 0.7048428E-05, 0.4301136E-05,
  1.00,  5.00,MEAN,5.0, 0.5094783E-03, 0.7419832E-04, 0.7419832E-04, 0.8334192E-04, 0.5767648E-04, 0.1260184E-04, 0.7546004E-05, 0.4962650E-05, 0.2561783E-05, 0.1547476E-05,
  1.00, 10.00,MEAN,5.0, 0.1960145E-03, 0.2635536E-04, 0.2635536E-04, 0.2947005E-04, 0.2482430E-04, 0.5763998E-05, 0.3449147E-05, 0.2267275E-05, 0.1149961E-05, 0.6814815E-06,
  1.00, 20.00,MEAN,5.0, 0.6906368E-04, 0.8248975E-05, 0.8248975E-05, 0.9128067E-05, 0.9553460E-05, 0.2470008E-05, 0.1495841E-05, 0.9929958E-06, 0.5007066E-06, 0.2924609E-06,
  1.00, 50.00,MEAN,5.0, 0.1370428E-04, 0.1249747E-05, 0.1249747E-05, 0.1359325E-05, 0.1903820E-05, 0.6473840E-06, 0.4171787E-06, 0.2913635E-06, 0.1545815E-06, 0.9193375E-07,
  2.00,  1.00,MEAN,5.0, 0.9295669E-01, 0.1261019E-01, 0.1261019E-01, 0.1295708E-01, 0.1050063E-01, 0.2190137E-02, 0.1277867E-02, 0.8225437E-03, 0.4121888E-03, 0.2452708E-03,
  2.00,  2.00,MEAN,5.0, 0.4347065E-01, 0.5777669E-02, 0.5777669E-02, 0.6090213E-02, 0.5249309E-02, 0.1055393E-02, 0.6154280E-03, 0.3959869E-03, 0.2020084E-03, 0.1226445E-03,
  2.00,  5.00,MEAN,5.0, 0.1379093E-01, 0.1718064E-02, 0.1718064E-02, 0.1830524E-02, 0.1911546E-02, 0.3933547E-03, 0.2279457E-03, 0.1459475E-03, 0.7342086E-04, 0.4412546E-04,
  2.00, 10.00,MEAN,5.0, 0.5305867E-02, 0.6102590E-03, 0.6102590E-03, 0.6472809E-03, 0.8227411E-03, 0.1799180E-03, 0.1041900E-03, 0.6667872E-04, 0.3295797E-04, 0.1943207E-04,
  2.00, 20.00,MEAN,5.0, 0.1869465E-02, 0.1910052E-03, 0.1910052E-03, 0.2004892E-03, 0.3166260E-03, 0.7709899E-04, 0.4518559E-04, 0.2920319E-04, 0.1435028E-04, 0.8339364E-05,
  2.00, 50.00,MEAN,5.0, 0.3709573E-03, 0.2893793E-04, 0.2893793E-04, 0.2985626E-04, 0.6309747E-04, 0.2020749E-04, 0.1260192E-04, 0.8568763E-05, 0.4430320E-05, 0.2621442E-05,
  3.00,  1.00,MEAN,5.0, 0.1547811E+01, 0.1427569E+00, 0.1427569E+00, 0.1423562E+00, 0.1717496E+00, 0.5384369E-01, 0.3356344E-01, 0.2280362E-01, 0.1172993E-01, 0.6932419E-02,
  3.00,  2.00,MEAN,5.0, 0.7238247E+00, 0.6540761E-01, 0.6540761E-01, 0.6691162E-01, 0.8585832E-01, 0.2594644E-01, 0.1616434E-01, 0.1097806E-01, 0.5748684E-02, 0.3466467E-02,
