rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.3393917E-02, 0.5268779E-03, 0.5268779E-03, 0.5651113E-03, 0.3080405E-03, 0.6344155E-04, 0.3824756E-04, 0.2529524E-04, 0.1332461E-04, 0.8148935E-05,
  1.00,  2.00,MEAN,5.0, 0.1550495E-02, 0.2357579E-03, 0.2357579E-03, 0.2602362E-03, 0.1545928E-03, 0.3103938E-04, 0.1861638E-04, 0.1226009E-04, 0.6471775E-05, 0.3993610E-05,
  1.00,  5.00,MEAN,5.0, 0.5259021E-03, 0.7733228E-04, 0.7733228E-04, 0.8678618E-04, 0.5823260E-04, 0.1190400E-04, 0.7108183E-05, 0.4664353E-05, 0.2432600E-05, 0.1486451E-05,
  1.00, 10.00,MEAN,5.0, 0.2241991E-03, 0.3185720E-04, 0.3185720E-04, 0.3587293E-04, 0.2654861E-04, 0.5641239E-05, 0.3370607E-05, 0.2212888E-05, 0.1142517E-05, 0.6894012E-06,
  1.00, 20.00,MEAN,5.0, 0.9119006E-04, 0.1232223E-04, 0.1232223E-04, 0.1385302E-04, 0.1139371E-04, 0.2568824E-05, 0.1546962E-05, 0.1022158E-05, 0.5265521E-06, 0.3149396E-06,
  1.00, 50.00,MEAN,5.0, 0.2400313E-04, 0.2877060E-05, 0.2877060E-05, 0.3202776E-05, 0.3099146E-05, 0.7942849E-06, 0.4952034E-06, 0.3366117E-06, 0.1787256E-06, 0.1081026E-06,
  2.00,  1.00,MEAN,5.0, 0.6239283E-01, 0.6659726E-02, 0.6659726E-02, 0.6658335E-02, 0.7867970E-02, 0.1993898E-02, 0.1176913E-02, 0.7650181E-03, 0.3777097E-03, 0.2195538E-03,
  2.00,  2.00,MEAN,5.0, 0.2850386E-01, 0.2979976E-02, 0.2979976E-02, 0.3066192E-02, 0.3948609E-02, 0.9755334E-03, 0.5728433E-03, 0.3707887E-03, 0.1834540E-03, 0.1075984E-03,
  2.00,  5.00,MEAN,5.0, 0.9668034E-02, 0.9774783E-03, 0.9774783E-03, 0.1022545E-02, 0.1487377E-02, 0.3741294E-03, 0.2187254E-03, 0.1410666E-03, 0.6895633E-04, 0.4004892E-04,
  2.00, 10.00,MEAN,5.0, 0.4121616E-02, 0.4026745E-03, 0.4026745E-03, 0.4226672E-03, 0.6781045E-03, 0.1772979E-03, 0.1037167E-03, 0.6692556E-04, 0.3238665E-04, 0.1857429E-04,
  2.00, 20.00,MEAN,5.0, 0.1676410E-02, 0.1557527E-03, 0.1557527E-03, 0.1632210E-03, 0.2910180E-03, 0.8073532E-04, 0.4760145E-04, 0.3091371E-04, 0.1492605E-04, 0.8485314E-05,
  2.00, 50.00,MEAN,5.0, 0.4412667E-03, 0.3636598E-04, 0.3636598E-04, 0.3773619E-04, 0.7915837E-04, 0.2496350E-04, 0.1523787E-04, 0.1018033E-04, 0.5066290E-05, 0.2912571E-05,
  3.00,  1.00,MEAN,5.0, 0.6511457E+00, 0.4212484E-01, 0.4212484E-01, 0.4103246E-01, 0.6773140E-01, 0.2955649E-01, 0.2011696E-01, 0.1469059E-01, 0.8217283E-02, 0.5061222E-02,
  3.00,  2.00,MEAN,5.0, 0.2974727E+00, 0.1884927E-01, 0.1884927E-01, 0.1889563E-01, 0.3399159E-01, 0.1446079E-01, 0.9791601E-02, 0.7120231E-02, 0.3991142E-02, 0.2480393E-02,
  3.00,  5.00,MEAN,5.0, 0.1008978E+00, 0.6182854E-02, 0.6182854E-02, 0.6301504E-02, 0.1280408E-01, 0.5545898E-02, 0.3738671E-02, 0.2708893E-02, 0.1500183E-02, 0.9232200E-03,
  3.00, 10.00,MEAN,5.0, 0.4301412E-01, 0.2547041E-02, 0.2547041E-02, 0.2604717E-02, 0.5837462E-02, 0.2628171E-02, 0.1772827E-02, 0.1285167E-02, 0.7045896E-03, 0.4281803E-03,
  3.00, 20.00,MEAN,5.0, 0.1749541E-01, 0.9851841E-03, 0.9851841E-03, 0.1005861E-02, 0.2505229E-02, 0.1196778E-02, 0.8136508E-03, 0.5936340E-03, 0.3247245E-03, 0.1956061E-03,
  3.00, 50.00,MEAN,5.0, 0.4605159E-02, 0.2300262E-03, 0.2300262E-03, 0.2325520E-03, 0.6814349E-03, 0.3700457E-03, 0.2604607E-03, 0.1954922E-03, 0.1102199E-03, 0.6714148E-04,
  4.00,  1.00,MEAN,5.0, 0.4232544E+01, 0.1622608E+00, 0.1622608E+00, 0.1575636E+00, 0.2719357E+00, 0.1929258E+00, 0.1569756E+00, 0.1326349E+00, 0.9163069E-01, 0.6486172E-01,
  4.00,  2.00,MEAN,5.0, 0.1933617E+01, 0.7260557E-01, 0.7260557E-01, 0.7255874E-01, 0.1364733E+00, 0.9439075E-01, 0.7640531E-01, 0.6428541E-01, 0.4450512E-01, 0.3178729E-01,
  4.00,  5.00,MEAN,5.0, 0.6558505E+00, 0.2381576E-01, 0.2381576E-01, 0.2419762E-01, 0.5140731E-01, 0.3620005E-01, 0.2917340E-01, 0.2445739E-01, 0.1672851E-01, 0.1183146E-01,
  4.00, 10.00,MEAN,5.0, 0.2795982E+00, 0.9810956E-02, 0.9810956E-02, 0.1000205E-01, 0.2343691E-01, 0.1715501E-01, 0.1383364E-01, 0.1160321E-01, 0.7856860E-02, 0.5487313E-02,
  4.00, 20.00,MEAN,5.0, 0.1137227E+00, 0.3794834E-02, 0.3794834E-02, 0.3862482E-02, 0.1005828E-01, 0.7811796E-02, 0.6349038E-02, 0.5359660E-02, 0.3620995E-02, 0.2506775E-02,
  4.00, 50.00,MEAN,5.0, 0.2993422E-01, 0.8860388E-03, 0.8860388E-03, 0.8929938E-03, 0.2735903E-02, 0.2415420E-02, 0.2032413E-02, 0.1765013E-02, 0.1229060E-02, 0.8604467E-03,
  5.00,  1.00,MEAN,5.0, 0.1880070E+02, 0.4631698E+00, 0.4631698E+00, 0.4491459E+00, 0.7046407E+00, 0.5177038E+00, 0.4595456E+00, 0.4169115E+00, 0.3497620E+00, 0.3002514E+00,
  5.00,  2.00,MEAN,5.0, 0.8589007E+01, 0.2072509E+00, 0.2072509E+00, 0.2068336E+00, 0.3536302E+00, 0.2532915E+00, 0.2236763E+00, 0.2020684E+00, 0.1698797E+00, 0.1471465E+00,
  5.00,  5.00,MEAN,5.0, 0.2913248E+01, 0.6798154E-01, 0.6798154E-01, 0.6897692E-01, 0.1332068E+00, 0.9714049E-01, 0.8540504E-01, 0.7687696E-01, 0.6385410E-01, 0.5476899E-01,
  5.00, 10.00,MEAN,5.0, 0.1241958E+01, 0.2800515E-01, 0.2800515E-01, 0.2851151E-01, 0.6072981E-01, 0.4603435E-01, 0.4049793E-01, 0.3647239E-01, 0.2999029E-01, 0.2540132E-01,
  5.00, 20.00,MEAN,5.0, 0.5051494E+00, 0.1083227E-01, 0.1083227E-01, 0.1101027E-01, 0.2606304E-01, 0.2096245E-01, 0.1858679E-01, 0.1684703E-01, 0.1382164E-01, 0.1160411E-01,
  5.00, 50.00,MEAN,5.0, 0.1329660E+00, 0.2529177E-02, 0.2529177E-02, 0.2545540E-02, 0.7089280E-02, 0.6481624E-02, 0.5949883E-02, 0.5547968E-02, 0.4691424E-02, 0.3983094E-02,
