rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.4163745E-02, 0.7277132E-03, 0.7277132E-03, 0.8413304E-03, 0.3251049E-03, 0.7199955E-04, 0.4363005E-04, 0.2896680E-04, 0.1502689E-04, 0.9018793E-05,
  1.00,  2.00,MEAN,5.0, 0.1952939E-02, 0.3341289E-03, 0.3341289E-03, 0.3987675E-03, 0.1639717E-03, 0.3493254E-04, 0.2115613E-04, 0.1404012E-04, 0.7400979E-05, 0.4535243E-05,
  1.00,  5.00,MEAN,5.0, 0.6458258E-03, 0.1065851E-03, 0.1065851E-03, 0.1297498E-03, 0.6157660E-04, 0.1324890E-04, 0.7961904E-05, 0.5251362E-05, 0.2728050E-05, 0.1655118E-05,
  1.00, 10.00,MEAN,5.0, 0.2638098E-03, 0.4194331E-04, 0.4194331E-04, 0.5121301E-04, 0.2787730E-04, 0.6225522E-05, 0.3725082E-05, 0.2448456E-05, 0.1247721E-05, 0.7419827E-06,
  1.00, 20.00,MEAN,5.0, 0.1020925E-03, 0.1537063E-04, 0.1537063E-04, 0.1867271E-04, 0.1184139E-04, 0.2810551E-05, 0.1687992E-05, 0.1112933E-05, 0.5606118E-06, 0.3276263E-06,
  1.00, 50.00,MEAN,5.0, 0.2529587E-04, 0.3348346E-05, 0.3348346E-05, 0.3980183E-05, 0.3155657E-05, 0.8587894E-06, 0.5345504E-06, 0.3628964E-06, 0.1879721E-06, 0.1106313E-06,
  2.00,  1.00,MEAN,5.0, 0.1051685E+00, 0.1488314E-01, 0.1488314E-01, 0.1550086E-01, 0.1073115E-01, 0.2227252E-02, 0.1302843E-02, 0.8403863E-03, 0.4242594E-03, 0.2535035E-03,
  2.00,  2.00,MEAN,5.0, 0.4932761E-01, 0.6833582E-02, 0.6833582E-02, 0.7346981E-02, 0.5412420E-02, 0.1080612E-02, 0.6317463E-03, 0.4073327E-03, 0.2089544E-03, 0.1274782E-03,
  2.00,  5.00,MEAN,5.0, 0.1631236E-01, 0.2179871E-02, 0.2179871E-02, 0.2390540E-02, 0.2032536E-02, 0.4098449E-03, 0.2377515E-03, 0.1523528E-03, 0.7702200E-04, 0.4652264E-04,
  2.00, 10.00,MEAN,5.0, 0.6663348E-02, 0.8578216E-03, 0.8578216E-03, 0.9435599E-03, 0.9201813E-03, 0.1925819E-03, 0.1112352E-03, 0.7103472E-04, 0.3522734E-04, 0.2085592E-04,
  2.00, 20.00,MEAN,5.0, 0.2578666E-02, 0.3143591E-03, 0.3143591E-03, 0.3440302E-03, 0.3908636E-03, 0.8694228E-04, 0.5040535E-04, 0.3228846E-04, 0.1582795E-04, 0.9209030E-05,
  2.00, 50.00,MEAN,5.0, 0.6389272E-03, 0.6848014E-04, 0.6848014E-04, 0.7333177E-04, 0.1041627E-03, 0.2656600E-04, 0.1596228E-04, 0.1052837E-04, 0.5307085E-05, 0.3109663E-05,
  3.00,  1.00,MEAN,5.0, 0.1569042E+01, 0.1447005E+00, 0.1447005E+00, 0.1430325E+00, 0.1739672E+00, 0.5415013E-01, 0.3371484E-01, 0.2288490E-01, 0.1178564E-01, 0.6966224E-02,
  3.00,  2.00,MEAN,5.0, 0.7359344E+00, 0.6643911E-01, 0.6643911E-01, 0.6779346E-01, 0.8774305E-01, 0.2627241E-01, 0.1634826E-01, 0.1109224E-01, 0.5804613E-02, 0.3503076E-02,
  3.00,  5.00,MEAN,5.0, 0.2433694E+00, 0.2119367E-01, 0.2119367E-01, 0.2205844E-01, 0.3295031E-01, 0.9964366E-02, 0.6152507E-02, 0.4148781E-02, 0.2139619E-02, 0.1278433E-02,
  3.00, 10.00,MEAN,5.0, 0.9941264E-01, 0.8340121E-02, 0.8340121E-02, 0.8706592E-02, 0.1491745E-01, 0.4682154E-02, 0.2878533E-02, 0.1934376E-02, 0.9785919E-03, 0.5731164E-03,
  3.00, 20.00,MEAN,5.0, 0.3847193E-01, 0.3056338E-02, 0.3056338E-02, 0.3174500E-02, 0.6336454E-02, 0.2113787E-02, 0.1304384E-02, 0.8792602E-03, 0.4396899E-03, 0.2530623E-03,
  3.00, 50.00,MEAN,5.0, 0.9532361E-02, 0.6657943E-03, 0.6657943E-03, 0.6766606E-03, 0.1688626E-02, 0.6458868E-03, 0.4130702E-03, 0.2867023E-03, 0.1474272E-03, 0.8545290E-04,
  4.00,  1.00,MEAN,5.0, 0.1410200E+02, 0.7703703E+00, 0.7703703E+00, 0.7484241E+00, 0.1244171E+01, 0.6686095E+00, 0.4800679E+00, 0.3661118E+00, 0.2143063E+00, 0.1350720E+00,
  4.00,  2.00,MEAN,5.0, 0.6614319E+01, 0.3537149E+00, 0.3537149E+00, 0.3547325E+00, 0.6275167E+00, 0.3243942E+00, 0.2327840E+00, 0.1774533E+00, 0.1055492E+00, 0.6792311E-01,
  4.00,  5.00,MEAN,5.0, 0.2187319E+01, 0.1128329E+00, 0.1128329E+00, 0.1154218E+00, 0.2356524E+00, 0.1230333E+00, 0.8760597E-01, 0.6637201E-01, 0.3890615E-01, 0.2478825E-01,
  4.00, 10.00,MEAN,5.0, 0.8934857E+00, 0.4440194E-01, 0.4440194E-01, 0.4555765E-01, 0.1066859E+00, 0.5781211E-01, 0.4098762E-01, 0.3094606E-01, 0.1779440E-01, 0.1111248E-01,
