rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.510327E-01,7.122761E-01,7.122761E-01,7.455044E-01,7.350959E-01,7.372640E-01,7.336695E-01,7.085490E-01,6.544307E-01,6.017147E-01,5.764115E-01,5.399683E-01,5.287547E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.544164E-01,7.307395E-01,7.307395E-01,7.722110E-01,7.638242E-01,7.641980E-01,7.568948E-01,7.242502E-01,6.617298E-01,6.053660E-01,5.786170E-01,5.408477E-01,5.289640E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.548235E-01,7.330112E-01,7.330112E-01,7.755454E-01,7.674272E-01,7.675424E-01,7.597550E-01,7.261668E-01,6.626154E-01,6.058081E-01,5.788841E-01,5.409539E-01,5.289891E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549142E-01,7.335191E-01,7.335191E-01,7.762924E-01,7.682348E-01,7.682910E-01,7.603945E-01,7.265949E-01,6.628130E-01,6.059067E-01,5.789436E-01,5.409776E-01,5.289947E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549487E-01,7.337124E-01,7.337124E-01,7.765768E-01,7.685423E-01,7.685760E-01,7.606379E-01,7.267577E-01,6.628882E-01,6.059442E-01,5.789663E-01,5.409866E-01,5.289968E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549668E-01,7.338139E-01,7.338139E-01,7.767261E-01,7.687038E-01,7.687256E-01,7.607657E-01,7.268432E-01,6.629276E-01,6.059639E-01,5.789782E-01,5.409913E-01,5.289980E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549769E-01,7.338707E-01,7.338707E-01,7.768097E-01,7.687942E-01,7.688093E-01,7.608372E-01,7.268911E-01,6.629497E-01,6.059749E-01,5.789849E-01,5.409940E-01,5.289986E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.510327E-01,7.122761E-01,7.122761E-01,7.455044E-01,7.350959E-01,7.372640E-01,7.336695E-01,7.085490E-01,6.544307E-01,6.017147E-01,5.764115E-01,5.399683E-01,5.287547E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.544606E-01,7.309853E-01,7.309853E-01,7.725713E-01,7.642133E-01,7.645595E-01,7.572042E-01,7.244577E-01,6.618257E-01,6.054139E-01,5.786460E-01,5.408592E-01,5.289667E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.548309E-01,7.330527E-01,7.330527E-01,7.756064E-01,7.674931E-01,7.676035E-01,7.598072E-01,7.262018E-01,6.626315E-01,6.058161E-01,5.788889E-01,5.409558E-01,5.289896E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,60.00,60.00,-60.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549166E-01,7.335328E-01,7.335328E-01,7.763125E-01,7.682566E-01,7.683112E-01,7.604118E-01,7.266064E-01,6.628184E-01,6.059094E-01,5.789452E-01,5.409782E-01,5.289949E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,80.00,80.00,-80.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549498E-01,7.337186E-01,7.337186E-01,7.765859E-01,7.685521E-01,7.685851E-01,7.606457E-01,7.267630E-01,6.628906E-01,6.059454E-01,5.789670E-01,5.409869E-01,5.289969E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,100.00,100.00,-100.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549674E-01,7.338175E-01,7.338175E-01,7.767314E-01,7.687095E-01,7.687309E-01,7.607702E-01,7.268463E-01,6.629290E-01,6.059646E-01,5.789786E-01,5.409915E-01,5.289980E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,120.00,120.00,-120.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549773E-01,7.338728E-01,7.338728E-01,7.768128E-01,7.687976E-01,7.688125E-01,7.608399E-01,7.268929E-01,6.629506E-01,6.059753E-01,5.789851E-01,5.409941E-01,5.289986E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.283081E-01,7.283081E-01,7.668076E-01,7.581698E-01,7.604578E-01,7.555195E-01,7.264474E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.331639E-01,7.331639E-01,7.754940E-01,7.673982E-01,7.677424E-01,7.601963E-01,7.269194E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.337471E-01,7.337471E-01,7.765442E-01,7.685151E-01,7.686195E-01,7.607569E-01,7.269756E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.338771E-01,7.338771E-01,7.767784E-01,7.687643E-01,7.688151E-01,7.608819E-01,7.269882E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,570.00,2.50,INTRA_EVENT_STDDEV,5.0,6.550000E-01,7.339265E-01,7.339265E-01,7.768675E-01,7.688591E-01,7.688894E-01,7.609294E-01,7.269929E-01,6.630000E-01,6.060000E-01,5.790000E-01,5.410000E-01,5.290000E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
