rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.502389E-01,7.080532E-01,7.080532E-01,7.394957E-01,7.286674E-01,7.311690E-01,7.283646E-01,7.049268E-01,6.527351E-01,6.008644E-01,5.758979E-01,5.397629E-01,5.287055E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.542953E-01,7.300652E-01,7.300652E-01,7.712234E-01,7.627576E-01,7.632066E-01,7.560459E-01,7.236806E-01,6.614664E-01,6.052344E-01,5.785376E-01,5.408161E-01,5.289565E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.547866E-01,7.328053E-01,7.328053E-01,7.752427E-01,7.670999E-01,7.672389E-01,7.594957E-01,7.259932E-01,6.625352E-01,6.057680E-01,5.788599E-01,5.409443E-01,5.289868E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.548963E-01,7.334188E-01,7.334188E-01,7.761448E-01,7.680752E-01,7.681431E-01,7.602682E-01,7.265103E-01,6.627740E-01,6.058872E-01,5.789319E-01,5.409729E-01,5.289936E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549380E-01,7.336524E-01,7.336524E-01,7.764884E-01,7.684468E-01,7.684874E-01,7.605623E-01,7.267072E-01,6.628648E-01,6.059326E-01,5.789593E-01,5.409838E-01,5.289962E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549599E-01,7.337750E-01,7.337750E-01,7.766689E-01,7.686419E-01,7.686682E-01,7.607167E-01,7.268105E-01,6.629125E-01,6.059564E-01,5.789736E-01,5.409895E-01,5.289975E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.549721E-01,7.338437E-01,7.338437E-01,7.767699E-01,7.687512E-01,7.687695E-01,7.608032E-01,7.268683E-01,6.629392E-01,6.059697E-01,5.789817E-01,5.409927E-01,5.289983E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.502389E-01,7.080532E-01,7.080532E-01,7.394957E-01,7.286674E-01,7.311690E-01,7.283646E-01,7.049268E-01,6.527351E-01,6.008644E-01,5.758979E-01,5.397629E-01,5.287055E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.543485E-01,7.303613E-01,7.303613E-01,7.716570E-01,7.632258E-01,7.636419E-01,7.564187E-01,7.239308E-01,6.615821E-01,6.052922E-01,5.785725E-01,5.408300E-01,5.289598E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,300.00,4.00,INTRA_EVENT_STDDEV,5.0,6.547956E-01,7.328553E-01,7.328553E-01,7.753162E-01,7.671794E-01,7.673126E-01,7.595587E-01,7.260354E-01,6.625547E-01,6.057778E-01,5.788658E-01,5.409466E-01,5.289874E-01,5.270000E-01,5.210000E-01,5.020000E-01,4.570000E-01,4.410000E-01
