rup_mag,rup_rake,rup_dip,rup_ztor,rup_width,rup_hypo_depth,dist_rrup,dist_rjb,dist_rx,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.010,0.050,0.100,0.150,0.200,0.300,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,TOTAL_STDDEV,5.0,7.031419E-01,7.719267E-01,7.695385E-01,8.357892E-01,7.894587E-01,7.617747E-01,7.448133E-01,7.340862E-01,7.224645E-01,7.180048E-01,7.297184E-01,7.281355E-01,7.256332E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,19.03,19.02,20.00,150.00,5.00,TOTAL_STDDEV,5.0,7.239245E-01,8.295040E-01,8.270864E-01,9.133508E-01,8.722528E-01,8.430345E-01,8.190464E-01,7.918283E-01,7.572425E-01,7.391387E-01,7.432380E-01,7.336305E-01,7.269760E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,39.02,39.02,40.00,150.00,5.00,TOTAL_STDDEV,5.0,7.265366E-01,8.369790E-01,8.345580E-01,9.237433E-01,8.835018E-01,8.538757E-01,8.288031E-01,7.993002E-01,7.617202E-01,7.418642E-01,7.449835E-01,7.343300E-01,7.271426E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,59.02,59.02,60.00,150.00,5.00,TOTAL_STDDEV,5.0,7.271222E-01,8.386623E-01,8.362406E-01,9.260937E-01,8.860501E-01,8.563253E-01,8.310029E-01,8.009814E-01,7.627269E-01,7.424771E-01,7.453761E-01,7.344870E-01,7.271799E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,79.02,79.02,80.00,150.00,5.00,TOTAL_STDDEV,5.0,7.273452E-01,8.393041E-01,8.368821E-01,9.269907E-01,8.870231E-01,8.572599E-01,8.318419E-01,8.016221E-01,7.631105E-01,7.427107E-01,7.455258E-01,7.345469E-01,7.271941E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,99.01,99.02,100.00,150.00,5.00,TOTAL_STDDEV,5.0,7.274765E-01,8.396821E-01,8.372600E-01,9.275194E-01,8.875966E-01,8.578107E-01,8.323361E-01,8.019995E-01,7.633365E-01,7.428482E-01,7.456139E-01,7.345821E-01,7.272025E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,119.01,119.02,120.00,150.00,5.00,TOTAL_STDDEV,5.0,7.275474E-01,8.398864E-01,8.374642E-01,9.278052E-01,8.879066E-01,8.581084E-01,8.326032E-01,8.022035E-01,7.634586E-01,7.429226E-01,7.456615E-01,7.346011E-01,7.272070E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,0.00,0.00,0.00,150.00,5.00,TOTAL_STDDEV,5.0,7.031419E-01,7.719267E-01,7.695385E-01,8.357892E-01,7.894587E-01,7.617747E-01,7.448133E-01,7.340862E-01,7.224645E-01,7.180048E-01,7.297184E-01,7.281355E-01,7.256332E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,20.00,20.00,-20.00,150.00,5.00,TOTAL_STDDEV,5.0,7.242065E-01,8.303085E-01,8.278906E-01,9.144658E-01,8.734582E-01,8.441984E-01,8.200955E-01,7.926330E-01,7.577250E-01,7.394323E-01,7.434260E-01,7.337059E-01,7.269940E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
4.00,-90.00,30.00,0.00,1.13,0.00,40.00,40.00,-40.00,150.00,5.00,TOTAL_STDDEV,5.0,7.265844E-01,8.371161E-01,8.346951E-01,9.239346E-01,8.837092E-01,8.540752E-01,8.289823E-01,7.994372E-01,7.618022E-01,7.419141E-01,7.450155E-01,7.343428E-01,7.271457E-01,7.264496E-01,7.525224E-01,7.329120E-01,6.945344E-01,6.415894E-01
