rup_mag,dist_rhypo,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
5,5.5901699,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,9.0138779,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,13.4629116,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,18.2002754,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,23.0488605,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,27.9508495,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,32.8823662,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,37.8318634,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,42.7931061,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,47.7624321,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,52.7375565,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,57.7169838,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,62.6996803,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,67.6849289,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,72.6722107,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,77.6611252,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,82.6513748,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,87.6427383,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,92.6350403,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5,97.6281204,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,5.5901699,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,9.0138779,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,13.4629116,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,18.2002754,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,23.0488605,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,27.9508495,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,32.8823662,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,37.8318634,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,42.7931061,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
5.5,47.7624321,TOTAL_STDDEV,5,0.7506428,0.7506428,0.7506428,0.7506428,0.7506428,0.7989970,0.7989970
