rup_mag,dist_rhypo,site_vs30,result_type,damping,pga,0.05,0.1,0.2,0.5,0.75,1.0,2.0,5.0,pgv
3.0,1.0,1000.0,MEAN,5.0,0.00779587027864532,0.0117360448405893,0.0270791929173421,0.0200526975317825,0.00403663372649467,0.00150372447015108,0.000697251463553291,0.000158819330421619,3.46144862768207e-05,0.188637489484101
3.0,1.0,600.0,MEAN,5.0,0.00954694903059799,0.0143160023224529,0.0311555710802437,0.0236468231353424,0.00512058222665145,0.00196366892314396,0.000919368108257439,0.000221260230616096,4.21558538813060e-05,0.237207276892279
3.0,1.0,300.0,MEAN,5.0,0.0169849629535294,0.0252244531725353,0.0539927833694529,0.0428423024771934,0.0102640638371460,0.00402594898189688,0.00195609270996347,0.000391384264261092,7.54845187417230e-05,0.447021084561680
3.0,2.0,1000.0,MEAN,5.0,0.00712650149094606,0.0107137616778752,0.0246734449241399,0.0183224415193151,0.00369328327650765,0.00137817553633645,0.000639510349959112,0.000144974120990585,3.16791413126540e-05,0.172685056514279
3.0,2.0,600.0,MEAN,5.0,0.00872722916989907,0.0130689886708856,0.0283876727594867,0.0216064463810014,0.00468503262496812,0.00179971831612825,0.000843232967424276,0.000201971682909050,3.85809929860425e-05,0.217147461661877
3.0,2.0,300.0,MEAN,5.0,0.0155266005571638,0.0230272449889254,0.0491959997047789,0.0391456351668915,0.00939101684404176,0.00368981452887539,0.00179410384759356,0.000357265010059980,6.90833518953024e-05,0.409218026924146
3.0,5.0,1000.0,MEAN,5.0,0.00453717706662489,0.00677203943216188,0.0154429779555740,0.0116396669882178,0.00236564097303795,0.000890586972632076,0.000415058543887020,9.19292870428382e-05,2.03476345286756e-05,0.110853350948875
3.0,5.0,600.0,MEAN,5.0,0.00555630053472271,0.00826074998480525,0.0177676934040894,0.0137258913015781,0.00300088141306188,0.00116299095760460,0.000547279723680825,0.000128071911633642,2.47807204521613e-05,0.139395523047305
3.0,5.0,300.0,MEAN,5.0,0.00988520609447830,0.0145552435986221,0.0307915145728200,0.0248679826269092,0.00601518284992258,0.00238438476391788,0.00116441920073990,0.000226544692499285,4.43725031088521e-05,0.262693196903680
3.0,10.0,1000.0,MEAN,5.0,0.00208470552110426,0.00306774298055133,0.00686868197894799,0.00533153942457019,0.00110711316380583,0.000423650863812258,0.000199535882727842,4.26113242239371e-05,9.63189441606777e-06,0.0519498746850146
3.0,10.0,600.0,MEAN,5.0,0.00255296415184156,0.00374213086527847,0.00790266202821925,0.00628713267190590,0.00140440386063933,0.000553233023765081,0.000263100096051578,5.93642562250860e-05,1.17303700640452e-05,0.0653257650037062
3.0,10.0,300.0,MEAN,5.0,0.00454197476091495,0.00659354494715829,0.0136953586192555,0.0113907579932571,0.00281508825377517,0.00113424819353597,0.000559784677383077,0.000105008639290336,2.10044693066797e-05,0.123107497815252
