rup_mag,dist_rjb,result_type,damping,0.030,0.040,0.050,0.100,0.310,0.500,1.000,2.000,2.500,4.000
4.00, 1.0000,MEAN,5.0,5.549323925e-02,6.594538372e-02,6.745457141e-02,5.608467767e-02,1.687638937e-02,7.456202965e-03,1.677441723e-03,3.390573695e-04,2.043521710e-04,7.211469826e-05
4.00, 1.1300,MEAN,5.0,5.513633675e-02,6.553749516e-02,6.705688006e-02,5.585014174e-02,1.681520609e-02,7.428670487e-03,1.669283952e-03,3.378337038e-04,2.036383660e-04,7.193114841e-05
4.00, 1.2800,MEAN,5.0,5.470805376e-02,6.505822609e-02,6.659800542e-02,5.556461975e-02,1.674382559e-02,7.395019681e-03,1.660106459e-03,3.363041217e-04,2.028225889e-04,7.170680970e-05
4.00, 1.4400,MEAN,5.0,5.420839027e-02,6.449737932e-02,6.605755308e-02,5.522811168e-02,1.666224787e-02,7.354230824e-03,1.649909245e-03,3.344686232e-04,2.019048396e-04,7.143148492e-05
4.00, 1.6300,MEAN,5.0,5.364754349e-02,6.387534925e-02,6.543552302e-02,5.482022312e-02,1.656027573e-02,7.306303918e-03,1.637672588e-03,3.322252361e-04,2.006811739e-04,7.108477964e-05
4.00, 1.8400,MEAN,5.0,5.301531622e-02,6.317174148e-02,6.474211245e-02,5.435115127e-02,1.644810638e-02,7.251238962e-03,1.623396488e-03,3.295739604e-04,1.992535639e-04,7.066669386e-05
4.00, 2.0800,MEAN,5.0,5.231170844e-02,6.239675321e-02,6.396712418e-02,5.381069892e-02,1.630534538e-02,7.186996513e-03,1.607080945e-03,3.265147962e-04,1.975200375e-04,7.015683315e-05
4.00, 2.3500,MEAN,5.0,5.153672017e-02,6.155038443e-02,6.313095262e-02,5.320906328e-02,1.615238717e-02,7.115616014e-03,1.589745681e-03,3.229457712e-04,1.954805947e-04,6.955519752e-05
4.00, 2.6600,MEAN,5.0,5.071074582e-02,6.065302959e-02,6.222340057e-02,5.252584994e-02,1.596883731e-02,7.035058022e-03,1.569351253e-03,3.188668856e-04,1.931352355e-04,6.884139253e-05
4.00, 3.0100,MEAN,5.0,4.982358820e-02,5.968429425e-02,6.125466523e-02,5.178145331e-02,1.577509025e-02,6.947361981e-03,1.547937104e-03,3.142781392e-04,1.904839598e-04,6.800522097e-05
4.00, 3.4000,MEAN,5.0,4.889564171e-02,5.867477005e-02,6.023494381e-02,5.097587339e-02,1.556094875e-02,6.853547611e-03,1.525503233e-03,3.092815043e-04,1.875267677e-04,6.704668285e-05
4.00, 3.8400,MEAN,5.0,4.792690637e-02,5.762445700e-02,5.917443354e-02,5.010911019e-02,1.532641282e-02,6.752595191e-03,1.502049640e-03,3.037750087e-04,1.841616870e-04,6.596577815e-05
4.00, 4.3400,MEAN,5.0,4.692757939e-02,5.652315787e-02,5.806293721e-02,4.920155813e-02,1.508167969e-02,6.647563886e-03,1.476556605e-03,2.979625966e-04,1.806946342e-04,6.476250688e-05
4.00, 4.9000,MEAN,5.0,4.589766076e-02,5.540146432e-02,5.692084922e-02,4.825321722e-02,1.481655212e-02,6.537433973e-03,1.451063569e-03,2.918442681e-04,1.768196929e-04,6.345726348e-05
4.00, 5.5400,MEAN,5.0,4.484734770e-02,5.423898191e-02,5.574816960e-02,4.726408745e-02,1.455142455e-02,6.424244896e-03,1.425570534e-03,2.855219954e-04,1.729447515e-04,6.206024514e-05
4.00, 6.2600,MEAN,5.0,4.377664022e-02,5.304590786e-02,5.454489833e-02,4.625456325e-02,1.427609977e-02,6.309016377e-03,1.399057777e-03,2.789957784e-04,1.687638937e-04,6.057145188e-05
4.00, 7.0700,MEAN,5.0,4.268553831e-02,5.183243938e-02,5.331103543e-02,4.521444741e-02,1.399057777e-02,6.191748414e-03,1.372545021e-03,2.723675892e-04,1.645830359e-04,5.903167255e-05
4.00, 7.9900,MEAN,5.0,4.157404197e-02,5.058837925e-02,5.204658087e-02,4.416413436e-02,1.369485856e-02,6.073460731e-03,1.345012543e-03,2.656374279e-04,1.601982338e-04,5.743070993e-05
4.00, 9.0300,MEAN,5.0,4.045234842e-02,4.931372749e-02,5.076173189e-02,4.308322966e-02,1.340933657e-02,5.954153325e-03,1.318499786e-03,2.589072665e-04,1.559154039e-04,5.580935288e-05
4.00,10.2100,MEAN,5.0,3.773988946e-02,4.634633818e-02,4.779434259e-02,4.048294006e-02,1.267513715e-02,5.668631330e-03,1.260375665e-03,2.438153896e-04,1.455142455e-04,5.111863439e-05
4.00,11.5400,MEAN,5.0,3.165215263e-02,3.947341586e-02,4.110497012e-02,3.570044664e-02,1.142087982e-02,5.137356474e-03,1.148206310e-03,2.212795464e-04,1.317480064e-04,4.602002733e-05
4.00,13.0400,MEAN,5.0,2.650255950e-02,3.353863724e-02,3.528236086e-02,3.141761671e-02,1.028898905e-02,4.650949361e-03,1.044194726e-03,2.005792018e-04,1.191034609e-04,4.131911162e-05
