dist_rrup,rup_mag,rup_ztor,site_vs30,site_z1pt0,result_type,damping,pga,0.01,0.02,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.75,1,1.5,2,2.5,3,4,5
124.000000,5.500000,50.000000,30.000000,-999.000000,MEAN,5,0.0201070437,0.0191860854,0.0182834485,0.0130098777,0.0173999940,0.0270101023,0.0608643188,0.1055587762,0.1444182306,0.1679800692,0.1060128840,0.0732917366,0.0503831733,0.0303419016,0.0177390951,0.0077097124,0.0045025125,0.0036738170,0.0021987764,0.0013927973,0.0007136963
124.000000,5.500000,70.000000,30.000000,-999.000000,MEAN,5,0.0250851585,0.0239260975,0.0227920332,0.0157603327,0.0208013484,0.0320736651,0.0721023836,0.1257583854,0.1737308346,0.2042266767,0.1318197872,0.0929097680,0.0644953801,0.0389970121,0.0229537877,0.0098944147,0.0056650913,0.0044647681,0.0025692490,0.0015376984,0.0007640467
124.000000,7.620000,50.000000,30.000000,-999.000000,MEAN,5,0.0692029351,0.0697719219,0.0680761615,0.0325894786,0.0360467545,0.0457304795,0.0772162780,0.1098754138,0.1438047901,0.1671391212,0.1087143341,0.0870886730,0.0778214486,0.0637070635,0.0618809560,0.0659940373,0.0828486523,0.0975452604,0.0607881147,0.0404214879,0.0254261159
124.000000,7.620000,70.000000,30.000000,-999.000000,MEAN,5,0.0714656865,0.0720229007,0.0702464597,0.0320581877,0.0343714256,0.0421977770,0.0672720020,0.0920466987,0.1179328231,0.1358690943,0.0891236654,0.0732004746,0.0671270065,0.0571056956,0.0598345580,0.0726973380,0.0996979258,0.1185461789,0.0710303229,0.0446267797,0.0272198980
124.000000,9.200000,50.000000,30.000000,-999.000000,MEAN,5,0.0766337157,0.0777027550,0.0761271470,0.0325971005,0.0345244170,0.0395287296,0.0554020426,0.0647740898,0.0755882423,0.0830827494,0.0531907501,0.0449371501,0.0425269765,0.0402617288,0.0590919610,0.0984964248,0.2119787699,0.3205296871,0.2059284423,0.1457640287,0.0885862322
124.000000,9.200000,70.000000,30.000000,-999.000000,MEAN,5,0.0800688823,0.0811516150,0.0794766883,0.0326853473,0.0336461716,0.0373018321,0.0492256504,0.0550100806,0.0623820131,0.0674688734,0.0430320514,0.0369803446,0.0357654750,0.0351330760,0.0558146898,0.1071765025,0.2541773646,0.3895378356,0.2406253888,0.1609287423,0.0948358851
100.000000,7.850000,25.000000,140.000000,100.000000,MEAN,5,0.1575657237,0.1598129288,0.1591948634,0.1473210385,0.2176505152,0.2971750928,0.4287508587,0.4964097185,0.5072833443,0.4974961415,0.2960278741,0.2102078359,0.1647899131,0.1148252266,0.0787240944,0.0485967311,0.0364602965,0.0336100407,0.0251626791,0.0193880842,0.0142505918
100.000000,7.850000,25.000000,500.000000,100.000000,MEAN,5,0.1362189858,0.1380726469,0.1396202226,0.1911228027,0.3137584981,0.4137339844,0.4655705907,0.4390796944,0.3649009789,0.3057436097,0.1893984217,0.1369339405,0.1076135083,0.0752723850,0.0488065724,0.0298538013,0.0198649993,0.0168916123,0.0142535917,0.0113081918,0.0088934119
100.000000,7.850000,25.000000,1600.000000,100.000000,MEAN,5,0.1038161793,0.1052450728,0.1072987350,0.1775528996,0.3022415347,0.3844697243,0.3575867374,0.2878118756,0.2079710072,0.1573683689,0.0969403185,0.0729884194,0.0590990669,0.0431090947,0.0286942146,0.0193103798,0.0130317849,0.0109199470,0.0098280666,0.0079708738,0.0065583630
100.000000,7.850000,25.000000,140.000000,500.000000,MEAN,5,0.1556752147,0.1576922898,0.1570824259,0.1423792194,0.2081269564,0.2828030773,0.4156376510,0.4895073716,0.5022465813,0.4939060566,0.3076861066,0.2273833379,0.1826689385,0.1289327220,0.0894120805,0.0558467707,0.0421771258,0.0393267910,0.0294947838,0.0223739791,0.0160995904
100.000000,7.850000,25.000000,500.000000,500.000000,MEAN,5,0.1357079987,0.1374995741,0.1390407265,0.1891031789,0.3094179387,0.4073974517,0.4610896278,0.4371696512,0.3637690500,0.3050549459,0.1916899680,0.1403237768,0.1111206742,0.0780377546,0.0507799821,0.0311747187,0.0207866129,0.0177382767,0.0149762824,0.0118239314,0.0092377132
100.000000,7.850000,25.000000,1600.000000,500.000000,MEAN,5,0.1038161793,0.1052450728,0.1072987350,0.1775528996,0.3022415347,0.3844697243,0.3575867374,0.2878118756,0.2079710072,0.1573683689,0.0969403185,0.0729884194,0.0590990669,0.0431090947,0.0286942146,0.0193103798,0.0130317849,0.0109199470,0.0098280666,0.0079708738,0.0065583630
100.000000,7.850000,25.000000,140.000000,1300.000000,MEAN,5,0.1545635818,0.1564466185,0.1558415722,0.1395240816,0.2026712165,0.2746015295,0.4080429664,0.4854549885,0.4992799827,0.4917869178,0.3148235753,0.2382370687,0.1941882730,0.1381151224,0.0964318708,0.0606529268,0.0459866813,0.0431707813,0.0324117953,0.0243599199,0.0173089134
100.000000,7.850000,25.000000,500.000000,1300.000000,MEAN,5,0.1357079987,0.1374995741,0.1390407265,0.1891031789,0.3094179387,0.4073974517,0.4610896278,0.4371696512,0.3637690500,0.3050549459,0.1916899680,0.1403237768,0.1111206742,0.0780377546,0.0507799821,0.0311747187,0.0207866129,0.0177382767,0.0149762824,0.0118239314,0.0092377132
100.000000,7.850000,25.000000,1600.000000,1300.000000,MEAN,5,0.1038161793,0.1052450728,0.1072987350,0.1775528996,0.3022415347,0.3844697243,0.3575867374,0.2878118756,0.2079710072,0.1573683689,0.0969403185,0.0729884194,0.0590990669,0.0431090947,0.0286942146,0.0193103798,0.0130317849,0.0109199470,0.0098280666,0.0079708738,0.0065583630
