dist_rrup,rup_mag,rup_ztor,site_vs30,site_z1pt0,result_type,damping,pga,0.01,0.02,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.75,1,1.5,2,2.5,3,4,5
124.000000,5.800000,20.000000,30.000000,-999.000000,MEAN,5,0.0153597563,0.0148441276,0.0142577194,0.0104197423,0.0137359559,0.0204895355,0.0480738867,0.0878108409,0.1324539328,0.1649920650,0.1132584895,0.0796031248,0.0590192141,0.0406354010,0.0266244907,0.0130133885,0.0084281875,0.0066603484,0.0043991795,0.0027908410,0.0015729093
124.000000,5.800000,40.000000,30.000000,-999.000000,MEAN,5,0.0198446016,0.0196319674,0.0192713243,0.0144704905,0.0193714842,0.0290893250,0.0668499661,0.1186717217,0.1742419037,0.2114866873,0.1396870607,0.0952222793,0.0690510757,0.0460785803,0.0291538482,0.0137083170,0.0086640658,0.0066603484,0.0043991795,0.0027908410,0.0015729093
124.000000,7.680000,20.000000,30.000000,-999.000000,MEAN,5,0.0620846102,0.0629917098,0.0617808181,0.0331338357,0.0381498493,0.0497500364,0.0982215186,0.1607196696,0.2333102594,0.2948991427,0.2084534993,0.1638882514,0.1481650660,0.1256312472,0.1155263061,0.0999889727,0.1079737553,0.1101990328,0.0754371686,0.0501277319,0.0333759534
124.000000,7.680000,40.000000,30.000000,-999.000000,MEAN,5,0.0658288791,0.0683702211,0.0685313982,0.0366711444,0.0419816396,0.0537155263,0.0989569117,0.1520154917,0.2104982427,0.2567395557,0.1746340096,0.1349769594,0.1216965875,0.1035004719,0.0978538377,0.0920613926,0.1067210590,0.1101990328,0.0754371686,0.0501277319,0.0333759534
124.000000,8.900000,20.000000,30.000000,-999.000000,MEAN,5,0.0692732887,0.0705292383,0.0693872960,0.0341731996,0.0385805845,0.0470469324,0.0828251321,0.1191097086,0.1673607436,0.2072329842,0.1492061312,0.1237310148,0.1170437325,0.1095322241,0.1327302451,0.1494147943,0.2287707268,0.2756085756,0.1931237201,0.1348161711,0.0873663615
124.000000,8.900000,40.000000,30.000000,-999.000000,MEAN,5,0.0716856766,0.0747113979,0.0751190319,0.0370314443,0.0415313282,0.0494805740,0.0802596961,0.1068672264,0.1414632311,0.1673230034,0.1144304742,0.0927926296,0.0875221791,0.0825948882,0.1045316212,0.1324162246,0.2236127159,0.2756085756,0.1931237201,0.1348161711,0.0873663615
400.000000,7.250000,10.000000,140.000000,200.000000,MEAN,5,0.0013783024,0.0013592632,0.0013356518,0.0012449362,0.0016124962,0.0022147116,0.0033687286,0.0048757372,0.0063692087,0.0078220297,0.0072794130,0.0066327563,0.0070119475,0.0065938259,0.0058114401,0.0049176284,0.0037519908,0.0034033696,0.0027399646,0.0020326204,0.0017754862
400.000000,7.250000,10.000000,700.000000,200.000000,MEAN,5,0.0005976978,0.0005893105,0.0005901762,0.0007410716,0.0009966807,0.0012328598,0.0012857379,0.0014274837,0.0014752793,0.0015412710,0.0016037619,0.0016350094,0.0018677394,0.0019410360,0.0018197510,0.0019186245,0.0015086617,0.0013264655,0.0012413048,0.0009624083,0.0009247287
400.000000,7.250000,10.000000,1400.000000,200.000000,MEAN,5,0.0004958033,0.0004889854,0.0004917691,0.0006624102,0.0009001084,0.0010889209,0.0010387019,0.0010818205,0.0010605877,0.0010691062,0.0011281888,0.0011680047,0.0013496246,0.0014302423,0.0013565950,0.0014995216,0.0011864428,0.0010334277,0.0009994119,0.0007856618,0.0007752857
400.000000,7.250000,10.000000,140.000000,800.000000,MEAN,5,0.0013640461,0.0013437129,0.0013203715,0.0012088806,0.0015515345,0.0021221385,0.0032797917,0.0048172853,0.0063146998,0.0077733852,0.0075256809,0.0070969961,0.0076625002,0.0072859434,0.0064849512,0.0055433678,0.0042535172,0.0038964595,0.0031417258,0.0022995329,0.0019722113
