rup_mag,dist_rhypo,result_type,mmi 
4.5,1.00E-01,MEAN,10.798
4.5,1,MEAN,8.249
4.5,2,MEAN,7.478
4.5,3,MEAN,7.025
4.5,4,MEAN,6.702
4.5,5,MEAN,6.451
4.5,6,MEAN,6.244
4.5,7,MEAN,6.069
4.5,8,MEAN,5.916
4.5,9,MEAN,5.781
4.5,10,MEAN,5.659
4.5,11,MEAN,5.549
4.5,12,MEAN,5.447
4.5,14,MEAN,5.267
4.5,16,MEAN,5.109
4.5,18,MEAN,4.969
4.5,20,MEAN,4.842
4.5,22,MEAN,4.726
4.5,25,MEAN,4.57
4.5,28,MEAN,4.429
4.5,32,MEAN,4.261
4.5,35,MEAN,4.146
4.5,40,MEAN,3.973
4.5,45,MEAN,3.817
4.5,50,MEAN,3.675
4.5,56,MEAN,3.519
4.5,63,MEAN,3.353
4.5,71,MEAN,3.18
4.5,79,MEAN,3.021
4.5,89,MEAN,2.838
4.5,100,MEAN,2.652
4.5,112,MEAN,2.466
4.5,126,MEAN,2.264
4.5,141,MEAN,2.062
4.5,158,MEAN,1.849
4.5,178,MEAN,1.615
4.5,200,MEAN,1.373
4.5,224,MEAN,1.124
4.5,250,MEAN,0.869
4.6,1.00E-01,MEAN,10.928
4.6,1,MEAN,8.379
4.6,2,MEAN,7.608
4.6,3,MEAN,7.155
4.6,4,MEAN,6.832
4.6,5,MEAN,6.581
4.6,6,MEAN,6.374
4.6,7,MEAN,6.199
4.6,8,MEAN,6.046
4.6,9,MEAN,5.911
4.6,10,MEAN,5.789
4.6,11,MEAN,5.679
4.6,12,MEAN,5.577
4.6,14,MEAN,5.397
4.6,16,MEAN,5.239
4.6,18,MEAN,5.099
4.6,20,MEAN,4.972
4.6,22,MEAN,4.856
4.6,25,MEAN,4.7
4.6,28,MEAN,4.559
4.6,32,MEAN,4.391
4.6,35,MEAN,4.277
4.6,40,MEAN,4.103
4.6,45,MEAN,3.948
4.6,50,MEAN,3.805
4.6,56,MEAN,3.649
4.6,63,MEAN,3.483
4.6,71,MEAN,3.31
4.6,79,MEAN,3.151
4.6,89,MEAN,2.968
4.6,100,MEAN,2.783
4.6,112,MEAN,2.596
4.6,126,MEAN,2.394
4.6,141,MEAN,2.192
4.6,158,MEAN,1.979
4.6,178,MEAN,1.745
4.6,200,MEAN,1.503
4.6,224,MEAN,1.254
4.6,250,MEAN,0.999
4.7,1.00E-01,MEAN,11.058
4.7,1,MEAN,8.51
4.7,2,MEAN,7.739
4.7,3,MEAN,7.285
4.7,4,MEAN,6.962
4.7,5,MEAN,6.711
4.7,6,MEAN,6.504
4.7,7,MEAN,6.329
4.7,8,MEAN,6.176
4.7,9,MEAN,6.041
4.7,10,MEAN,5.919
4.7,11,MEAN,5.809
4.7,12,MEAN,5.708
4.7,14,MEAN,5.527
4.7,16,MEAN,5.369
4.7,18,MEAN,5.229
4.7,20,MEAN,5.102
4.7,22,MEAN,4.986
4.7,25,MEAN,4.83
4.7,28,MEAN,4.689
4.7,32,MEAN,4.521
4.7,35,MEAN,4.407
4.7,40,MEAN,4.233
4.7,45,MEAN,4.078
4.7,50,MEAN,3.936
4.7,56,MEAN,3.779
4.7,63,MEAN,3.613
4.7,71,MEAN,3.44
4.7,79,MEAN,3.281
4.7,89,MEAN,3.098
4.7,100,MEAN,2.913
4.7,112,MEAN,2.726
4.7,126,MEAN,2.524
4.7,141,MEAN,2.322
4.7,158,MEAN,2.109
4.7,178,MEAN,1.875
4.7,200,MEAN,1.633
4.7,224,MEAN,1.384
4.7,250,MEAN,1.129
4.8,1.00E-01,MEAN,11.188
4.8,1,MEAN,8.64
4.8,2,MEAN,7.869
4.8,3,MEAN,7.416
4.8,4,MEAN,7.093
4.8,5,MEAN,6.841
4.8,6,MEAN,6.634
4.8,7,MEAN,6.459
4.8,8,MEAN,6.306
4.8,9,MEAN,6.171
4.8,10,MEAN,6.049
4.8,11,MEAN,5.939
4.8,12,MEAN,5.838
4.8,14,MEAN,5.657
4.8,16,MEAN,5.499
4.8,18,MEAN,5.359
4.8,20,MEAN,5.232
4.8,22,MEAN,5.117
4.8,25,MEAN,4.96
4.8,28,MEAN,4.819
4.8,32,MEAN,4.651
4.8,35,MEAN,4.537
4.8,40,MEAN,4.364
4.8,45,MEAN,4.208
4.8,50,MEAN,4.066
4.8,56,MEAN,3.91
4.8,63,MEAN,3.743
4.8,71,MEAN,3.57
4.8,79,MEAN,3.411
4.8,89,MEAN,3.228
4.8,100,MEAN,3.043
4.8,112,MEAN,2.856
4.8,126,MEAN,2.654
4.8,141,MEAN,2.452
4.8,158,MEAN,2.239
4.8,178,MEAN,2.005
4.8,200,MEAN,1.763
4.8,224,MEAN,1.514
4.8,250,MEAN,1.259
4.9,1.00E-01,MEAN,11.318
4.9,1,MEAN,8.77
4.9,2,MEAN,7.999
4.9,3,MEAN,7.546
4.9,4,MEAN,7.223
4.9,5,MEAN,6.971
4.9,6,MEAN,6.764
4.9,7,MEAN,6.589
4.9,8,MEAN,6.436
4.9,9,MEAN,6.301
4.9,10,MEAN,6.18
4.9,11,MEAN,6.069
4.9,12,MEAN,5.968
4.9,14,MEAN,5.787
4.9,16,MEAN,5.629
4.9,18,MEAN,5.489
4.9,20,MEAN,5.362
4.9,22,MEAN,5.247
4.9,25,MEAN,5.09
4.9,28,MEAN,4.949
4.9,32,MEAN,4.781
4.9,35,MEAN,4.667
4.9,40,MEAN,4.494
4.9,45,MEAN,4.338
4.9,50,MEAN,4.196
4.9,56,MEAN,4.04
4.9,63,MEAN,3.874
4.9,71,MEAN,3.7
4.9,79,MEAN,3.541
4.9,89,MEAN,3.358
4.9,100,MEAN,3.173
4.9,112,MEAN,2.986
