rup_mag,dist_rjb,result_type,damping,pgv,pga,0.01,0.02,0.05,0.1,0.2,0.5,1.0,2.0,3.0
3.0,0.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,1.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,2.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,5.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,10.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,50.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,100.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
3.0,300.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,0.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,1.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,2.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,5.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,10.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,50.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,100.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
4.0,300.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,0.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,1.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,2.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,5.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,10.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,50.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,100.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
5.0,300.0,INTER_EVENT_STDDEV,5.0,0.39302500,0.48122600,0.48170700,0.48600300,0.49718200,0.49001000,0.46261900,0.42791000,0.38441700,0.35335700,0.34408200
