rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0,7.5,10.0,pga,pgv
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.070E+03,0,0.000E+00,MEAN,5.0,1.221E-01,1.294E-01,1.515E-01,1.785E-01,2.080E-01,2.700E-01,2.989E-01,2.795E-01,2.158E-01,1.621E-01,1.227E-01,7.450E-02,4.896E-02,2.254E-02,1.297E-02,5.723E-03,2.972E-03,1.147E-03,5.759E-04,3.281E-04,1.038E-04,4.079E-05,1.221E-01,4.260E+00
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.070E+03,0,1.000E+02,MEAN,5.0,1.138E-01,1.207E-01,1.412E-01,1.664E-01,1.939E-01,2.521E-01,2.802E-01,2.660E-01,2.162E-01,1.701E-01,1.323E-01,8.201E-02,5.409E-02,2.434E-02,1.352E-02,5.643E-03,2.815E-03,1.014E-03,4.782E-04,2.608E-04,7.959E-05,3.120E-05,1.138E-01,3.802E+00
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.070E+03,0,1.000E+03,MEAN,5.0,1.430E-01,1.516E-01,1.774E-01,2.091E-01,2.436E-01,3.168E-01,3.522E-01,3.354E-01,2.743E-01,2.181E-01,1.728E-01,1.119E-01,7.737E-02,3.686E-02,2.088E-02,8.850E-03,4.434E-03,1.601E-03,7.553E-04,4.120E-04,1.258E-04,4.929E-05,1.430E-01,5.003E+00
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.070E+03,0,7.000E+02,MEAN,5.0,1.329E-01,1.409E-01,1.649E-01,1.944E-01,2.265E-01,2.946E-01,3.277E-01,3.124E-01,2.557E-01,2.037E-01,1.615E-01,1.043E-01,7.103E-02,3.243E-02,1.843E-02,7.953E-03,4.014E-03,1.455E-03,6.872E-04,3.750E-04,1.145E-04,4.488E-05,1.329E-01,4.549E+00
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+02,0,0.000E+00,MEAN,5.0,1.847E-01,1.912E-01,2.081E-01,2.265E-01,2.473E-01,2.967E-01,3.391E-01,3.759E-01,3.502E-01,3.103E-01,2.717E-01,2.062E-01,1.575E-01,8.939E-02,5.742E-02,2.872E-02,1.613E-02,6.757E-03,3.531E-03,2.009E-03,5.352E-04,1.723E-04,1.847E-01,1.615E+01
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+02,0,1.000E+02,MEAN,5.0,1.722E-01,1.783E-01,1.940E-01,2.111E-01,2.306E-01,2.771E-01,3.178E-01,3.578E-01,3.508E-01,3.255E-01,2.931E-01,2.270E-01,1.740E-01,9.650E-02,5.984E-02,2.832E-02,1.528E-02,5.973E-03,2.932E-03,1.597E-03,4.102E-04,1.317E-04,1.722E-01,1.441E+01
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+02,0,1.000E+03,MEAN,5.0,2.163E-01,2.239E-01,2.437E-01,2.652E-01,2.897E-01,3.481E-01,3.996E-01,4.512E-01,4.450E-01,4.175E-01,3.826E-01,3.097E-01,2.489E-01,1.461E-01,9.243E-02,4.442E-02,2.407E-02,9.430E-03,4.632E-03,2.522E-03,6.481E-04,2.082E-04,2.163E-01,1.897E+01
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+02,0,7.000E+02,MEAN,5.0,2.011E-01,2.082E-01,2.266E-01,2.466E-01,2.693E-01,3.238E-01,3.717E-01,4.202E-01,4.150E-01,3.899E-01,3.576E-01,2.888E-01,2.285E-01,1.286E-01,8.158E-02,3.992E-02,2.179E-02,8.570E-03,4.214E-03,2.296E-03,5.901E-04,1.895E-04,2.011E-01,1.725E+01
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+03,0,0.000E+00,MEAN,5.0,1.192E-01,1.264E-01,1.481E-01,1.747E-01,2.037E-01,2.644E-01,2.921E-01,2.720E-01,2.093E-01,1.569E-01,1.185E-01,7.175E-02,4.706E-02,2.162E-02,1.242E-02,5.467E-03,2.835E-03,1.092E-03,5.476E-04,3.120E-04,9.922E-05,3.919E-05,1.192E-01,4.082E+00
4.0,30.0,0.0,0.0,0.0,0.0,0.0,1.500E+03,0,1.000E+02,MEAN,5.0,1.111E-01,1.179E-01,1.381E-01,1.629E-01,1.899E-01,2.469E-01,2.738E-01,2.589E-01,2.097E-01,1.646E-01,1.278E-01,7.898E-02,5.200E-02,2.334E-02,1.294E-02,5.391E-03,2.685E-03,9.656E-04,4.547E-04,2.480E-04,7.605E-05,2.997E-05,1.111E-01,3.643E+00
