rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0,7.5,10.0,pga,pgv
4.0,30.0,-70.0,0.0,0.0,0.0,0.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.021E-01,1.080E-01,1.257E-01,1.470E-01,1.703E-01,2.213E-01,2.489E-01,2.438E-01,2.035E-01,1.639E-01,1.302E-01,8.360E-02,5.679E-02,2.692E-02,1.544E-02,6.676E-03,3.390E-03,1.245E-03,5.921E-04,3.232E-04,9.572E-05,3.628E-05,1.021E-01,4.668E+00
4.0,30.0,-70.0,0.0,100.0,100.0,100.0,7.600E+02,0,1.000E+02,MEAN,5.0,2.413E-04,2.514E-04,2.766E-04,3.011E-04,3.243E-04,3.729E-04,4.134E-04,4.672E-04,4.580E-04,4.207E-04,3.723E-04,2.817E-04,2.146E-04,1.211E-04,7.711E-05,3.757E-05,2.030E-05,7.879E-06,3.824E-06,2.107E-06,6.306E-07,2.402E-07,2.413E-04,1.485E-02
4.0,30.0,-70.0,0.0,10.0,10.0,10.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.379E-02,1.455E-02,1.683E-02,1.955E-02,2.250E-02,2.888E-02,3.227E-02,3.139E-02,2.594E-02,2.062E-02,1.618E-02,1.020E-02,6.855E-03,3.220E-03,1.847E-03,8.029E-04,4.094E-04,1.509E-04,7.189E-05,3.927E-05,1.164E-05,4.413E-06,1.379E-02,5.225E-01
4.0,30.0,-70.0,0.0,1.0,1.0,1.0,7.600E+02,0,1.000E+02,MEAN,5.0,7.581E-02,8.018E-02,9.323E-02,1.090E-01,1.262E-01,1.638E-01,1.840E-01,1.795E-01,1.492E-01,1.195E-01,9.449E-02,6.025E-02,4.074E-02,1.922E-02,1.100E-02,4.755E-03,2.415E-03,8.867E-04,4.218E-04,2.302E-04,6.819E-05,2.584E-05,7.581E-02,3.293E+00
4.0,30.0,-70.0,0.0,200.0,200.0,200.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.277E-05,3.366E-05,3.506E-05,3.550E-05,3.555E-05,3.625E-05,4.000E-05,5.417E-05,6.529E-05,7.157E-05,7.341E-05,6.952E-05,6.170E-05,4.338E-05,3.118E-05,1.731E-05,9.994E-06,4.110E-06,2.037E-06,1.134E-06,3.430E-07,1.313E-07,3.277E-05,3.969E-03
4.0,30.0,-70.0,0.0,50.0,50.0,50.0,7.600E+02,0,1.000E+02,MEAN,5.0,9.644E-04,1.012E-03,1.144E-03,1.291E-03,1.443E-03,1.763E-03,1.959E-03,2.026E-03,1.795E-03,1.512E-03,1.245E-03,8.441E-04,5.965E-04,3.022E-04,1.812E-04,8.271E-05,4.326E-05,1.631E-05,7.833E-06,4.295E-06,1.278E-06,4.857E-07,9.644E-04,4.297E-02
4.0,30.0,-70.0,0.0,5.0,5.0,5.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.042E-02,3.213E-02,3.727E-02,4.345E-02,5.018E-02,6.483E-02,7.260E-02,7.047E-02,5.814E-02,4.621E-02,3.625E-02,2.286E-02,1.535E-02,7.190E-03,4.112E-03,1.780E-03,9.050E-04,3.328E-04,1.584E-04,8.648E-05,2.562E-05,9.712E-06,3.042E-02,1.196E+00
4.0,30.0,-70.0,5.0,0.0,0.0,0.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.318E-01,1.394E-01,1.622E-01,1.893E-01,2.188E-01,2.826E-01,3.168E-01,3.088E-01,2.570E-01,2.064E-01,1.635E-01,1.044E-01,7.034E-02,3.266E-02,1.839E-02,7.679E-03,3.771E-03,1.313E-03,6.044E-04,3.248E-04,9.572E-05,3.628E-05,1.318E-01,5.177E+00
4.0,30.0,-70.0,5.0,100.0,100.0,100.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.114E-04,3.244E-04,3.568E-04,3.877E-04,4.168E-04,4.771E-04,5.272E-04,5.929E-04,5.789E-04,5.300E-04,4.676E-04,3.516E-04,2.657E-04,1.468E-04,9.178E-05,4.318E-05,2.257E-05,8.306E-06,3.903E-06,2.118E-06,6.306E-07,2.402E-07,3.114E-04,1.646E-02
4.0,30.0,-70.0,5.0,10.0,10.0,10.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.622E-02,1.708E-02,1.967E-02,2.273E-02,2.603E-02,3.308E-02,3.675E-02,3.558E-02,2.940E-02,2.340E-02,1.839E-02,1.160E-02,7.771E-03,3.608E-03,2.046E-03,8.700E-04,4.350E-04,1.568E-04,7.331E-05,3.946E-05,1.164E-05,4.413E-06,1.622E-02,5.589E-01
4.0,30.0,-70.0,5.0,1.0,1.0,1.0,7.600E+02,0,1.000E+02,MEAN,5.0,2.203E-02,2.235E-02,2.459E-02,2.732E-02,3.039E-02,3.759E-02,4.238E-02,4.668E-02,4.569E-02,4.243E-02,3.755E-02,2.777E-02,2.046E-02,1.076E-02,6.543E-03,3.106E-03,1.742E-03,8.151E-04,4.265E-04,2.314E-04,6.819E-05,2.584E-05,2.203E-02,2.587E+00
4.0,30.0,-70.0,5.0,200.0,200.0,200.0,7.600E+02,0,1.000E+02,MEAN,5.0,4.232E-05,4.347E-05,4.525E-05,4.576E-05,4.572E-05,4.641E-05,5.106E-05,6.880E-05,8.260E-05,9.023E-05,9.227E-05,8.682E-05,7.644E-05,5.263E-05,3.714E-05,1.991E-05,1.112E-05,4.333E-06,2.079E-06,1.139E-06,3.430E-07,1.313E-07,4.232E-05,4.402E-03
4.0,30.0,-70.0,5.0,50.0,50.0,50.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.241E-03,1.302E-03,1.471E-03,1.658E-03,1.848E-03,2.247E-03,2.490E-03,2.562E-03,2.261E-03,1.899E-03,1.558E-03,1.050E-03,7.364E-04,3.654E-04,2.151E-04,9.490E-05,4.802E-05,1.719E-05,7.994E-06,4.316E-06,1.278E-06,4.857E-07,1.241E-03,4.759E-02
4.0,30.0,-70.0,5.0,5.0,5.0,5.0,7.600E+02,0,1.000E+02,MEAN,5.0,2.845E-02,2.978E-02,3.410E-02,3.921E-02,4.474E-02,5.656E-02,6.261E-02,6.072E-02,5.077E-02,4.103E-02,3.268E-02,2.106E-02,1.432E-02,6.790E-03,3.902E-03,1.699E-03,8.726E-04,3.354E-04,1.612E-04,8.692E-05,2.562E-05,9.712E-06,2.845E-02,1.184E+00
4.0,60.0,-70.0,0.0,0.0,0.0,0.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.021E-01,1.080E-01,1.257E-01,1.470E-01,1.703E-01,2.213E-01,2.489E-01,2.438E-01,2.035E-01,1.639E-01,1.302E-01,8.360E-02,5.679E-02,2.692E-02,1.544E-02,6.676E-03,3.390E-03,1.245E-03,5.921E-04,3.232E-04,9.572E-05,3.628E-05,1.021E-01,4.668E+00
4.0,60.0,-70.0,0.0,100.0,100.0,100.0,7.600E+02,0,1.000E+02,MEAN,5.0,2.413E-04,2.514E-04,2.766E-04,3.011E-04,3.243E-04,3.729E-04,4.134E-04,4.672E-04,4.580E-04,4.207E-04,3.723E-04,2.817E-04,2.146E-04,1.211E-04,7.711E-05,3.757E-05,2.030E-05,7.879E-06,3.824E-06,2.107E-06,6.306E-07,2.402E-07,2.413E-04,1.485E-02
4.0,60.0,-70.0,0.0,10.0,10.0,10.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.379E-02,1.455E-02,1.683E-02,1.955E-02,2.250E-02,2.888E-02,3.227E-02,3.139E-02,2.594E-02,2.062E-02,1.618E-02,1.020E-02,6.855E-03,3.220E-03,1.847E-03,8.029E-04,4.094E-04,1.509E-04,7.189E-05,3.927E-05,1.164E-05,4.413E-06,1.379E-02,5.224E-01
4.0,60.0,-70.0,0.0,1.0,1.0,1.0,7.600E+02,0,1.000E+02,MEAN,5.0,7.579E-02,8.016E-02,9.321E-02,1.090E-01,1.261E-01,1.637E-01,1.839E-01,1.795E-01,1.491E-01,1.195E-01,9.447E-02,6.024E-02,4.074E-02,1.921E-02,1.100E-02,4.755E-03,2.415E-03,8.867E-04,4.218E-04,2.302E-04,6.819E-05,2.584E-05,7.579E-02,3.293E+00
4.0,60.0,-70.0,0.0,200.0,200.0,200.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.277E-05,3.366E-05,3.506E-05,3.550E-05,3.555E-05,3.625E-05,4.000E-05,5.417E-05,6.529E-05,7.157E-05,7.341E-05,6.952E-05,6.170E-05,4.338E-05,3.118E-05,1.731E-05,9.994E-06,4.110E-06,2.037E-06,1.134E-06,3.430E-07,1.313E-07,3.277E-05,3.969E-03
4.0,60.0,-70.0,0.0,50.0,50.0,50.0,7.600E+02,0,1.000E+02,MEAN,5.0,9.644E-04,1.012E-03,1.144E-03,1.291E-03,1.443E-03,1.763E-03,1.959E-03,2.026E-03,1.795E-03,1.512E-03,1.245E-03,8.441E-04,5.965E-04,3.022E-04,1.812E-04,8.271E-05,4.326E-05,1.631E-05,7.833E-06,4.295E-06,1.278E-06,4.857E-07,9.644E-04,4.297E-02
4.0,60.0,-70.0,0.0,5.0,5.0,5.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.041E-02,3.213E-02,3.727E-02,4.345E-02,5.018E-02,6.482E-02,7.259E-02,7.047E-02,5.813E-02,4.621E-02,3.625E-02,2.285E-02,1.535E-02,7.189E-03,4.112E-03,1.780E-03,9.050E-04,3.328E-04,1.584E-04,8.648E-05,2.562E-05,9.712E-06,3.041E-02,1.196E+00
4.0,60.0,-70.0,5.0,0.0,0.0,0.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.318E-01,1.394E-01,1.622E-01,1.893E-01,2.188E-01,2.826E-01,3.168E-01,3.088E-01,2.570E-01,2.064E-01,1.635E-01,1.044E-01,7.034E-02,3.266E-02,1.839E-02,7.679E-03,3.771E-03,1.313E-03,6.044E-04,3.248E-04,9.572E-05,3.628E-05,1.318E-01,5.177E+00
4.0,60.0,-70.0,5.0,100.0,100.0,100.0,7.600E+02,0,1.000E+02,MEAN,5.0,3.114E-04,3.244E-04,3.568E-04,3.877E-04,4.168E-04,4.771E-04,5.272E-04,5.929E-04,5.789E-04,5.300E-04,4.676E-04,3.516E-04,2.657E-04,1.468E-04,9.178E-05,4.318E-05,2.257E-05,8.306E-06,3.903E-06,2.118E-06,6.306E-07,2.402E-07,3.114E-04,1.646E-02
4.0,60.0,-70.0,5.0,10.0,10.0,10.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.633E-02,1.719E-02,1.981E-02,2.290E-02,2.623E-02,3.337E-02,3.711E-02,3.602E-02,2.984E-02,2.381E-02,1.873E-02,1.184E-02,7.935E-03,3.682E-03,2.085E-03,8.839E-04,4.403E-04,1.575E-04,7.333E-05,3.946E-05,1.164E-05,4.413E-06,1.633E-02,5.642E-01
4.0,60.0,-70.0,5.0,1.0,1.0,1.0,7.600E+02,0,1.000E+02,MEAN,5.0,5.744E-02,5.986E-02,6.824E-02,7.828E-02,8.928E-02,1.138E-01,1.280E-01,1.307E-01,1.151E-01,9.715E-02,7.984E-02,5.345E-02,3.706E-02,1.790E-02,1.034E-02,4.509E-03,2.317E-03,8.923E-04,4.292E-04,2.314E-04,6.819E-05,2.584E-05,5.744E-02,3.247E+00
4.0,60.0,-70.0,5.0,200.0,200.0,200.0,7.600E+02,0,1.000E+02,MEAN,5.0,4.232E-05,4.347E-05,4.525E-05,4.576E-05,4.572E-05,4.641E-05,5.106E-05,6.880E-05,8.260E-05,9.023E-05,9.227E-05,8.682E-05,7.644E-05,5.263E-05,3.714E-05,1.991E-05,1.112E-05,4.333E-06,2.079E-06,1.139E-06,3.430E-07,1.313E-07,4.232E-05,4.402E-03
4.0,60.0,-70.0,5.0,50.0,50.0,50.0,7.600E+02,0,1.000E+02,MEAN,5.0,1.241E-03,1.302E-03,1.471E-03,1.658E-03,1.848E-03,2.247E-03,2.490E-03,2.562E-03,2.261E-03,1.899E-03,1.558E-03,1.050E-03,7.364E-04,3.654E-04,2.151E-04,9.490E-05,4.802E-05,1.719E-05,7.994E-06,4.316E-06,1.278E-06,4.857E-07,1.241E-03,4.759E-02
