rup_mag,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
5.5,17.5,MEAN,5,0.0943339,0.2066116,0.1899652,0.1316463,0.0664617,0.0187415,0.0048776
5.5,22.5,MEAN,5,0.0773142,0.1693348,0.1556917,0.1082076,0.0547136,0.0154046,0.0040079
5.5,27.5,MEAN,5,0.0653375,0.1431032,0.1315736,0.0916778,0.0464305,0.0130649,0.0034025
5.5,32.5,MEAN,5,0.0564415,0.1236191,0.1136593,0.0793767,0.0402675,0.0113321,0.0029569
5.5,37.5,MEAN,5,0.0495591,0.1085452,0.0997998,0.0698438,0.0354917,0.0099945,0.0026146
5.5,42.5,MEAN,5,0.0440656,0.0965130,0.0887371,0.0622230,0.0316736,0.0089287,0.0023431
5.5,47.5,MEAN,5,0.0395717,0.0866705,0.0796876,0.0559801,0.0285454,0.0080579,0.0021221
5.5,52.5,MEAN,5,0.0361727,0.0792259,0.0728428,0.0511240,0.0260149,0.0073111,0.0019183
5.5,57.5,MEAN,5,0.0335674,0.0735198,0.0675964,0.0472843,0.0239313,0.0066623,0.0017304
5.5,62.5,MEAN,5,0.0312769,0.0685032,0.0629840,0.0439265,0.0221252,0.0061082,0.0015727
5.5,67.5,MEAN,5,0.0292438,0.0640503,0.0588898,0.0409606,0.0205428,0.0056294,0.0014386
5.5,72.5,MEAN,5,0.0274244,0.0600654,0.0552260,0.0383186,0.0191437,0.0052114,0.0013231
5.5,77.5,MEAN,5,0.0257849,0.0564745,0.0519245,0.0359478,0.0178968,0.0048433,0.0012228
5.5,82.5,MEAN,5,0.0242986,0.0532191,0.0489313,0.0338069,0.0167780,0.0045165,0.0011348
5.5,87.5,MEAN,5,0.0229439,0.0502521,0.0462034,0.0318628,0.0157681,0.0042245,0.0010570
5.5,92.5,MEAN,5,0.0217036,0.0475355,0.0437056,0.0300887,0.0148517,0.0039619,0.0009879
5.5,97.5,MEAN,5,0.0205632,0.0450378,0.0414092,0.0284629,0.0140161,0.0037247,0.0009260
6,2.5,MEAN,5,0.363539,0.7962288,0.7320777,0.5449416,0.3006136,0.0953607,0.0278935
6,7.5,MEAN,5,0.2683855,0.5878223,0.5404623,0.4040418,0.2231778,0.0704122,0.0204841
6,12.5,MEAN,5,0.2014593,0.4412392,0.4056892,0.3045327,0.1684381,0.0528833,0.0153125
6,17.5,MEAN,5,0.1599643,0.3503563,0.3221286,0.2426326,0.1343974,0.0420706,0.0121552
6,22.5,MEAN,5,0.1324087,0.2900035,0.2666384,0.2014188,0.1117420,0.0349242,0.0100873
6,27.5,MEAN,5,0.1128143,0.2470876,0.2271801,0.1720485,0.0956025,0.0298626,0.0086338
6,32.5,MEAN,5,0.0981301,0.2149260,0.1976097,0.1499966,0.0834876,0.0260815,0.0075551
6,37.5,MEAN,5,0.0866813,0.1898507,0.1745547,0.1327747,0.0740274,0.0231411,0.0067208
6,42.5,MEAN,5,0.07748,0.1696978,0.1560255,0.1189122,0.0664127,0.0207825,0.0060547
6,47.5,MEAN,5,0.0699065,0.1531104,0.1407745,0.1074861,0.0601359,0.0188440,0.0055095
6,52.5,MEAN,5,0.0641738,0.1405545,0.1292303,0.0985798,0.0550382,0.0171705,0.0050014
6,57.5,MEAN,5,0.0597828,0.1309372,0.1203878,0.0915293,0.0508263,0.0157072,0.0045291
6,62.5,MEAN,5,0.0559018,0.1224370,0.1125724,0.0853323,0.0471578,0.0144522,0.0041310
6,67.5,MEAN,5,0.05244,0.1148549,0.1056012,0.0798326,0.0439291,0.0133632,0.0037911
6,72.5,MEAN,5,0.0493279,0.1080387,0.0993342,0.0749118,0.0410624,0.0124088,0.0034976
6,77.5,MEAN,5,0.0465114,0.1018701,0.0936625,0.0704777,0.0384976,0.0115651,0.0032415
6,82.5,MEAN,5,0.0439478,0.0962551,0.0884999,0.0664579,0.0361877,0.0108137,0.0030163
