rup_mag,dist_rrup,site_vs30,site_backarc,result_type,damping,pgv,pga,0.07,0.14,0.34,0.65,1.25,2.44,5.88,9.09
6.0,1.0,1000.0,0.0,MEAN,5.0,5.15985786e+00,7.32952686e-02,1.26335438e-01,2.56445143e-01,2.23282207e-01,8.78161712e-02,4.41106385e-02,1.66699822e-02,2.11761614e-03,7.45836748e-04
6.0,1.0,1000.0,0.0,MEAN,5.0,5.15985786e+00,7.32952686e-02,1.26335438e-01,2.56445143e-01,2.23282207e-01,8.78161712e-02,4.41106385e-02,1.66699822e-02,2.11761614e-03,7.45836748e-04
6.0,1.0,1000.0,0.0,MEAN,5.0,5.15985786e+00,7.32952686e-02,1.26335438e-01,2.56445143e-01,2.23282207e-01,8.78161712e-02,4.41106385e-02,1.66699822e-02,2.11761614e-03,7.45836748e-04
6.0,1.0,1000.0,1.0,MEAN,5.0,5.15641352e+00,7.31620626e-02,1.26065192e-01,2.55755203e-01,2.22758414e-01,8.76908940e-02,4.40659710e-02,1.66554027e-02,2.11630003e-03,7.45510522e-04
6.0,1.0,1000.0,1.0,MEAN,5.0,5.15641352e+00,7.31620626e-02,1.26065192e-01,2.55755203e-01,2.22758414e-01,8.76908940e-02,4.40659710e-02,1.66554027e-02,2.11630003e-03,7.45510522e-04
6.0,1.0,1000.0,1.0,MEAN,5.0,5.15641352e+00,7.31620626e-02,1.26065192e-01,2.55755203e-01,2.22758414e-01,8.76908940e-02,4.40659710e-02,1.66554027e-02,2.11630003e-03,7.45510522e-04
6.0,1.0,760.0,0.0,MEAN,5.0,5.65052030e+00,7.78355079e-02,1.27940418e-01,2.62281563e-01,2.51801182e-01,1.05600935e-01,5.26669009e-02,1.91901232e-02,2.42308006e-03,8.35348628e-04
6.0,1.0,760.0,0.0,MEAN,5.0,5.65052030e+00,7.78355079e-02,1.27940418e-01,2.62281563e-01,2.51801182e-01,1.05600935e-01,5.26669009e-02,1.91901232e-02,2.42308006e-03,8.35348628e-04
6.0,1.0,760.0,0.0,MEAN,5.0,5.65052030e+00,7.78355079e-02,1.27940418e-01,2.62281563e-01,2.51801182e-01,1.05600935e-01,5.26669009e-02,1.91901232e-02,2.42308006e-03,8.35348628e-04
6.0,1.0,760.0,1.0,MEAN,5.0,5.64674842e+00,7.76940505e-02,1.27666739e-01,2.61575921e-01,2.51210486e-01,1.05450286e-01,5.26135691e-02,1.91733396e-02,2.42157410e-03,8.34983250e-04
6.0,1.0,760.0,1.0,MEAN,5.0,5.64674842e+00,7.76940505e-02,1.27666739e-01,2.61575921e-01,2.51210486e-01,1.05450286e-01,5.26135691e-02,1.91733396e-02,2.42157410e-03,8.34983250e-04
6.0,1.0,760.0,1.0,MEAN,5.0,5.64674842e+00,7.76940505e-02,1.27666739e-01,2.61575921e-01,2.51210486e-01,1.05450286e-01,5.26135691e-02,1.91733396e-02,2.42157410e-03,8.34983250e-04
6.0,1.0,570.0,0.0,MEAN,5.0,6.21502902e+00,8.28971018e-02,1.29644753e-01,2.68542322e-01,2.85614946e-01,1.28122851e-01,6.34232054e-02,2.22418719e-02,2.79069699e-03,9.40735346e-04
6.0,1.0,570.0,0.0,MEAN,5.0,6.21502902e+00,8.28971018e-02,1.29644753e-01,2.68542322e-01,2.85614946e-01,1.28122851e-01,6.34232054e-02,2.22418719e-02,2.79069699e-03,9.40735346e-04
6.0,1.0,570.0,0.0,MEAN,5.0,6.21502902e+00,8.28971018e-02,1.29644753e-01,2.68542322e-01,2.85614946e-01,1.28122851e-01,6.34232054e-02,2.22418719e-02,2.79069699e-03,9.40735346e-04
6.0,1.0,570.0,1.0,MEAN,5.0,6.21088033e+00,8.27464455e-02,1.29367429e-01,2.67819836e-01,2.84944928e-01,1.27940073e-01,6.33589815e-02,2.22224192e-02,2.78896256e-03,9.40323873e-04
6.0,1.0,570.0,1.0,MEAN,5.0,6.21088033e+00,8.27464455e-02,1.29367429e-01,2.67819836e-01,2.84944928e-01,1.27940073e-01,6.33589815e-02,2.22224192e-02,2.78896256e-03,9.40323873e-04
6.0,1.0,570.0,1.0,MEAN,5.0,6.21088033e+00,8.27464455e-02,1.29367429e-01,2.67819836e-01,2.84944928e-01,1.27940073e-01,6.33589815e-02,2.22224192e-02,2.78896256e-03,9.40323873e-04
6.0,1.0,300.0,0.0,MEAN,5.0,7.68618092e+00,9.54083501e-02,1.33529619e-01,2.83054807e-01,3.78333682e-01,1.97219119e-01,9.60114467e-02,3.09151909e-02,3.82455316e-03,1.22628862e-03
6.0,1.0,300.0,0.0,MEAN,5.0,7.68618092e+00,9.54083501e-02,1.33529619e-01,2.83054807e-01,3.78333682e-01,1.97219119e-01,9.60114467e-02,3.09151909e-02,3.82455316e-03,1.22628862e-03
