rup_mag,rup_rake,rup_dip,dist_rrup,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
5.8,90,60,5,9,MEAN,5,0.38539788,0.66931677,0.81354737,0.69847602,0.40484855,0.1668058,4.57E-02
6.3,90,60,5,0,MEAN,5,0.60092455,0.92618769,1.1872324,1.1067636,0.75590128,0.35995245,0.11404612
6.3,90,60,5,1,MEAN,5,0.57909667,0.89254498,1.1441076,1.0665617,0.72844404,0.34997857,0.11223593
6.3,90,60,5,2,MEAN,5,0.5580616,0.86012429,1.1025492,1.0278201,0.70198417,0.34028104,0.11045444
6.3,90,60,5,3,MEAN,5,0.53779066,0.82888126,1.0625002,0.99048567,0.67648536,0.33085224,0.10870122
6.3,90,60,5,4,MEAN,5,0.51825601,0.79877305,1.0239061,0.95450741,0.65191281,0.32168469,0.10697584
6.3,90,60,5,5,MEAN,5,0.49943095,0.76975852,0.98671395,0.91983598,0.62823278,0.31277117,0.10527784
6.3,90,60,5,6,MEAN,5,0.48128968,0.74179792,0.95087266,0.88642401,0.6054129,0.30410463,0.1036068
6.3,90,60,5,7,MEAN,5,0.46380737,0.71485299,0.91633326,0.85422564,0.58342201,0.29567823,0.10196228
6.3,90,60,5,8,MEAN,5,0.44696012,0.6888867,0.88304847,0.82319683,0.56222987,0.28748533,0.10034386
6.3,90,60,5,9,MEAN,5,0.43072477,0.66386372,0.85097277,0.79329515,0.54180747,0.27951944,9.88E-02
6.8,90,60,5,0,MEAN,5,0.74237859,1.0400912,1.3714385,1.3504295,1.0381562,0.57228684,0.2159494
6.8,90,60,5,1,MEAN,5,0.70882553,0.99308234,1.3094538,1.2893945,0.99123484,0.55253428,0.21167332
6.8,90,60,5,2,MEAN,5,0.67678887,0.94819826,1.2502707,1.2311181,0.9464342,0.53346336,0.20748189
6.8,90,60,5,3,MEAN,5,0.64620024,0.90534276,1.1937625,1.1754755,0.90365845,0.51505071,0.20337348
6.8,90,60,5,4,MEAN,5,0.61699402,0.86442417,1.1398083,1.1223477,0.86281598,0.49727362,0.19934641
6.8,90,60,5,5,MEAN,5,0.58910793,0.82535499,1.0882927,1.0716213,0.82381952,0.48011008,0.19539909
6.8,90,60,5,6,MEAN,5,0.56248212,0.78805161,1.0391054,1.0231874,0.78658551,0.46353894,0.19152994
6.8,90,60,5,7,MEAN,5,0.53705972,0.75243425,0.99214119,0.97694266,0.75103438,0.44753978,0.18773739
6.8,90,60,5,8,MEAN,5,0.51278639,0.71842664,0.9472996,0.93278801,0.71709007,0.43209282,0.18401995
6.8,90,60,5,9,MEAN,5,0.48961011,0.68595606,0.90448475,0.89062905,0.68467993,0.41717902,0.1803761
7.3,90,60,5,0,MEAN,5,0.83627796,1.0969338,1.4616485,1.4831185,1.2132559,0.72734684,0.30543643
7.3,90,60,5,1,MEAN,5,0.79848087,1.0473559,1.3955866,1.4160863,1.1584207,0.70224226,0.29938841
7.3,90,60,5,2,MEAN,5,0.76239216,1.0000188,1.3325107,1.3520838,1.1060638,0.67800415,0.29346007
7.3,90,60,5,3,MEAN,5,0.72793448,0.95482123,1.2722855,1.290974,1.0560733,0.65460271,0.28764918
7.3,90,60,5,4,MEAN,5,0.69503415,0.91166639,1.2147822,1.2326261,1.0083421,0.63200885,0.28195336
7.3,90,60,5,5,MEAN,5,0.66362089,0.870462,1.159878,1.1769154,0.96276838,0.61019492,0.27637032
7.3,90,60,5,6,MEAN,5,0.63362736,0.83111989,1.1074553,1.1237227,0.91925436,0.58913386,0.27089781
7.3,90,60,5,7,MEAN,5,0.60498941,0.79355597,1.0574019,1.072934,0.877707,0.56879979,0.26553369
7.3,90,60,5,8,MEAN,5,0.5776459,0.75768983,1.0096108,1.0244409,0.83803749,0.54916745,0.26027578
7.3,90,60,5,9,MEAN,5,0.55153817,0.7234447,0.9639796,0.97813946,0.80016088,0.53021282,0.25512195
7.8,90,60,5,0,MEAN,5,0.90234238,1.1388232,1.5186652,1.5622331,1.3083194,0.80717522,0.3499046
7.8,90,60,5,1,MEAN,5,0.86155939,1.0873519,1.4500264,1.4916252,1.2491876,0.77931535,0.34297603
7.8,90,60,5,2,MEAN,5,0.82261974,1.0382072,1.3844899,1.4242085,1.1927284,0.75241703,0.33618462
7.8,90,60,5,3,MEAN,5,0.78543997,0.9912836,1.3219154,1.359839,1.1388209,0.72644717,0.32952774
7.8,90,60,5,4,MEAN,5,0.74994057,0.94648075,1.2621691,1.2983786,1.0873499,0.70137364,0.32300264
7.8,90,60,5,5,MEAN,5,0.71604574,0.90370286,1.2051232,1.239696,1.0382051,0.67716551,0.31660676
7.8,90,60,5,6,MEAN,5,0.6836828,0.86285841,1.1506555,1.1836659,0.99128169,0.65379298,0.31033754
7.8,90,60,5,7,MEAN,5,0.6527825,0.82385999,1.0986496,1.130168,0.94647896,0.63122714,0.30419245
7.8,90,60,5,8,MEAN,5,0.62327886,0.78662419,1.0489942,1.079088,0.90370113,0.60944015,0.29816905
7.8,90,60,5,9,MEAN,5,0.59510869,0.75107133,1.001583,1.0303167,0.86285675,0.58840513,0.29226488
5.8,90,60,10,0,MEAN,5,0.24879378,0.4855445,0.57301402,0.46005109,0.25878742,9.89E-02,2.53E-02
5.8,90,60,10,1,MEAN,5,0.24333142,0.47488418,0.56043327,0.44995049,0.25310564,9.73E-02,2.51E-02
5.8,90,60,10,2,MEAN,5,0.23798898,0.4644579,0.54812872,0.44007164,0.24754861,9.56E-02,2.48E-02
5.8,90,60,10,3,MEAN,5,0.23276381,0.45426053,0.53609437,0.4304097,0.24211356,9.40E-02,2.46E-02
5.8,90,60,10,4,MEAN,5,0.2276534,0.44428706,0.52432418,0.42095986,0.23679785,9.25E-02,2.44E-02
5.8,90,60,10,5,MEAN,5,0.22265518,0.43453255,0.51281244,0.41171753,0.23159887,9.09E-02,2.41E-02
5.8,90,60,10,6,MEAN,5,0.2177667,0.42499223,0.50155342,0.4026781,0.22651403,8.94E-02,2.39E-02
5.8,90,60,10,7,MEAN,5,0.21298555,0.41566133,0.49054161,0.39383712,0.22154082,8.79E-02,2.37E-02
5.8,90,60,10,8,MEAN,5,0.20830934,0.40653533,0.47977158,0.38519028,0.21667679,8.64E-02,2.34E-02
5.8,90,60,10,9,MEAN,5,0.20373583,0.39760968,0.46923798,0.37673327,0.21191956,8.50E-02,2.32E-02
6.3,90,60,10,0,MEAN,5,0.39550033,0.69266808,0.88074422,0.76644087,0.492787,0.21481325,6.34E-02
6.3,90,60,10,1,MEAN,5,0.37276629,0.6528523,0.83011752,0.72238451,0.46446073,0.20536913,6.18E-02
6.3,90,60,10,2,MEAN,5,0.35133901,0.61532521,0.78240091,0.68086058,0.43776271,0.19634022,6.02E-02
6.3,90,60,10,3,MEAN,5,0.33114341,0.57995522,0.73742712,0.64172351,0.41259933,0.18770826,5.87E-02
6.3,90,60,10,4,MEAN,5,0.31210873,0.54661834,0.6950385,0.60483611,0.3888824,0.1794558,5.72E-02
6.3,90,60,10,5,MEAN,5,0.29416814,0.51519775,0.65508646,0.57006907,0.36652875,0.17156614,5.58E-02
