rup_mag,rup_rake,rup_dip,dist_rrup,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
5.8,-90,90,0,0,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,1,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,2,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,3,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,4,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,5,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,6,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,7,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,8,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
5.8,-90,90,0,9,MEAN,5,0.55518156,0.76431799,0.93657726,0.90867913,0.73113394,0.5220719,0.32122934
6.3,-90,90,0,0,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,1,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,2,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,3,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,4,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,5,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,6,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,7,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,8,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.3,-90,90,0,9,MEAN,5,0.55508089,0.7645303,0.93666124,0.90985441,0.73177892,0.52187216,0.32106864
6.8,-90,90,0,0,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,1,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,2,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,3,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,4,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,5,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,6,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
6.8,-90,90,0,7,MEAN,5,0.5549593,0.76467794,0.93675613,0.9107753,0.73231542,0.52172947,0.32095096
