custom_site_id,lon,lat,unit,gwd,vs30,cti,z1pt0,z2pt5,dr,dc,precip,dw
35,-76.5633099,3.413303247,Qt,1,555,4.320627,167.2600619,0.869445591,0.126836404,68,122,0.126836404
36,-76.54175178,3.44998768,Qt,1,425,3.9706867,324.2058841,1.179876758,0.233026019,69,139,0.233026019
37,-76.56306046,3.409302826,Qt,1,555,2.227764,167.2600619,0.869445591,0.207316085,68,122,0.207316085
38,-76.53632157,3.458305489,Qt,1,425,4.124832,324.2058841,1.179876758,0.560377035,69,119,0.560377035
39,-76.56942085,3.453564371,Qd,1.25,555,3.195296,167.2600619,0.869445591,0.29862832,66,133,0.29862832
40,-76.54472493,3.449613165,Qd,1.25,425,3.555742,324.2058841,1.179876758,0.29528943,69,139,0.29528943
41,-76.53509942,3.443837743,Qd,1.25,330,5.041133,433.016623,1.575918069,0.917546182,70,129,0.917546182
42,-76.53789894,3.447259323,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.536405475,70,129,0.536405475
43,-76.56171987,3.45370079,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.42558057,66,141,0.42558057
44,-76.5397422,3.44386924,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.913365506,70,129,0.913365506
45,-76.57403502,3.454699231,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.212600474,65,133,0.212600474
46,-76.53990639,3.436710184,Qd,1.25,330,7.274729,433.016623,1.575918069,0.976125975,70,131,0.976125975
47,-76.54063011,3.444819384,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.807714313,69,129,0.807714313
48,-76.54240952,3.439143933,Qd,1.25,425,7.274729,324.2058841,1.179876758,1.349335435,69,143,1.349335435
49,-76.5619985,3.451595539,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.409071939,66,141,0.409071939
50,-76.57802612,3.454718207,Qd,1.25,555,10.063603,167.2600619,0.869445591,0.292984584,65,135,0.292984584
51,-76.54054847,3.443616681,Qd,1.25,425,4.886984,324.2058841,1.179876758,0.941448785,69,129,0.941448785
52,-76.56501261,3.454420839,Qd,1.25,425,3.6548288,324.2058841,1.179876758,0.203393423,66,141,0.203393423
53,-76.5602969,3.454564697,Qd,1.25,425,2.8816383,324.2058841,1.179876758,0.469537841,66,141,0.469537841
54,-76.53851896,3.442692953,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.044162652,70,129,1.044162652
55,-76.56828446,3.451896621,Qd,1.25,555,9.813133,167.2600619,0.869445591,0.44255073,66,133,0.44255073
56,-76.54365228,3.43949469,Qd,1.25,425,7.274729,324.2058841,1.179876758,1.38012267,69,143,1.38012267
57,-76.54591753,3.439659801,Qd,1.25,555,5.0836954,167.2600619,0.869445591,1.3984394,69,143,1.3984394
58,-76.53868506,3.44474574,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.815903152,70,129,0.815903152
59,-76.56148625,3.453556441,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.45529902,66,141,0.45529902
60,-76.53951971,3.442881879,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.02315504,70,129,1.02315504
61,-76.54394253,3.441290543,Qd,1.25,425,5.0836954,324.2058841,1.179876758,1.200294463,69,143,1.200294463
62,-76.53953379,3.448614794,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.385683977,70,129,0.385683977
63,-76.56758894,3.454532373,Qd,1.25,425,3.6548288,324.2058841,1.179876758,0.190991408,66,133,0.190991408
64,-76.54551747,3.448581064,Qd,1.25,425,3.555742,324.2058841,1.179876758,0.436216445,69,139,0.436216445
65,-76.57336316,3.453597864,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.29905403,65,133,0.29905403
66,-76.54489688,3.439161375,Qd,1.25,425,6.5705357,324.2058841,1.179876758,1.343016957,69,143,1.343016957
67,-76.56299585,3.454390157,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.271896478,66,141,0.271896478
68,-76.54094972,3.436794774,Qd,1.25,330,7.274729,433.016623,1.575918069,1.047847447,69,131,1.047847447
69,-76.56298254,3.450906703,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.332476871,66,141,0.332476871
70,-76.54682466,3.441567725,Qd,1.25,555,5.0836954,167.2600619,0.869445591,1.218239522,69,143,1.218239522
71,-76.57876613,3.454084408,Qd,1.25,555,10.063603,167.2600619,0.869445591,0.222509351,65,135,0.222509351
72,-76.55955779,3.45408754,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.565168886,67,141,0.565168886
73,-76.5425123,3.438554601,Qd,1.25,425,7.274729,324.2058841,1.179876758,1.282949905,69,143,1.282949905
74,-76.53829492,3.448197167,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.43212198,70,129,0.43212198
75,-76.53989413,3.44269818,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.043581436,70,129,1.043581436
76,-76.53968995,3.440307205,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.309445726,70,131,1.309445726
77,-76.5399496,3.447472352,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.512717731,70,129,0.512717731
78,-76.53971201,3.446579071,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.612046046,70,129,0.612046046
79,-76.54493181,3.43892759,Qd,1.25,425,6.5705357,324.2058841,1.179876758,1.317021251,69,143,1.317021251
80,-76.53994544,3.444056173,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.892579504,70,129,0.892579504
81,-76.57690194,3.454947046,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.319068485,65,135,0.319068485
82,-76.56533344,3.453430033,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.313566024,66,141,0.313566024
83,-76.55620803,3.454699774,Qd,1.25,425,12.397426,324.2058841,1.179876758,0.530033293,67,138,0.530033293
84,-76.56343793,3.454923715,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.194860367,66,141,0.194860367
85,-76.54479559,3.443571121,Qd,1.25,425,5.0836954,324.2058841,1.179876758,0.953628703,69,139,0.953628703
86,-76.53916644,3.44351525,Qd,1.25,425,5.4466,324.2058841,1.179876758,0.952727398,70,129,0.952727398
87,-76.56441749,3.454429684,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.203248216,66,141,0.203248216
88,-76.53887841,3.449268721,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.312970612,70,129,0.312970612
89,-76.58244476,3.456737346,Qd,1.25,555,2.6432273,167.2600619,0.869445591,0.271989576,64,135,0.271989576
90,-76.58245744,3.457049033,Qd,1.25,555,2.6432273,167.2600619,0.869445591,0.295499505,64,135,0.295499505
91,-76.540221,3.439490744,Qd,1.25,425,7.274729,324.2058841,1.179876758,1.266198223,69,131,1.266198223
92,-76.56279229,3.454508788,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.277729533,66,141,0.277729533
93,-76.54286841,3.449093271,Qd,1.25,425,3.9706867,324.2058841,1.179876758,0.332479762,69,139,0.332479762
94,-76.55904743,3.453711573,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.634857841,67,141,0.634857841
95,-76.57209538,3.4526441,Qd,1.25,555,3.195296,167.2600619,0.869445591,0.400957786,65,133,0.400957786
96,-76.54468509,3.443794739,Qd,1.25,425,4.0603037,324.2058841,1.179876758,0.927496268,69,139,0.927496268
97,-76.56412602,3.453958392,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.259839554,66,141,0.259839554
98,-76.5850285,3.459618377,Qd,1.25,555,2.6432273,167.2600619,0.869445591,0.295364582,64,147,0.295364582
99,-76.5422389,3.444078962,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.890045483,69,139,0.890045483
100,-76.54926946,3.445357534,Qd,1.25,555,3.634219,167.2600619,0.869445591,0.750072854,69,139,0.750072854
101,-76.54212764,3.448711114,Qd,1.25,425,3.9706867,324.2058841,1.179876758,0.374973681,69,139,0.374973681
102,-76.54947572,3.444909738,Qd,1.25,555,3.634219,167.2600619,0.869445591,0.769064029,69,139,0.769064029
103,-76.5595416,3.452723645,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.534511603,67,141,0.534511603
104,-76.56143169,3.453318365,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.478308019,66,141,0.478308019
105,-76.53897061,3.440274883,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.296854104,70,131,1.296854104
106,-76.5461686,3.438880862,Qd,1.25,555,6.5705357,167.2600619,0.869445591,1.311825335,69,143,1.311825335
107,-76.56529257,3.454698519,Qd,1.25,425,3.6548288,324.2058841,1.179876758,0.172516816,66,141,0.172516816
108,-76.53857215,3.442063078,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.114201557,70,129,1.114201557
109,-76.53607229,3.442765483,Qd,1.25,330,5.4466,433.016623,1.575918069,1.036097684,70,129,1.036097684
110,-76.56006386,3.453928276,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.537900679,66,141,0.537900679
111,-76.54155759,3.439226523,Qd,1.25,425,7.274729,324.2058841,1.179876758,1.310552146,69,131,1.310552146
112,-76.5628467,3.453590933,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.353147326,66,141,0.353147326
113,-76.54631015,3.442932698,Qd,1.25,555,5.0836954,167.2600619,0.869445591,1.056577066,69,139,1.056577066
114,-76.53960338,3.442466602,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.069331735,70,129,1.069331735
115,-76.5378261,3.444764462,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.813821361,70,129,0.813821361
116,-76.54201547,3.441878317,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.134746042,69,139,1.134746042
117,-76.56251266,3.454620553,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.290928202,66,141,0.290928202
118,-76.55330491,3.45389504,Qd,1.25,555,12.397426,167.2600619,0.869445591,0.238497018,67,138,0.238497018
119,-76.54081307,3.443794307,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.921697675,69,129,0.921697675
120,-76.54999537,3.447150831,Qd,1.25,555,3.634219,167.2600619,0.869445591,0.551995954,69,139,0.551995954
121,-76.56122927,3.450641747,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.303015108,66,141,0.303015108
122,-76.55683847,3.455244659,Qd,1.25,425,2.8816383,324.2058841,1.179876758,0.575101013,67,138,0.575101013
123,-76.58269259,3.4568174,Qd,1.25,555,2.6432273,167.2600619,0.869445591,0.258797905,64,135,0.258797905
124,-76.57517827,3.454134548,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.311281214,65,135,0.311281214
125,-76.53906761,3.438704804,Qd,1.25,425,5.223463,324.2058841,1.179876758,1.135634232,70,131,1.135634232
126,-76.56122046,3.452428411,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.50168308,66,141,0.50168308
127,-76.54004643,3.446170274,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.657502199,69,129,0.657502199
128,-76.56350676,3.454631983,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.21610153,66,141,0.21610153
129,-76.55678452,3.449805793,Qd,1.25,555,10.6869135,167.2600619,0.869445591,0.190563281,68,137,0.190563281
130,-76.54106055,3.442305636,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.087230338,69,129,1.087230338
131,-76.54850087,3.449680948,Qd,1.25,555,3.277539,167.2600619,0.869445591,0.470568821,69,139,0.470568821
132,-76.55218519,3.454282039,Qd,1.25,555,12.397426,167.2600619,0.869445591,0.180885594,67,138,0.180885594
133,-76.5460669,3.44966202,Qd,1.25,555,3.555742,167.2600619,0.869445591,0.37264046,69,139,0.37264046
134,-76.54284636,3.435235759,Qd,1.25,330,8.145085,433.016623,1.575918069,0.91206014,69,143,0.91206014
135,-76.56641201,3.454139795,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.23464409,66,141,0.23464409
136,-76.54550523,3.442784328,Qd,1.25,425,5.0836954,324.2058841,1.179876758,1.052260877,69,139,1.052260877
137,-76.56269513,3.454776255,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.264338858,66,141,0.264338858
138,-76.57684816,3.455358317,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.365099267,65,135,0.365099267
139,-76.5373172,3.441303904,Qd,1.25,330,5.4466,433.016623,1.575918069,1.198617854,70,131,1.198617854
140,-76.55505418,3.443672378,Qd,1.25,690,2.0707223,67.95947325,0.677751086,0.490317578,68,137,0.490317578
141,-76.54174214,3.44012191,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.33004959,69,143,1.33004959
142,-76.5386141,3.445767072,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.702336216,70,129,0.702336216
143,-76.57449238,3.455117688,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.212923059,65,133,0.212923059
144,-76.53483064,3.447738991,Qd,1.25,425,5.041133,324.2058841,1.179876758,0.487444082,70,129,0.487444082
145,-76.54743095,3.443910105,Qd,1.25,555,4.0603037,167.2600619,0.869445591,0.996737418,69,139,0.996737418
146,-76.56423933,3.454526052,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.195473439,66,141,0.195473439
147,-76.56643435,3.454644936,Qd,1.25,425,3.6548288,324.2058841,1.179876758,0.178474974,66,141,0.178474974
148,-76.56471643,3.453382106,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.318895263,66,141,0.318895263
149,-76.53923787,3.441963523,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.125271568,70,129,1.125271568
150,-76.54214079,3.444937128,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.794621778,69,139,0.794621778
151,-76.54099998,3.437428836,Qd,1.25,330,7.274729,433.016623,1.575918069,1.108813763,69,131,1.108813763
152,-76.55424039,3.453600248,Qd,1.25,555,12.397426,167.2600619,0.869445591,0.288872193,67,138,0.288872193
153,-76.56131909,3.453496334,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.473168271,66,141,0.473168271
154,-76.53826508,3.441596636,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.166067541,70,131,1.166067541
155,-76.54137289,3.444654783,Qd,1.25,425,4.4349966,324.2058841,1.179876758,0.826017109,69,129,0.826017109
156,-76.56290282,3.454929844,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.235932687,66,141,0.235932687
157,-76.56325341,3.45340003,Qd,1.25,555,3.4151561,167.2600619,0.869445591,0.349708046,66,141,0.349708046
158,-76.54196387,3.448615398,Qd,1.25,425,3.9706867,324.2058841,1.179876758,0.385616815,69,139,0.385616815
159,-76.54720219,3.443260083,Qd,1.25,555,5.0836954,167.2600619,0.869445591,1.053523444,69,139,1.053523444
160,-76.54158284,3.434728378,Qd,1.25,330,8.145085,433.016623,1.575918069,0.883585494,69,131,0.883585494
161,-76.55227606,3.453663337,Qd,1.25,555,12.397426,167.2600619,0.869445591,0.139383913,67,138,0.139383913
162,-76.5644061,3.450448256,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.28149989,66,141,0.28149989
163,-76.53739827,3.450168555,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.212913636,69,119,0.212913636
164,-76.56391173,3.454808017,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.176879151,66,141,0.176879151
165,-76.53681111,3.442123305,Qd,1.25,330,5.4466,433.016623,1.575918069,1.10750462,70,129,1.10750462
166,-76.53681676,3.443433445,Qd,1.25,330,5.4466,433.016623,1.575918069,0.961823699,70,129,0.961823699
167,-76.56146032,3.450780976,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.318496666,66,141,0.318496666
168,-76.53544572,3.444819793,Qd,1.25,330,4.7534504,433.016623,1.575918069,0.807668834,70,129,0.807668834
169,-76.54168406,3.441934767,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.128469089,69,139,1.128469089
170,-76.53854907,3.437974645,Qd,1.25,425,5.223463,324.2058841,1.179876758,1.039493763,70,131,1.039493763
171,-76.54874783,3.449739671,Qd,1.25,555,3.277539,167.2600619,0.869445591,0.446533979,69,139,0.446533979
172,-76.55935972,3.454052916,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.583464844,67,141,0.583464844
173,-76.55933776,3.454294571,Qd,1.25,425,2.8816383,324.2058841,1.179876758,0.566190954,67,141,0.566190954
174,-76.53822501,3.447521582,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.507243605,70,129,0.507243605
175,-76.54791576,3.446571091,Qd,1.25,555,4.0603037,167.2600619,0.869445591,0.761091833,69,139,0.761091833
176,-76.56375325,3.452029817,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.45736145,66,141,0.45736145
177,-76.57030915,3.454095368,Qd,1.25,555,3.195296,167.2600619,0.869445591,0.239584147,65,133,0.239584147
178,-76.54160753,3.437065551,Qd,1.25,330,7.274729,433.016623,1.575918069,1.115940465,69,131,1.115940465
179,-76.56508379,3.451391034,Qd,1.25,555,9.813133,167.2600619,0.869445591,0.386332021,66,141,0.386332021
180,-76.55077479,3.454053136,Qd,1.25,555,4.8869753,167.2600619,0.869445591,0.05199263,67,138,0.05199263
181,-76.568816,3.454187823,Qd,1.25,425,3.195296,324.2058841,1.179876758,0.22930362,66,133,0.22930362
182,-76.53791563,3.44575362,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.70383201,70,129,0.70383201
183,-76.54084615,3.442085726,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.111683214,69,129,1.111683214
184,-76.58392805,3.458562684,Qd,1.25,555,2.6432273,167.2600619,0.869445591,0.298883677,64,147,0.298883677
185,-76.53897255,3.440751168,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.260079293,70,131,1.260079293
186,-76.53805723,3.443163785,Qd,1.25,425,5.4466,324.2058841,1.179876758,0.991808523,70,129,0.991808523
187,-76.53765484,3.442091218,Qd,1.25,425,5.4466,324.2058841,1.179876758,1.111072531,70,129,1.111072531
188,-76.53929253,3.448205352,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.43121185,70,129,0.43121185
189,-76.54521372,3.442605925,Qd,1.25,425,5.0836954,324.2058841,1.179876758,1.066334098,69,139,1.066334098
190,-76.56615136,3.451924479,Qd,1.25,555,9.813133,167.2600619,0.869445591,0.445648399,66,141,0.445648399
191,-76.53670236,3.449740322,Qd,1.25,425,4.434992,324.2058841,1.179876758,0.260530973,70,129,0.260530973
192,-76.56156857,3.450445116,Qd,1.25,555,10.132632,167.2600619,0.869445591,0.281150738,66,141,0.281150738
193,-76.56642373,3.454285318,Qd,1.25,425,3.6548288,324.2058841,1.179876758,0.218462671,66,141,0.218462671
194,-76.55415206,3.444636711,Qd,1.25,555,2.5288265,167.2600619,0.869445591,0.432939148,68,137,0.432939148
195,-76.54222481,3.442516132,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.06382425,69,139,1.06382425
196,-76.57328449,3.452120761,Qd,1.25,555,3.6548288,167.2600619,0.869445591,0.301633278,65,133,0.301633278
197,-76.55390899,3.445527167,Qd,1.25,555,2.5288265,167.2600619,0.869445591,0.371963841,68,137,0.371963841
198,-76.55242666,3.454297207,Qd,1.25,555,12.397426,167.2600619,0.869445591,0.201064189,67,138,0.201064189
199,-76.53712586,3.441977107,Qd,1.25,330,5.4466,433.016623,1.575918069,1.123761096,70,129,1.123761096
200,-76.56112965,3.454287491,Qd,1.25,425,3.4151561,324.2058841,1.179876758,0.425857257,66,141,0.425857257
201,-76.54303625,3.442714383,Qd,1.25,425,4.886984,324.2058841,1.179876758,1.041779745,69,139,1.041779745
202,-76.53723192,3.447286399,Qd,1.25,425,4.7534504,324.2058841,1.179876758,0.533394761,70,129,0.533394761
203,-76.56978211,3.455265892,Qd,1.25,425,3.195296,324.2058841,1.179876758,0.109427817,66,133,0.109427817
204,-76.56028688,3.453885262,Qd,1.25,555,2.8816383,167.2600619,0.869445591,0.523747404,66,141,0.523747404
205,-76.55917769,3.375574974,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.13776792,70,144,0.13776792
206,-76.5548166,3.372807668,TQplp,3,425,8.900974,324.2058841,1.179876758,0.431744483,70,172,0.431744483
207,-76.56005692,3.385384254,TQplp,3,555,2.9828098,167.2600619,0.869445591,0.680959577,69,138,0.680959577
208,-76.55662642,3.370829277,TQplp,3,425,10.594161,324.2058841,1.179876758,0.133890004,70,172,0.133890004
209,-76.55657894,3.376386421,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.426735735,70,137,0.426735735
210,-76.55406115,3.370337009,TQplp,3,425,8.900974,324.2058841,1.179876758,0.176467349,70,172,0.176467349
211,-76.55919139,3.373773939,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.136244549,70,148,0.136244549
212,-76.56076021,3.383609155,TQplp,3,555,2.8913753,167.2600619,0.869445591,0.486092061,69,138,0.486092061
213,-76.55973577,3.378821336,TQplp,3,425,2.7554243,324.2058841,1.179876758,0.19019004,70,144,0.19019004
214,-76.55401734,3.372589709,TQplp,3,425,8.900974,324.2058841,1.179876758,0.426956161,70,172,0.426956161
215,-76.5609317,3.383949605,TQplp,3,555,2.8913753,167.2600619,0.869445591,0.499376826,69,138,0.499376826
216,-76.55437077,3.369315537,TQplp,3,425,8.900974,324.2058841,1.179876758,0.062884845,71,172,0.062884845
217,-76.55605828,3.37552213,TQplp,3,425,3.19538,324.2058841,1.179876758,0.484630486,70,137,0.484630486
218,-76.56057988,3.378574955,TQplp,3,425,8.589801,324.2058841,1.179876758,0.104448346,69,144,0.104448346
219,-76.55877295,3.374758503,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.182772954,70,148,0.182772954
220,-76.55557782,3.372228965,TQplp,3,425,8.900974,324.2058841,1.179876758,0.326390777,70,172,0.326390777
221,-76.5508058,3.370978608,TQplp,3,425,10.442077,324.2058841,1.179876758,0.247809903,70,172,0.247809903
222,-76.55514076,3.36993064,TQplp,3,425,8.900974,324.2058841,1.179876758,0.131281178,71,172,0.131281178
223,-76.55891379,3.374203393,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.167112261,70,148,0.167112261
224,-76.56116252,3.38357218,TQplp,3,555,2.8913753,167.2600619,0.869445591,0.451552537,69,138,0.451552537
225,-76.55717051,3.37359232,TQplp,3,425,3.2086256,324.2058841,1.179876758,0.308358926,70,172,0.308358926
226,-76.49502283,3.499037186,Q5,0.2,210,6.832836,506.4493998,2.642985065,0.467041261,72,194,0.467041261
227,-76.49685719,3.490429397,Q5,0.2,270,5.734233,479.4455959,1.982592395,0.569703994,72,168,0.569703994
228,-76.49473246,3.495347868,Q5,0.2,270,6.1396933,479.4455959,1.982592395,0.599491106,72,194,0.599491106
229,-76.50047444,3.490699546,Q5,0.2,270,6.8328457,479.4455959,1.982592395,0.65265851,71,168,0.65265851
230,-76.49237077,3.496871117,Q5,0.2,210,17.51185,506.4493998,2.642985065,0.464569998,72,194,0.464569998
231,-76.49245643,3.494686393,Q5,0.2,270,17.51185,479.4455959,1.982592395,0.336013265,72,194,0.336013265
232,-76.48632719,3.494144947,Q5,0.2,210,6.427376,506.4493998,2.642985065,0.224966388,73,141,0.224966388
233,-76.51256009,3.486336523,Q5,0.2,270,8.56745,479.4455959,1.982592395,0.102283358,70,168,0.102283358
234,-76.49500867,3.494959404,Q5,0.2,270,6.1396933,479.4455959,1.982592395,0.618077137,72,194,0.618077137
235,-76.50191911,3.491763361,Q5,0.2,270,6.8328457,479.4455959,1.982592395,0.496726373,71,165,0.496726373
236,-76.49568955,3.495832706,Q5,0.2,270,6.1396933,479.4455959,1.982592395,0.666576921,72,194,0.666576921
237,-76.4931389,3.495612087,Q5,0.2,270,17.51185,479.4455959,1.982592395,0.446298016,72,194,0.446298016
