custom_site_id,lon,lat,unit,gwd,vs30,cti,z1pt0,z2pt5,dr,dc,precip,dw
0,-76.54089628,3.350158496,TQplp,3,425,4.287466,324.2058841,1.179876758,1.374983681,72,137,1.374983681
1,-76.5447625,3.350644261,TQplp,3,425,3.6141183,324.2058841,1.179876758,1.362501938,72,129,1.362501938
2,-76.52807865,3.346549516,TQplp,3,425,5.3289223,324.2058841,1.179876758,1.806347896,75,137,1.806347896
3,-76.52986033,3.356627335,TQplp,3,425,6.5145426,324.2058841,1.179876758,0.847645292,74,132,0.847645292
4,-76.52791777,3.351601131,TQplp,3,425,6.1398516,324.2058841,1.179876758,1.254576081,74,132,1.254576081
5,-76.53695948,3.359381589,TQplp,3,425,6.5706253,324.2058841,1.179876758,0.627853599,73,136,0.627853599
6,-76.53186688,3.357215666,TQplp,3,425,7.2076874,324.2058841,1.179876758,0.963478385,73,132,0.963478385
7,-76.53359358,3.358809652,TQplp,3,425,7.2076874,324.2058841,1.179876758,0.987028934,73,136,0.987028934
8,-76.53623366,3.360646342,TQplp,3,425,4.193923,324.2058841,1.179876758,0.638317083,73,136,0.638317083
9,-76.54101536,3.356775668,TQplp,3,425,4.5816956,324.2058841,1.179876758,0.640623466,72,137,0.640623466
10,-76.54250938,3.355253032,TQplp,3,425,4.7535515,324.2058841,1.179876758,0.811256047,72,129,0.811256047
11,-76.53311662,3.352947214,TQplp,3,425,4.7535505,324.2058841,1.179876758,1.393868392,73,132,1.393868392
12,-76.54269425,3.353216984,TQplp,3,425,4.7535515,324.2058841,1.179876758,1.038529146,72,129,1.038529146
13,-76.54169775,3.341862125,TQplp,3,425,4.8870897,324.2058841,1.179876758,1.182296667,73,132,1.182296667
14,-76.53558166,3.341928921,TQplp,3,425,5.2235613,324.2058841,1.179876758,1.814187887,74,141,1.814187887
15,-76.53691189,3.353697188,TQplp,3,425,6.0445385,324.2058841,1.179876758,1.112490655,73,137,1.112490655
16,-76.53856634,3.34599949,TQplp,3,425,3.7419565,324.2058841,1.179876758,1.663753231,74,141,1.663753231
17,-76.54002309,3.35269191,TQplp,3,425,4.7535515,324.2058841,1.179876758,1.105816487,72,137,1.105816487
18,-76.54181451,3.340562482,TQplp,3,425,4.8870897,324.2058841,1.179876758,1.14702008,73,129,1.14702008
19,-76.54116008,3.340542827,TQplp,3,425,4.8870897,324.2058841,1.179876758,1.219287186,73,133,1.219287186
20,-76.54144139,3.347618601,TQplp,3,425,3.8625848,324.2058841,1.179876758,1.482760412,73,141,1.482760412
21,-76.53316651,3.34031448,TQplp,3,425,4.6357746,324.2058841,1.179876758,1.925091915,74,135,1.925091915
22,-76.53377436,3.363899064,TQplp,3,330,6.678837,433.016623,1.575918069,0.891266595,73,136,0.891266595
23,-76.53905308,3.362678635,TQplp,3,425,4.193923,324.2058841,1.179876758,0.291295601,73,136,0.291295601
24,-76.54535137,3.355902278,TQplp,3,425,3.9997766,324.2058841,1.179876758,0.840290682,72,129,0.840290682
25,-76.5431207,3.341079921,TQplp,3,425,4.8870897,324.2058841,1.179876758,1.010397718,73,129,1.010397718
26,-76.54586651,3.352757775,TQplp,3,425,3.9997766,324.2058841,1.179876758,1.179660431,72,129,1.179660431
27,-76.50708757,3.486345242,Q4,0.3,270,7.525997,479.4455959,1.982592395,0.334766642,71,168,0.334766642
28,-76.56333455,3.414080026,Qt,1,555,4.320627,167.2600619,0.869445591,0.189850111,68,122,0.189850111
29,-76.53716364,3.457680025,Qt,1,425,4.124832,324.2058841,1.179876758,0.577408047,69,119,0.577408047
30,-76.55880589,3.412665613,Qt,1,425,4.635705,324.2058841,1.179876758,0.213240772,69,122,0.213240772
31,-76.53819157,3.455463683,Qt,1,555,11.651923,167.2600619,0.869445591,0.375877733,69,119,0.375877733
32,-76.53796528,3.455679822,Qt,1,555,11.651923,167.2600619,0.869445591,0.399911294,69,119,0.399911294
33,-76.53884272,3.4533877,Qt,1,425,11.651923,324.2058841,1.179876758,0.145038956,69,119,0.145038956
34,-76.54303507,3.450330484,Qt,1,425,3.9706867,324.2058841,1.179876758,0.194907953,68,133,0.194907953
