,c1,c2,c3,alpha,beta,gamma,"s_m,r",s_r1,s_r2,lambda
mean,0.462976356,1.121340675,0.967221752,0.157604784,0.790718491,1.57206296,0.517973094,0.62243377,0.372535581,0.117784836
median,0.46595,1.113095,0.954493,0.15867,0.803751,1.56969,0.5065155,0.621964,0.372178,0.1177195
