,c1,c2,c3,alpha,beta,gamma,sigma,"s_m,n1","s_m,n2","s_m,n3",lambda
mean,0.778356537,2.921285221,0.851424788,0.294218171,0.985608571,4.2224089,0.63414049,0.811624206,0.397449942,12.04253003,0.119202946
median,0.7932905,2.9122,0.8666055,0.2946245,0.9877965,4.224155,0.634057,0.7733975,0.359268,11.02265,0.119312
