,c1,c2,c3,alpha,beta,gamma,"s_m,s1","s_m,s2","s_m,s3",s_s1,s_s2,lambda
mean,0.699313354,2.87540402,1.394857631,0.780810859,0.959907653,6.10092856,0.530489753,-0.758174311,6.77850092,0.558483725,1.088931106,0.161344848
median,0.693886,2.86241,1.40206,0.7839615,0.9653165,6.111615,0.5314525,-0.639208,6.75566,0.5585685,1.091945,0.1614345
