"","c1","c2","c3","alpha","beta","gamma","s_m,r","s_r1","s_r2","lambda"
"1",0.411004,1.09488,1.08219,0.154488,0.672872,1.71703,0.554436,0.610221,0.479793,0.112484
"2",0.272345,0.972553,1.42719,0.137649,0.819931,1.53388,0.433911,0.600859,0.327267,0.123106
"3",0.197649,0.895082,1.36712,0.120595,0.607403,1.51676,0.605854,0.621306,0.451824,0.125725
"4",0.405698,1.01265,1.18501,0.163537,0.8755,1.39841,0.411497,0.626298,0.31964,0.127909
"5",0.432768,0.947801,1.07409,0.156477,0.896627,1.38463,0.395146,0.63334,0.335307,0.132765
"6",0.5552,1.08565,1.10129,0.158862,0.880939,1.61233,0.502544,0.622286,0.32634,0.104473
"7",0.531073,1.13399,1.08715,0.196803,0.848494,1.55923,0.485413,0.610321,0.476821,0.0999655
"8",0.397044,0.865471,1.32002,0.137639,0.749949,1.66393,0.536344,0.627695,0.348634,0.110861
"9",0.434441,0.85582,1.25405,0.156857,0.86718,1.56256,0.527397,0.613776,0.28485,0.130061
"10",0.136441,0.724118,1.49207,0.136831,0.751939,1.57999,0.546128,0.608357,0.337513,0.108197
"11",0.485398,1.11882,0.957684,0.152148,0.853478,1.43645,0.455359,0.615134,0.477571,0.0989237
"12",0.265002,1.04841,0.813788,0.13795,0.720411,1.59739,0.583878,0.635562,0.306175,0.144934
"13",0.0866346,0.635307,1.13499,0.195754,0.816769,1.43551,0.568388,0.599386,0.355159,0.0858701
"14",0.232355,0.751518,0.978498,0.121265,0.890424,1.47331,0.548294,0.605966,0.407308,0.0966523
"15",0.118919,0.528109,1.12107,0.16951,0.826289,1.69304,0.532585,0.662467,0.356605,0.161035
"16",0.0838017,0.570481,0.954167,0.165531,0.721059,1.66501,0.550678,0.663797,0.299002,0.137903
"17",0.15138,0.623134,1.04628,0.134651,0.793916,1.16308,0.628258,0.62366,0.415142,0.111394
"18",0.45608,0.862108,0.762016,0.119525,0.567446,1.8968,0.487434,0.60065,0.409597,0.130584
"19",0.468028,1.05864,0.770296,0.163543,0.684571,1.59546,0.534853,0.606488,0.518215,0.102899
"20",0.491857,1.03805,0.76348,0.13124,0.782989,1.57377,0.510152,0.596249,0.37814,0.0996603
"21",0.633006,1.06849,0.444136,0.181863,0.907881,1.63948,0.486401,0.626661,0.398871,0.156151
"22",0.536491,1.06963,0.558804,0.212576,0.855603,1.56671,0.458978,0.62793,0.346268,0.104159
"23",0.624264,1.07863,1.01328,0.224304,0.88363,1.7199,0.562773,0.598192,0.430961,0.0950425
"24",0.519018,1.11855,0.770057,0.230454,0.909943,1.45117,0.421302,0.60613,0.381585,0.125753
"25",0.530442,0.906141,1.23661,0.181814,0.900679,1.48334,0.623997,0.647729,0.463148,0.11629
"26",0.452345,0.707086,1.41764,0.155089,0.944629,1.6666,0.665009,0.615127,0.354369,0.129339
"27",0.463239,0.843181,1.11464,0.14046,0.800683,1.4494,0.528171,0.654629,0.374102,0.115499
"28",0.358309,0.715863,1.42752,0.198173,0.879884,1.82765,0.603057,0.626014,0.318451,0.146378
"29",0.370135,0.769024,1.44899,0.205669,0.870854,1.87178,0.607856,0.627013,0.325952,0.146724
"30",0.353046,1.06828,1.38461,0.1086,0.840645,1.38217,0.405991,0.579571,0.345138,0.0945719
"31",0.716076,1.18444,0.253138,0.20539,0.910966,1.89731,0.512954,0.628878,0.354705,0.135481
"32",0.764144,1.30662,0.192465,0.182985,0.891558,1.74645,0.495524,0.624279,0.428007,0.118035
"33",0.711589,1.24955,0.289004,0.172184,0.905168,1.50005,0.570315,0.624642,0.311884,0.109812
"34",0.627469,1.16761,0.3957,0.0826351,0.648213,1.50245,0.478674,0.632023,0.312347,0.104669
"35",0.811898,1.22044,0.424914,0.167577,0.820748,1.54968,0.641118,0.604985,0.414239,0.131029
"36",0.749011,1.25526,1.28688,0.177365,0.841989,1.7535,0.462,0.606534,0.445504,0.106374
"37",0.753447,1.32765,1.15512,0.175698,0.815549,1.61959,0.432915,0.628206,0.387504,0.110493
"38",0.638146,1.32123,1.06503,0.193792,0.775039,1.81485,0.675208,0.62359,0.335541,0.132699
"39",0.608204,1.22961,0.732873,0.196817,0.934707,1.4805,0.370948,0.618344,0.412229,0.115087
"40",0.384085,0.984484,1.26766,0.214008,0.939982,1.64698,0.459017,0.607535,0.366821,0.112172
"41",0.592882,1.09379,0.958135,0.217425,0.746113,1.66146,0.577783,0.620344,0.487702,0.11718
"42",0.490747,0.86188,1.11485,0.162591,0.765426,1.6893,0.422952,0.607586,0.395237,0.100733
"43",0.601811,1.10435,0.820231,0.20717,0.837659,1.73673,0.666724,0.60011,0.557227,0.121044
"44",0.749933,1.31519,0.780844,0.168758,0.865106,1.60353,0.459678,0.626453,0.258477,0.116631
"45",0.717989,1.26101,0.814076,0.134944,0.798826,1.57298,0.437824,0.63343,0.264109,0.114037
"46",0.697846,1.44075,0.702421,0.18173,0.826801,1.42883,0.605689,0.624137,0.372808,0.132171
"47",0.814691,1.37512,0.827827,0.198658,0.803638,1.64302,0.501511,0.629311,0.388051,0.105943
