rup_mag,rup_ztor,dist_rrup,site_vs30,result_type,damping,rsd595,rsd575
4.5,0.0,1.0,180.0,MEAN,5,2.347585819,0.524603599
4.5,0.0,10.0,180.0,MEAN,5,5.925740106,1.776110950
4.5,0.0,20.0,180.0,MEAN,5,9.410658682,3.195864164
4.5,0.0,50.0,180.0,MEAN,5,17.625885469,7.072383687
4.5,0.0,1.0,360.0,MEAN,5,1.844689369,0.429074364
4.5,0.0,10.0,360.0,MEAN,5,4.656336603,1.452684802
4.5,0.0,20.0,360.0,MEAN,5,7.394720945,2.613903878
4.5,0.0,50.0,360.0,MEAN,5,13.850093693,5.784517177
4.5,0.0,1.0,500.0,MEAN,5,1.645521220,0.390084767
4.5,0.0,10.0,500.0,MEAN,5,4.153599417,1.320680657
4.5,0.0,20.0,500.0,MEAN,5,6.596324800,2.376380812
4.5,0.0,50.0,500.0,MEAN,5,12.354721317,5.258883367
4.5,0.0,1.0,800.0,MEAN,5,1.397367239,0.340380127
4.5,0.0,10.0,800.0,MEAN,5,3.527212946,1.152399396
4.5,0.0,20.0,800.0,MEAN,5,5.601561416,2.073582133
4.5,0.0,50.0,800.0,MEAN,5,10.491558912,4.588795925
5.5,0.0,1.0,180.0,MEAN,5,4.936925137,1.465476314
5.5,0.0,10.0,180.0,MEAN,5,9.587793017,3.488265304
5.5,0.0,20.0,180.0,MEAN,5,13.357291993,5.296954706
5.5,0.0,50.0,180.0,MEAN,5,20.945140732,9.318429314
5.5,0.0,1.0,360.0,MEAN,5,3.879344151,1.198616094
5.5,0.0,10.0,360.0,MEAN,5,7.533909818,2.853059373
5.5,0.0,20.0,360.0,MEAN,5,10.495912158,4.332390158
5.5,0.0,50.0,360.0,MEAN,5,16.458302878,7.621562518
5.5,0.0,1.0,500.0,MEAN,5,3.460497592,1.089698941
5.5,0.0,10.0,500.0,MEAN,5,6.720485673,2.593804465
5.5,0.0,20.0,500.0,MEAN,5,9.362685377,3.938709808
5.5,0.0,50.0,500.0,MEAN,5,14.681326345,6.928998070
5.5,0.0,1.0,800.0,MEAN,5,2.938634828,0.950849394
5.5,0.0,10.0,800.0,MEAN,5,5.706998122,2.263301642
5.5,0.0,20.0,800.0,MEAN,5,7.950739047,3.436839013
5.5,0.0,50.0,800.0,MEAN,5,12.467298638,6.046104447
6.5,0.0,1.0,180.0,MEAN,5,10.382252956,4.093797357
6.5,0.0,10.0,180.0,MEAN,5,15.512960962,6.850920451
6.5,0.0,20.0,180.0,MEAN,5,18.959060722,8.779387271
6.5,0.0,50.0,180.0,MEAN,5,24.889468450,12.277773480
6.5,0.0,1.0,360.0,MEAN,5,8.158181694,3.348325286
6.5,0.0,10.0,360.0,MEAN,5,12.189796828,5.603381940
6.5,0.0,20.0,360.0,MEAN,5,14.897678064,7.180678922
6.5,0.0,50.0,360.0,MEAN,5,19.557682398,10.042016204
6.5,0.0,1.0,500.0,MEAN,5,7.277355917,3.044066015
6.5,0.0,10.0,500.0,MEAN,5,10.873684039,5.094207724
6.5,0.0,20.0,500.0,MEAN,5,13.289199687,6.528177165
6.5,0.0,50.0,500.0,MEAN,5,17.446070836,9.129507333
6.5,0.0,1.0,800.0,MEAN,5,6.179889159,2.656190821
6.5,0.0,10.0,800.0,MEAN,5,9.233870498,4.445103270
6.5,0.0,20.0,800.0,MEAN,5,11.285112616,5.696356182
6.5,0.0,50.0,800.0,MEAN,5,14.815103898,7.966224601
7.5,0.0,1.0,180.0,MEAN,5,21.833666394,11.435992952
7.5,0.0,10.0,180.0,MEAN,5,25.099828229,13.455143730
7.5,0.0,20.0,180.0,MEAN,5,26.910094024,14.551312052
7.5,0.0,50.0,180.0,MEAN,5,29.576580442,16.176945335
7.5,0.0,1.0,360.0,MEAN,5,17.156489853,9.353522177
7.5,0.0,10.0,360.0,MEAN,5,19.722979209,11.004989755
7.5,0.0,20.0,360.0,MEAN,5,21.145452475,11.901548082
7.5,0.0,50.0,360.0,MEAN,5,23.240728016,13.231156891
7.5,0.0,1.0,500.0,MEAN,5,15.304131194,8.503576132
7.5,0.0,10.0,500.0,MEAN,5,17.593520815,10.004976354
7.5,0.0,20.0,500.0,MEAN,5,18.862411927,10.820065242
7.5,0.0,50.0,500.0,MEAN,5,20.731463933,12.028853709
7.5,0.0,1.0,800.0,MEAN,5,12.996180965,7.420049616
7.5,0.0,10.0,800.0,MEAN,5,14.940317580,8.730141272
7.5,0.0,20.0,800.0,MEAN,5,16.017852678,9.441371453
7.5,0.0,50.0,800.0,MEAN,5,17.605040987,10.496135974
4.5,5.0,1.0,180.0,MEAN,5,1.955972454,0.404092143
4.5,5.0,10.0,180.0,MEAN,5,4.937235660,1.368104376
4.5,5.0,20.0,180.0,MEAN,5,7.840816303,2.461713187
4.5,5.0,50.0,180.0,MEAN,5,14.685617108,5.447722211
4.5,5.0,1.0,360.0,MEAN,5,1.536966855,0.330507795
4.5,5.0,10.0,360.0,MEAN,5,3.879588154,1.118975385
4.5,5.0,20.0,360.0,MEAN,5,6.161167938,2.013440283
4.5,5.0,50.0,360.0,MEAN,5,11.539685382,4.455703210
4.5,5.0,1.0,500.0,MEAN,5,1.371023012,0.300474853
4.5,5.0,10.0,500.0,MEAN,5,3.460715251,1.017295111
4.5,5.0,20.0,500.0,MEAN,5,5.495956529,1.830480798
4.5,5.0,50.0,500.0,MEAN,5,10.293764082,4.050817516
4.5,5.0,1.0,800.0,MEAN,5,1.164264926,0.262188317
