rup_mag,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.010,0.020,0.030,0.040,0.050,0.100,0.150,0.200,0.220,0.240,0.260,0.280,0.300,0.400,0.500,0.750,1.000,1.500,2.000,3.000,4.000
5.0,1.0,180.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,1.0,300.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,1.0,570.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,1.0,800.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,10.0,180.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,10.0,300.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,10.0,570.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,10.0,800.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,100.0,180.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
5.0,100.0,300.0,INTER_EVENT_STDDEV,5.0,3.48763395E-01,3.49815625E-01,3.47165581E-01,3.50503319E-01,3.48022253E-01,3.50246760E-01,3.52007488E-01,3.75213724E-01,3.62042817E-01,3.64286001E-01,3.61439063E-01,3.56764819E-01,3.52807356E-01,3.54103536E-01,3.57390831E-01,3.65850750E-01,3.81894170E-01,3.81587400E-01,3.69212497E-01,3.64604389E-01,3.60101073E-01,4.32637575E-01,4.29309830E-01
