rup_mag,dist_rrup,dist_repi,damping,site_vs30,result_type,5.000,2.000,1.000,0.500,0.300,0.200,0.100,0.050,pga,rup_hypo_depth
4.5,50.01,1.0,5.0,760.0,MEAN,9.246786619283853e-05,0.0005568670239072467,0.0020985759663085762,0.009909602157719508,0.017947005348411538,0.020893985203917748,0.020516690205115918,0.013399071038529978,0.008793012904508676,50.0
4.5,50.01,1.26,5.0,760.0,MEAN,9.246786619283853e-05,0.0005568670239072467,0.0020985759663085762,0.009909602157719508,0.017947005348411538,0.020893985203917748,0.020516690205115918,0.013399071038529978,0.008793012904508676,50.0
4.5,50.01,1.58,5.0,760.0,MEAN,9.246786619283853e-05,0.0005568670239072467,0.0020985759663085762,0.009909602157719508,0.017947005348411538,0.020893985203917748,0.020516690205115918,0.013399071038529978,0.008793012904508676,50.0
4.5,50.01,2.0,5.0,760.0,MEAN,9.246786619283853e-05,0.0005568670239072467,0.0020985759663085762,0.009909602157719508,0.017947005348411538,0.020893985203917748,0.020516690205115918,0.013399071038529978,0.008793012904508676,50.0
4.5,50.01,2.51,5.0,760.0,MEAN,9.246786619283853e-05,0.0005567650522859489,0.0020985759663085762,0.00990858244150653,0.017947005348411538,0.020893985203917748,0.020516690205115918,0.013399071038529978,0.008791993188295698,50.0
4.5,50.03,3.16,5.0,760.0,MEAN,9.242707754431942e-05,0.0005565611090433532,0.0020975562500955983,0.009902464144228662,0.01793680818628176,0.020883788041787973,0.020506493042986136,0.0133888738764002,0.00878587489101783,50.0
4.5,50.07,3.98,5.0,760.0,MEAN,9.234550024728119e-05,0.0005559492793155665,0.002095516817669643,0.009891247265885904,0.0179164138620222,0.020853196555398634,0.020475901556596798,0.013378676714270418,0.008775677728888051,50.0
4.5,50.13,5.01,5.0,760.0,MEAN,9.220273997746428e-05,0.0005550315347238864,0.002090418236604753,0.009869833225413368,0.017875625213503082,0.020812407906879517,0.02043511290807768,0.013348085227881081,0.008755283404628493,50.0
4.5,50.24,6.31,5.0,760.0,MEAN,9.194781092421979e-05,0.0005533999887831217,0.002083280223113908,0.009831084009320206,0.017804245078594627,0.02073083060984128,0.02034333844890967,0.013286902255102404,0.008719593337174265,50.0
4.5,50.43,7.94,5.0,760.0,MEAN,9.152972727689884e-05,0.0005506467550080813,0.0020710436285581724,0.009768881320328554,0.01769207629516706,0.02059826750215415,0.02021077534122254,0.013195127795934392,0.008660449796821545,50.0
4.5,50.74,10.0,5.0,760.0,MEAN,9.083632025207385e-05,0.0005461600036709783,0.002050649304298614,0.009664870266604803,0.01750852737683103,0.020384127097428786,0.019986437774367396,0.013042170363987702,0.008564596472801618,50.0
4.5,51.24,12.59,5.0,760.0,MEAN,8.973502674205769e-05,0.000538920018558835,0.00201801838548332,0.009500695956315358,0.017212809675067428,0.020037423585016288,0.01962953709982512,0.012797438472873,0.008409599608428974,50.0
4.5,52.05,15.85,5.0,760.0,MEAN,8.801170634212499e-05,0.0005276011685947801,0.0019670325748344236,0.009244747186857898,0.01675393737922736,0.01949697399213799,0.01906869318268726,0.012420143474071166,0.00817098601459214,50.0
4.5,53.34,19.95,5.0,760.0,MEAN,8.538083851264193e-05,0.000510469936216751,0.0018905538588610792,0.00886031417456522,0.016060530354402372,0.018691398183885422,0.018232525888045355,0.011849102394803525,0.007812045907623908,50.0
