rup_mag,rup_rake,dist_rjb,damping,site_vs30,result_type,10.000,5.000,2.000,1.000,0.500,0.300,0.200,0.100,0.050,pga
5.0,0.0,1.0,5.0,760.0,MEAN,1.0758006046917144e-05,0.00020944971014566648,0.005717548806167244,0.028949743286443383,0.08732849647942978,0.1236915766342227,0.21424237634666274,0.37117670152396587,0.24666935191936085,0.1576481265263877
5.0,0.0,1.0,5.0,760.0,MEAN,1.0758006046917144e-05,0.00020944971014566648,0.005717548806167244,0.028949743286443383,0.08732849647942978,0.1236915766342227,0.21424237634666274,0.37117670152396587,0.24666935191936085,0.1576481265263877
5.0,0.0,1.0,5.0,760.0,MEAN,1.065603442561935e-05,0.0002061866182641371,0.0055839659822671354,0.028235941937358837,0.08518709243217613,0.12093834285918229,0.20883788041787973,0.3586341921043374,0.23667613303217716,0.15163180086981792
5.0,0.0,1.02,5.0,760.0,MEAN,1.0309330913206854e-05,0.0001946638250574865,0.005131211983704935,0.025819214512601146,0.07788592434725415,0.11135301045718977,0.1903810169629792,0.3167238557509445,0.20394324259558566,0.13184930633804615
5.0,0.0,1.54,5.0,760.0,MEAN,9.990159738544763e-06,0.00018405877644251604,0.00472536493093972,0.023657416141087937,0.0714209235569741,0.10278739426817517,0.17416752917663017,0.2813397031606104,0.17702273457296835,0.11543187530910148
5.0,0.0,2.19,5.0,760.0,MEAN,9.402803199869476e-06,0.00016295065083387294,0.0039564989063543615,0.019649931424084676,0.06011227075504887,0.08808308647703345,0.14745096439660843,0.2289262898135449,0.14184252522522983,0.09382408875609918
5.0,0.0,3.01,5.0,760.0,MEAN,8.870511336694998e-06,0.00014490167386416362,0.003336511448863781,0.016448022515333983,0.050934824838247524,0.07595866070472587,0.12562903743888076,0.1878317264305344,0.11461610233871915,0.07690699678279535
5.0,0.0,4.04,5.0,760.0,MEAN,8.380027838252614e-06,0.0001294019874268991,0.002828692774800773,0.013837549010110486,0.04337872770008107,0.06578189289920616,0.10758006046917143,0.1549968643726451,0.09321225902831243,0.06341615128509735
5.0,0.0,5.34,5.0,760.0,MEAN,7.755961515910123e-06,0.00011094512397199859,0.0022790657360056694,0.01109451239719986,0.03539434975246389,0.05484033793395299,0.08862353606991175,0.12328369014903154,0.0734399616586704,0.05063910713648392
5.0,0.0,6.97,5.0,760.0,MEAN,7.08294881534469e-06,9.282476686738081e-05,0.0017783850754335068,0.00863393717528412,0.028113575991801483,0.04463297864204392,0.07124757180076785,0.09577174672288702,0.05671661576583237,0.039626172036322294
5.0,0.0,9.03,5.0,760.0,MEAN,6.473158519983889e-06,7.780434705021593e-05,0.0013919126307148722,0.00673828473535815,0.022392968036995305,0.03641406596544182,0.05743041711491692,0.07462283246572479,0.04394976877934871,0.031101344495826813
5.0,0.0,11.62,5.0,760.0,MEAN,5.794027522140589e-06,6.349772858213559e-05,0.0010533668480061998,0.005100620497315597,0.017335175620624782,0.028898757475794488,0.0449388935059373,0.0563597150912901,0.03307959394900399,0.023688007627477276
5.0,0.0,14.88,5.0,760.0,MEAN,5.149566875538538e-06,5.140389429621737e-05,0.0007902800650578945,0.003826994947306165,0.013286902255102404,0.022719277225148243,0.034833505835326024,0.04214487108237777,0.024656738029806304,0.017865428051373304
5.0,0.0,18.98,5.0,760.0,MEAN,4.50816537757542e-06,4.098239459958294e-05,0.0005854190778706287,0.002819515328883972,0.00997180484671116,0.01746773872831191,0.026400452753998563,0.030744443821284537,0.01790621669989242,0.013164536309545054
5.0,0.0,24.15,5.0,760.0,MEAN,3.903473663279509e-06,3.22434266543621e-05,0.00042797489458683654,0.0020496295880856356,0.00739294254408998,0.01322571928232373,0.019670325748344236,0.0219544900654148,0.012797438472873,0.00953434659134363
5.0,0.0,30.65,5.0,760.0,MEAN,3.338550881289737e-06,2.5095216001386813e-05,0.00030795429631933434,0.0014694110629011948,0.00538002273967155,0.009763782739263663,0.014255632657431438,0.015316137518928482,0.008853176161074373,0.006696476370626055
5.0,0.0,38.84,5.0,760.0,MEAN,2.828692774800773e-06,1.9282833587412624e-05,0.00021954490065414795,0.0010431696858764206,0.003852487852630613,0.007119658599011896,0.010122722846231894,0.01039090821024509,0.006008167926865954,0.004597900404317479
5.0,0.0,49.15,5.0,760.0,MEAN,2.360643033043904e-06,1.463292765623327e-05,0.00015418109140226275,0.0007246103409421159,0.0027063268292434215,0.005055752983944568,0.006996272937241566,0.006818842316183407,0.003940183446946715,0.0030601683551467625
5.0,0.0,62.12,5.0,760.0,MEAN,1.9425593857229534e-06,1.0982343613772287e-05,0.00010696823074138467,0.0004953781362646776,0.0018538440751938736,0.0034762125700417575,0.00466112280952211,0.004294024972850056,0.002477910397536366,0.0019466382505748652
