rup_mag,rup_rake,dist_rjb,damping,site_vs30,result_type,10.000,5.000,2.000,1.000,0.500,0.300,0.200,0.100,0.050,pga
5.0,0.0,1.0,5.0,760.0,MEAN,1.3562225632606445e-05,0.00026410649916128344,0.0072093936257539536,0.03650584042460983,0.11012935100161625,0.15601658058562304,0.270224796439151,0.4680497417568691,0.3110134449582681,0.19884466153069602
5.0,0.0,1.0,5.0,760.0,MEAN,1.3562225632606445e-05,0.00026410649916128344,0.0072093936257539536,0.03650584042460983,0.11012935100161625,0.15601658058562304,0.270224796439151,0.4680497417568691,0.3110134449582681,0.19884466153069602
5.0,0.0,1.0,5.0,760.0,MEAN,1.3439859687049096e-05,0.0002600276343093717,0.007042160166825572,0.03561868731931903,0.10747808884787365,0.15244757384020027,0.2633926978121989,0.4522441404557112,0.29847093553863957,0.19129876155465933
5.0,0.0,1.02,5.0,760.0,MEAN,1.3011578877598366e-05,0.00024564963570638295,0.006475197952409844,0.03257993300464481,0.09828024860681273,0.14051689414835852,0.2402451397775999,0.3997287554873479,0.2573763721556291,0.16641768595799789
5.0,0.0,1.54,5.0,760.0,MEAN,1.2613889554536973e-05,0.00023249529655896767,0.005968398994559814,0.029887882202383077,0.09020409620002753,0.12980987391209026,0.22005475876063693,0.355371100222808,0.2236237655060597,0.14581941845584376
5.0,0.0,2.19,5.0,760.0,MEAN,1.1889891043322643e-05,0.00020598267502154152,0.005002727740869716,0.024850484110272113,0.075999449353245,0.11135301045718977,0.1864041237323653,0.28939546124313603,0.1792661102415198,0.11859299556933306
5.0,0.0,3.01,5.0,760.0,MEAN,1.1227075504886991e-05,0.00018354891833602708,0.004224684270367557,0.020822605069009296,0.06448685330872418,0.09615923888381864,0.15907572922455682,0.23779782086645287,0.1451056171067592,0.09736250401513259
5.0,0.0,4.04,5.0,760.0,MEAN,1.0625442939230013e-05,0.00016407233866814864,0.0035873616372563513,0.017549316025350148,0.05501368969015923,0.08342298338372431,0.13643802929644683,0.1966012858621446,0.1181851090841419,0.08042501771756921
5.0,0.0,5.34,5.0,760.0,MEAN,9.855557198431676e-06,0.00014102675225484749,0.002895994044857316,0.014102675225484747,0.04497968215445641,0.06969760315704139,0.11257666991276329,0.15662841031340977,0.09332442781174,0.06434409303890727
5.0,0.0,6.97,5.0,760.0,MEAN,9.024488484854666e-06,0.00011828708070543969,0.0022658094252369565,0.011002737938031845,0.03582263056191462,0.05687977035990884,0.09077513727929518,0.12206003069345801,0.07226728801374578,0.05048614970453723
5.0,0.0,9.03,5.0,760.0,MEAN,8.274997068315889e-06,9.946311941386712e-05,0.001779404791646485,0.00861354285102456,0.02862343409829045,0.0465602422845722,0.07340937017228105,0.09539445172408519,0.05618636333508385,0.03974853798187964
5.0,0.0,11.62,5.0,760.0,MEAN,7.437810057461009e-06,8.151611406545558e-05,0.0013531634146217108,0.006548617519744255,0.022250207767178395,0.03709727582813703,0.05769554333029118,0.07234886531078401,0.04247118027053071,0.03040793747100182
