rup_mag,dist_rrup,rup_hypo_depth,site_vs30,damping,site_backarc,result_type,5,2,1,0.5,0.3,0.2,0.1,pga
7,10,20,760,5,1,MEAN,0.018208716,0.090798636,0.20681371,0.430803601,0.644138599,0.818614295,0.903398415,0.418002928
7,12.6,20,760,5,1,MEAN,0.017134811,0.084484945,0.190888306,0.393259592,0.580469392,0.726573116,0.782310797,0.364820576
7,15.9,20,760,5,1,MEAN,0.016046463,0.078105088,0.17509725,0.356270058,0.519253371,0.640293841,0.672170308,0.315994355
7,20,20,760,5,1,MEAN,0.014934109,0.071709934,0.159323311,0.320169033,0.460552691,0.55908691,0.572373244,0.271443424
7,25.1,20,760,5,1,MEAN,0.013560613,0.064103143,0.140081029,0.277127309,0.391723228,0.465778378,0.460764832,0.221197047
7,31.6,20,760,5,1,MEAN,0.012189316,0.056595164,0.121640816,0.236417339,0.328079674,0.381750245,0.364652608,0.177369656
7,39.8,20,760,5,1,MEAN,0.010783986,0.049009393,0.103533125,0.197142075,0.267780732,0.304424306,0.280013728,0.138541321
7,50.1,20,760,5,1,MEAN,0.009422786,0.041723365,0.086612251,0.160464632,0.212950824,0.236962337,0.209594231,0.106091191
7,63.1,20,760,5,1,MEAN,0.008073825,0.034848118,0.070612132,0.127314927,0.164884307,0.179010838,0.152995735,0.079355919
7,79.4,20,760,5,1,MEAN,0.006823062,0.02859429,0.056400029,0.098668681,0.124416885,0.131971248,0.109013259,0.058261186
7,100,20,760,5,1,MEAN,0.005690879,0.023055754,0.044154943,0.074710101,0.091596594,0.095012189,0.075889086,0.0419739
7,125.9,20,760,5,1,MEAN,0.004650282,0.018125055,0.033441005,0.054359985,0.064562349,0.065430362,0.051153968,0.029578716
7,158.5,20,760,5,1,MEAN,0.003738345,0.013966234,0.02473884,0.038546001,0.044287312,0.043871181,0.033649555,0.020463472
7,199.5,20,760,5,1,MEAN,0.002946316,0.010468376,0.017667672,0.026216778,0.029018792,0.028163027,0.021358922,0.013841378
7,251.2,20,760,5,1,MEAN,0.00226141,0.007573198,0.01200271,0.016702417,0.017716557,0.016934771,0.0129205,0.00908823
7,316.2,20,760,5,1,MEAN,0.001691918,0.005293944,0.007814106,0.010136297,0.01027021,0.009691239,0.007498585,0.005794011
7,398.1,20,760,5,1,MEAN,0.001216688,0.00348963,0.004713889,0.005579295,0.005356478,0.005015097,0.004050227,0.003539805
7,501.2,20,760,5,1,MEAN,0.000846407,0.002209425,0.002710063,0.002926708,0.002665504,0.002476734,0.002085832,0.00207864
7,631,20,760,5,1,MEAN,0.000555366,0.00128227,0.001380954,0.001318801,0.001120932,0.001047802,0.000958472,0.001142298
