rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.10,0.20,0.50,0.75,1.00,2.00,5.00,10.00
4.25,20.0,500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,20.0,750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,20.0,1000.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,20.0,1250.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,20.0,1500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,20.0,1750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,1000.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,1250.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,1500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.25,120.0,1750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,1000.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,1250.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,1500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,20.0,1750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,1000.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,1250.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,1500.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
4.75,120.0,1750.0,TOTAL_STDDEV,5,0.761333,0.817516,0.817516,0.790849,0.774721,0.776823,0.774728,0.758064,0.747890,0.712832
5.25,20.0,500.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,20.0,750.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,20.0,1000.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,20.0,1250.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,20.0,1500.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,20.0,1750.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,500.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,750.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,1000.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,1250.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,1500.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.25,120.0,1750.0,TOTAL_STDDEV,5,0.731007,0.790533,0.790533,0.764420,0.756652,0.764700,0.765245,0.752951,0.742721,0.711498
5.75,20.0,500.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,20.0,750.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,20.0,1000.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
