rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.10,0.20,0.50,0.75,1.00,2.00,5.00,10.00
5.75,20.0,1250.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,20.0,1500.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,20.0,1750.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,500.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,750.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,1000.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,1250.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,1500.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
5.75,120.0,1750.0,TOTAL_STDDEV,5,0.670450,0.736916,0.736916,0.711674,0.720919,0.741151,0.747277,0.744132,0.733874,0.710670
6.25,20.0,500.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,20.0,750.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,20.0,1000.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,20.0,1250.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,20.0,1500.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,20.0,1750.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,500.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,750.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,1000.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,1250.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,1500.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.25,120.0,1750.0,TOTAL_STDDEV,5,0.633884,0.704025,0.704025,0.679432,0.697954,0.724912,0.734520,0.737207,0.726894,0.707937
6.75,20.0,500.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,20.0,750.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,20.0,1000.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,20.0,1250.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,20.0,1500.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,20.0,1750.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,500.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,750.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,1000.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,1250.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,1500.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
6.75,120.0,1750.0,TOTAL_STDDEV,5,0.621248,0.691494,0.691494,0.667618,0.687378,0.715309,0.726007,0.730835,0.720349,0.701555
7.25,20.0,500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,20.0,750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,20.0,1000.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,20.0,1250.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,20.0,1500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,20.0,1750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,1000.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,1250.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,1500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.25,120.0,1750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,1000.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,1250.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,1500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,20.0,1750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,1000.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,1250.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,1500.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
7.75,120.0,1750.0,TOTAL_STDDEV,5,0.614956,0.685248,0.685248,0.661737,0.682124,0.710542,0.721790,0.727700,0.717125,0.698415
