rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,5.52591213e-01,6.40939776e-01,4.38088054e-01,2.81998598e-01,1.41186431e-01,3.45987630e-02,6.71442678e-03
5.00,0.149830,180.0,MEAN,5,5.49472741e-01,6.39999904e-01,4.37797434e-01,2.81733892e-01,1.40693061e-01,3.44560613e-02,6.68738213e-03
5.00,0.224500,180.0,MEAN,5,5.46370751e-01,6.39057634e-01,4.37504756e-01,2.81468498e-01,1.40201308e-01,3.43139329e-02,6.66044349e-03
5.00,0.336380,180.0,MEAN,5,5.43285555e-01,6.38113081e-01,4.37210050e-01,2.81202447e-01,1.39711230e-01,3.41723937e-02,6.63361390e-03
5.00,0.504020,180.0,MEAN,5,5.40216927e-01,6.37166201e-01,4.36913294e-01,2.80935723e-01,1.39222799e-01,3.40314352e-02,6.60689177e-03
5.00,0.755200,180.0,MEAN,5,5.37164905e-01,6.36217027e-01,4.36614494e-01,2.80668336e-01,1.38736030e-01,3.38910608e-02,6.58027775e-03
5.00,1.131550,180.0,MEAN,5,5.15206970e-01,6.24205398e-01,4.28475140e-01,2.73810278e-01,1.32486450e-01,3.21874358e-02,6.25161798e-03
5.00,1.695450,180.0,MEAN,5,4.55043976e-01,5.87323512e-01,4.02827034e-01,2.52790488e-01,1.14834930e-01,2.74460009e-02,5.33543526e-03
5.00,2.540370,180.0,MEAN,5,4.01569240e-01,5.50845203e-01,3.77627781e-01,2.32949717e-01,9.95120503e-02,2.34029520e-02,4.55350000e-03
5.00,3.806360,180.0,MEAN,5,3.54040795e-01,5.14806796e-01,3.52877965e-01,2.14216050e-01,8.62106421e-02,1.99554202e-02,3.88614083e-03
5.00,5.703240,180.0,MEAN,5,2.95868979e-01,4.63588827e-01,3.17782279e-01,1.88941590e-01,7.01498271e-02,1.58873947e-02,3.09795838e-03
5.00,8.545430,180.0,MEAN,5,2.20702090e-01,3.83368360e-01,2.63008295e-01,1.51998426e-01,5.00861488e-02,1.09717391e-02,2.14406553e-03
5.00,12.804020,180.0,MEAN,5,1.53373091e-01,2.94209695e-01,2.04735656e-01,1.16347180e-01,3.40495342e-02,7.20513320e-03,1.41317664e-03
5.00,19.184850,180.0,MEAN,5,9.82757571e-02,2.06050073e-01,1.47155872e-01,8.33815359e-02,2.19597244e-02,4.49716713e-03,8.86703212e-04
5.00,28.745550,180.0,MEAN,5,5.85619816e-02,1.32353040e-01,9.73634879e-02,5.55678133e-02,1.35205212e-02,2.69830855e-03,5.35470169e-04
5.00,43.070780,180.0,MEAN,5,3.33713495e-02,8.00392321e-02,6.08153734e-02,3.52477762e-02,8.19267292e-03,1.61274916e-03,3.22576652e-04
5.00,64.534950,180.0,MEAN,5,1.95998871e-02,4.94286626e-02,3.91483195e-02,2.32800477e-02,5.34121814e-03,1.05211714e-03,2.12471795e-04
5.00,96.695690,180.0,MEAN,5,1.24005113e-02,3.30179056e-02,2.86905484e-02,1.82248589e-02,4.31348199e-03,8.65399411e-04,1.77386441e-04
5.00,144.883630,180.0,MEAN,5,7.36223784e-03,2.03072438e-02,1.96123975e-02,1.34702177e-02,3.33810040e-03,6.87805743e-04,1.43499610e-04
5.00,217.085850,180.0,MEAN,5,3.80907096e-03,1.04330478e-02,1.14049673e-02,8.63370144e-03,2.28314423e-03,4.87920384e-04,1.03904069e-04
5.00,0.100000,280.0,MEAN,5,6.51554193e-01,9.76428711e-01,7.60065051e-01,5.15967124e-01,1.83145527e-01,3.85749123e-02,7.55121140e-03
5.00,0.149830,280.0,MEAN,5,6.47566743e-01,9.73532453e-01,7.58134865e-01,5.14332472e-01,1.82363061e-01,3.84105710e-02,7.51959386e-03
5.00,0.224500,280.0,MEAN,5,6.43602561e-01,9.70640749e-01,7.56207113e-01,5.12702139e-01,1.81583844e-01,3.82469123e-02,7.48810534e-03
5.00,0.336380,280.0,MEAN,5,6.39662020e-01,9.67753959e-01,7.54282035e-01,5.11076321e-01,1.80807961e-01,3.80839544e-02,7.45674932e-03
