rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,3.10510759e-01,5.50332799e-01,3.63914594e-01,2.10089922e-01,8.56741861e-02,2.22794840e-02,4.34230242e-03
5.00,0.149830,180.0,MEAN,5,3.09041343e-01,5.48598136e-01,3.62724285e-01,2.09285877e-01,8.51684008e-02,2.21355177e-02,4.31445342e-03
5.00,0.224500,180.0,MEAN,5,3.07578209e-01,5.46865605e-01,3.61535826e-01,2.08484070e-01,8.46655064e-02,2.19924662e-02,4.28678005e-03
5.00,0.336380,180.0,MEAN,5,3.06121518e-01,5.45135434e-01,3.60349372e-01,2.07684599e-01,8.41655507e-02,2.18503422e-02,4.25928472e-03
5.00,0.504020,180.0,MEAN,5,3.04671180e-01,5.43407553e-01,3.59164871e-01,2.06887425e-01,8.36684952e-02,2.17091335e-02,4.23196513e-03
5.00,0.755200,180.0,MEAN,5,3.03227226e-01,5.41682038e-01,3.57982374e-01,2.06092572e-01,8.31743434e-02,2.15688400e-02,4.20482125e-03
5.00,1.131550,180.0,MEAN,5,2.91894822e-01,5.27970542e-01,3.48404642e-01,1.99648472e-01,7.92446337e-02,2.04582384e-02,3.98982666e-03
5.00,1.695450,180.0,MEAN,5,2.60316424e-01,4.87918944e-01,3.20556856e-01,1.81261093e-01,6.85418811e-02,1.74641608e-02,3.40976673e-03
5.00,2.540370,180.0,MEAN,5,2.31898676e-01,4.49300404e-01,2.93953799e-01,1.64183585e-01,5.92649140e-02,1.49082116e-02,2.91401861e-03
5.00,3.806360,180.0,MEAN,5,2.06336067e-01,4.12205276e-01,2.68614759e-01,1.48343127e-01,5.12245857e-02,1.27262790e-02,2.49032770e-03
5.00,5.703240,180.0,MEAN,5,1.74808212e-01,3.63080651e-01,2.36708444e-01,1.29279539e-01,4.21856201e-02,1.03120854e-02,2.02174463e-03
5.00,8.545430,180.0,MEAN,5,1.33445939e-01,2.92068927e-01,1.92249496e-01,1.04021448e-01,3.14007241e-02,7.50028335e-03,1.47562118e-03
5.00,12.804020,180.0,MEAN,5,9.53960024e-02,2.19025086e-01,1.47286096e-01,7.96424401e-02,2.23195453e-02,5.20912830e-03,1.02982996e-03
5.00,19.184850,180.0,MEAN,5,6.31358287e-02,1.51006772e-01,1.04880788e-01,5.72244748e-02,1.50611966e-02,3.44455730e-03,6.85482810e-04
5.00,28.745550,180.0,MEAN,5,3.90437593e-02,9.66771052e-02,6.97913982e-02,3.87152856e-02,9.75861270e-03,2.20286816e-03,4.42240300e-04
5.00,43.070780,180.0,MEAN,5,2.30987661e-02,5.87552786e-02,4.41655114e-02,2.50056871e-02,6.16439098e-03,1.38744728e-03,2.81653467e-04
5.00,64.534950,180.0,MEAN,5,1.36620849e-02,3.58791573e-02,2.86926668e-02,1.68091250e-02,4.14990886e-03,9.42284560e-04,1.94088458e-04
5.00,96.695690,180.0,MEAN,5,8.13729631e-03,2.28559921e-02,2.00547892e-02,1.23817604e-02,3.12643334e-03,7.23724395e-04,1.51967429e-04
5.00,144.883630,180.0,MEAN,5,4.58476240e-03,1.34731519e-02,1.31529408e-02,8.64549116e-03,2.26067033e-03,5.37811368e-04,1.15686785e-04
5.00,217.085850,180.0,MEAN,5,2.36431136e-03,6.95428898e-03,7.70955124e-03,5.48352683e-03,1.50714762e-03,3.71439128e-04,8.22981340e-05
5.00,0.100000,280.0,MEAN,5,3.49644558e-01,7.29176574e-01,5.29417660e-01,3.10774115e-01,1.02973869e-01,2.45027126e-02,4.80590839e-03
5.00,0.149830,280.0,MEAN,5,3.47867598e-01,7.26136015e-01,5.26998259e-01,3.09088288e-01,1.02305044e-01,2.43416967e-02,4.77447014e-03
5.00,0.224500,280.0,MEAN,5,3.46099034e-01,7.23105029e-01,5.24588018e-01,3.07410967e-01,1.01640484e-01,2.41817218e-02,4.74323420e-03
5.00,0.336380,280.0,MEAN,5,3.44339054e-01,7.20083982e-01,5.22187215e-01,3.05742324e-01,1.00980247e-01,2.40228016e-02,4.71220326e-03
5.00,0.504020,280.0,MEAN,5,3.42587540e-01,7.17072720e-01,5.19795715e-01,3.04082245e-01,1.00324276e-01,2.38649225e-02,4.68137466e-03
5.00,0.755200,280.0,MEAN,5,3.40844524e-01,7.14071341e-01,5.17413582e-01,3.02430753e-01,9.96725716e-02,2.37080839e-02,4.65074832e-03
5.00,1.131550,280.0,MEAN,5,3.27192651e-01,6.90418434e-01,4.98414787e-01,2.89276688e-01,9.45146712e-02,2.24675003e-02,4.40840020e-03
