rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,5.05768424e-01,6.55599857e-01,4.31252580e-01,2.54097547e-01,1.20191307e-01,3.25000228e-02,6.92508128e-03
5.00,0.149830,180.0,MEAN,5,5.04409153e-01,6.54380899e-01,4.30265241e-01,2.53348867e-01,1.19653147e-01,3.23414348e-02,6.89128181e-03
5.00,0.224500,180.0,MEAN,5,5.03053212e-01,6.53163167e-01,4.29279527e-01,2.52602112e-01,1.19117327e-01,3.21836038e-02,6.85764371e-03
5.00,0.336380,180.0,MEAN,5,5.01700767e-01,6.51946817e-01,4.28295562e-01,2.51857374e-01,1.18583907e-01,3.20265464e-02,6.82417050e-03
5.00,0.504020,180.0,MEAN,5,5.00351750e-01,6.50731796e-01,4.27313301e-01,2.51114616e-01,1.18052853e-01,3.18702520e-02,6.79085995e-03
5.00,0.755200,180.0,MEAN,5,4.99006209e-01,6.49518151e-01,4.26332782e-01,2.50373862e-01,1.17524176e-01,3.17147234e-02,6.75771263e-03
5.00,1.131550,180.0,MEAN,5,4.84886807e-01,6.37376008e-01,4.16693184e-01,2.43190000e-01,1.12296121e-01,3.01764731e-02,6.43002182e-03
5.00,1.695450,180.0,MEAN,5,4.44015947e-01,6.01150621e-01,3.88324457e-01,2.22129401e-01,9.77468161e-02,2.59327193e-02,5.52598638e-03
5.00,2.540370,180.0,MEAN,5,4.06414839e-01,5.66053277e-01,3.61355842e-01,2.02768272e-01,8.50723507e-02,2.22857332e-02,4.74904235e-03
5.00,3.806360,180.0,MEAN,5,3.71822491e-01,5.32069204e-01,3.35728885e-01,1.84902403e-01,7.40315108e-02,1.91515963e-02,4.08132316e-03
5.00,5.703240,180.0,MEAN,5,3.21268030e-01,4.82219183e-01,3.02023804e-01,1.62754659e-01,6.07880611e-02,1.54331345e-02,3.29108957e-03
5.00,8.545430,180.0,MEAN,5,2.45907106e-01,4.01665417e-01,2.52065623e-01,1.32385916e-01,4.42169488e-02,1.08845305e-02,2.32566366e-03
5.00,12.804020,180.0,MEAN,5,1.70679115e-01,3.09793136e-01,1.99543941e-01,1.03588858e-01,3.06213006e-02,7.27570374e-03,1.56045056e-03
5.00,19.184850,180.0,MEAN,5,1.06882952e-01,2.16375290e-01,1.45718944e-01,7.60251255e-02,2.00530201e-02,4.59714318e-03,9.91174550e-04
5.00,28.745550,180.0,MEAN,5,6.21213711e-02,1.38027205e-01,9.76160188e-02,5.18079879e-02,1.25666108e-02,2.79927224e-03,6.07203644e-04
5.00,43.070780,180.0,MEAN,5,3.46722677e-02,8.25979294e-02,6.10959528e-02,3.31451559e-02,7.65807975e-03,1.67767785e-03,3.66214546e-04
5.00,64.534950,180.0,MEAN,5,1.95306865e-02,4.93152686e-02,3.90740352e-02,2.21200988e-02,5.06896455e-03,1.10986413e-03,2.44235391e-04
5.00,96.695690,180.0,MEAN,5,1.21754912e-02,3.30736471e-02,2.90011270e-02,1.75551391e-02,4.12744766e-03,9.15267296e-04,2.03458389e-04
5.00,144.883630,180.0,MEAN,5,7.06659815e-03,2.00132367e-02,1.97413835e-02,1.29714766e-02,3.17897972e-03,7.19501077e-04,1.61841376e-04
5.00,217.085850,180.0,MEAN,5,3.54861181e-03,9.99250283e-03,1.14749925e-02,8.46034693e-03,2.22190983e-03,5.19010789e-04,1.18437761e-04
5.00,0.100000,280.0,MEAN,5,5.91921837e-01,9.75811061e-01,7.26747357e-01,4.49077805e-01,1.54027074e-01,3.61578882e-02,7.76870164e-03
5.00,0.149830,280.0,MEAN,5,5.90198510e-01,9.73317660e-01,7.24449900e-01,4.47287559e-01,1.53281093e-01,3.59791273e-02,7.73019954e-03
5.00,0.224500,280.0,MEAN,5,5.88479856e-01,9.70829462e-01,7.22158936e-01,4.45504114e-01,1.52538643e-01,3.58012313e-02,7.69188417e-03
5.00,0.336380,280.0,MEAN,5,5.86766084e-01,9.68346774e-01,7.19874739e-01,4.43727672e-01,1.51799803e-01,3.56242185e-02,7.65375952e-03
5.00,0.504020,280.0,MEAN,5,5.85057104e-01,9.65869480e-01,7.17597194e-01,4.41958130e-01,1.51064524e-01,3.54480772e-02,7.61582302e-03
5.00,0.755200,280.0,MEAN,5,5.83352975e-01,9.63397669e-01,7.15326374e-01,4.40195532e-01,1.50332817e-01,3.52728102e-02,7.57807527e-03
5.00,1.131550,280.0,MEAN,5,5.65497977e-01,9.38436528e-01,6.92709539e-01,4.22714348e-01,1.43085513e-01,3.35389033e-02,7.20479353e-03
5.00,1.695450,280.0,MEAN,5,5.14104007e-01,8.65642138e-01,6.27762711e-01,3.73512627e-01,1.23076137e-01,2.87617212e-02,6.17658560e-03
5.00,2.540370,280.0,MEAN,5,4.67225832e-01,7.97618679e-01,5.68412415e-01,3.29906924e-01,1.05862805e-01,2.46649639e-02,5.29510836e-03
5.00,3.806360,280.0,MEAN,5,4.24468063e-01,7.34078560e-01,5.14193466e-01,2.91266358e-01,9.10549051e-02,2.11517168e-02,4.53942259e-03
5.00,5.703240,280.0,MEAN,5,3.62677493e-01,6.43674087e-01,4.43547517e-01,2.43562935e-01,7.33768499e-02,1.69866380e-02,3.64584354e-03
5.00,8.545430,280.0,MEAN,5,2.72323758e-01,5.07517741e-01,3.45027559e-01,1.81568244e-01,5.16524672e-02,1.19065857e-02,2.55785042e-03
