rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,2.65570466e-01,4.99151149e-01,3.38944681e-01,1.92465848e-01,8.00734894e-02,2.23972570e-02,4.42507218e-03
5.00,0.149830,180.0,MEAN,5,2.64338076e-01,4.97167753e-01,3.37504798e-01,1.91538198e-01,7.95316497e-02,2.22339448e-02,4.39305399e-03
5.00,0.224500,180.0,MEAN,5,2.63110804e-01,4.95189147e-01,3.36069056e-01,1.90614199e-01,7.89933768e-02,2.20718061e-02,4.36126403e-03
5.00,0.336380,180.0,MEAN,5,2.61888787e-01,4.93215582e-01,3.34637632e-01,1.89693956e-01,7.84587160e-02,2.19108530e-02,4.32970475e-03
5.00,0.504020,180.0,MEAN,5,2.60671951e-01,4.91246973e-01,3.33210457e-01,1.88777416e-01,7.79276204e-02,2.17510701e-02,4.29837312e-03
5.00,0.755200,180.0,MEAN,5,2.59460324e-01,4.89283397e-01,3.31787584e-01,1.87864604e-01,7.74000880e-02,2.15924553e-02,4.26726878e-03
5.00,1.131550,180.0,MEAN,5,2.50529127e-01,4.75990347e-01,3.21784053e-01,1.81330313e-01,7.36127513e-02,2.04545068e-02,4.04419146e-03
5.00,1.695450,180.0,MEAN,5,2.25640291e-01,4.38099457e-01,2.93425481e-01,1.63076922e-01,6.34287294e-02,1.74212306e-02,3.44907197e-03
5.00,2.540370,180.0,MEAN,5,2.03022318e-01,4.01997268e-01,2.66794495e-01,1.46357504e-01,5.46367326e-02,1.48377145e-02,2.94150692e-03
5.00,3.806360,180.0,MEAN,5,1.82477846e-01,3.67718839e-01,2.41855778e-01,1.31065404e-01,4.70474914e-02,1.26372713e-02,2.50861569e-03
5.00,5.703240,180.0,MEAN,5,1.57517230e-01,3.24966346e-01,2.12000473e-01,1.13384220e-01,3.87570622e-02,1.02671797e-02,2.04261864e-03
5.00,8.545430,180.0,MEAN,5,1.24836021e-01,2.66334392e-01,1.72633438e-01,9.10125169e-02,2.91086465e-02,7.56444433e-03,1.51093983e-03
5.00,12.804020,180.0,MEAN,5,9.31555070e-02,2.05982550e-01,1.33944257e-01,7.00731109e-02,2.09882112e-02,5.34938764e-03,1.07466537e-03
