rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,7.76073306e-01,6.37783713e-01,4.69107365e-01,3.47637006e-01,2.32589868e-01,5.57247550e-02,9.25921509e-03
5.00,0.149830,180.0,MEAN,5,7.75264840e-01,6.37148200e-01,4.68528649e-01,3.47101991e-01,2.32083531e-01,5.55950343e-02,9.23780321e-03
5.00,0.224500,180.0,MEAN,5,7.74457104e-01,6.36513163e-01,4.67950528e-01,3.46567717e-01,2.31578240e-01,5.54656017e-02,9.21643856e-03
5.00,0.336380,180.0,MEAN,5,7.73650201e-01,6.35878683e-01,4.67373075e-01,3.46034249e-01,2.31074058e-01,5.53364732e-02,9.19512377e-03
5.00,0.504020,180.0,MEAN,5,7.72844095e-01,6.35244731e-01,4.66796264e-01,3.45501566e-01,2.30570960e-01,5.52076426e-02,9.17385783e-03
5.00,0.755200,180.0,MEAN,5,7.72038819e-01,6.34611332e-01,4.66220120e-01,3.44969685e-01,2.30068966e-01,5.50791143e-02,9.15264147e-03
5.00,1.131550,180.0,MEAN,5,7.47323785e-01,6.23310674e-01,4.53406246e-01,3.31646296e-01,2.16532951e-01,5.15643784e-02,8.56855983e-03
5.00,1.695450,180.0,MEAN,5,6.73292892e-01,5.88479150e-01,4.14700276e-01,2.92413365e-01,1.78437930e-01,4.17785510e-02,6.94210588e-03
5.00,2.540370,180.0,MEAN,5,6.06356487e-01,5.54685051e-01,3.78756861e-01,2.57591093e-01,1.47029519e-01,3.38498083e-02,5.62436554e-03
5.00,3.806360,180.0,MEAN,5,5.45831306e-01,5.21882367e-01,3.45377671e-01,2.26687437e-01,1.21134995e-01,2.74257289e-02,4.55674333e-03
5.00,5.703240,180.0,MEAN,5,4.52310403e-01,4.71972594e-01,3.02656519e-01,1.89674175e-01,9.11789079e-02,2.00917710e-02,3.34073211e-03
5.00,8.545430,180.0,MEAN,5,3.14384434e-01,3.87156980e-01,2.40819719e-01,1.41622839e-01,5.68416397e-02,1.19455643e-02,1.99101317e-03
5.00,12.804020,180.0,MEAN,5,2.00849391e-01,2.92081293e-01,1.79567176e-01,1.00519821e-01,3.35883974e-02,6.71094853e-03,1.12292775e-03
5.00,19.184850,180.0,MEAN,5,1.14897151e-01,1.96004894e-01,1.21682561e-01,6.62863592e-02,1.87586952e-02,3.56685429e-03,6.00318822e-04
5.00,28.745550,180.0,MEAN,5,5.95011219e-02,1.15070627e-01,7.26225619e-02,3.92122267e-02,9.83320836e-03,1.79871064e-03,3.05008368e-04
5.00,43.070780,180.0,MEAN,5,2.86447843e-02,6.06805243e-02,3.92183691e-02,2.13025228e-02,4.99929656e-03,8.96957295e-04,1.53551000e-04
5.00,64.534950,180.0,MEAN,5,1.51891045e-02,3.45200483e-02,2.34682510e-02,1.30821485e-02,3.02221831e-03,5.43321242e-04,9.41136052e-05
5.00,96.695690,180.0,MEAN,5,1.15118224e-02,2.81792588e-02,1.81437942e-02,9.74768882e-03,2.19153939e-03,3.94845251e-04,6.90825422e-05
5.00,144.883630,180.0,MEAN,5,7.62062147e-03,1.96151268e-02,1.30670228e-02,7.12211769e-03,1.60125228e-03,2.92404022e-04,5.20017172e-05
5.00,217.085850,180.0,MEAN,5,3.92992165e-03,1.05043211e-02,7.88221721e-03,4.57548134e-03,1.05544632e-03,1.97740537e-04,3.59513674e-05
5.00,0.100000,280.0,MEAN,5,9.42460525e-01,1.06738667e+00,9.14888949e-01,7.30249830e-01,3.16457939e-01,6.26431995e-02,1.05143129e-02
5.00,0.149830,280.0,MEAN,5,9.41391633e-01,1.06600455e+00,9.13421917e-01,7.28809224e-01,3.15722082e-01,6.24957818e-02,1.04896853e-02
5.00,0.224500,280.0,MEAN,5,9.40323815e-01,1.06462396e+00,9.11957014e-01,7.27371283e-01,3.14987857e-01,6.23486954e-02,1.04651128e-02
5.00,0.336380,280.0,MEAN,5,9.39257207e-01,1.06324510e+00,9.10494426e-01,7.25936188e-01,3.14255354e-01,6.22019582e-02,1.04405984e-02
5.00,0.504020,280.0,MEAN,5,9.38191761e-01,1.06186789e+00,9.09034087e-01,7.24503870e-01,3.13524539e-01,6.20555632e-02,1.04161408e-02
5.00,0.755200,280.0,MEAN,5,9.37127521e-01,1.06049239e+00,9.07576052e-01,7.23074383e-01,3.12795437e-01,6.19095157e-02,1.03917411e-02
5.00,1.131550,280.0,MEAN,5,9.04517783e-01,1.03197567e+00,8.72520030e-01,6.85808002e-01,2.93031375e-01,5.79128885e-02,9.71952620e-03
5.00,1.695450,280.0,MEAN,5,8.07482450e-01,9.46087084e-01,7.69426580e-01,5.79251966e-01,2.37937407e-01,4.68031678e-02,7.85117132e-03
5.00,2.540370,280.0,MEAN,5,7.20638210e-01,8.66398775e-01,6.77942513e-01,4.89070312e-01,1.93198431e-01,3.78246379e-02,6.34195576e-03
5.00,3.806360,280.0,MEAN,5,6.42913402e-01,7.92460184e-01,5.96774282e-01,4.12756321e-01,1.56868459e-01,3.05684716e-02,5.12284538e-03
5.00,5.703240,280.0,MEAN,5,5.24498145e-01,6.82775909e-01,4.92125042e-01,3.21174252e-01,1.15091874e-01,2.22934187e-02,3.73598252e-03
5.00,8.545430,280.0,MEAN,5,3.54332810e-01,5.14349886e-01,3.51541649e-01,2.10377897e-01,6.84259002e-02,1.31413784e-02,2.20432737e-03
5.00,12.804020,280.0,MEAN,5,2.19480436e-01,3.55826668e-01,2.34430959e-01,1.29860325e-01,3.83323803e-02,7.30767425e-03,1.22846823e-03
5.00,19.184850,280.0,MEAN,5,1.21751493e-01,2.20815744e-01,1.43272113e-01,7.48248359e-02,2.02345346e-02,3.83736533e-03,6.47560237e-04
5.00,28.745550,280.0,MEAN,5,6.14982741e-02,1.22555053e-01,7.92285925e-02,3.98447484e-02,1.00903823e-02,1.90972247e-03,3.24022324e-04
5.00,43.070780,280.0,MEAN,5,2.91304082e-02,6.25538807e-02,4.08890732e-02,2.02694671e-02,4.94920261e-03,9.39601922e-04,1.60649483e-04
5.00,64.534950,280.0,MEAN,5,1.53285596e-02,3.50800205e-02,2.39786327e-02,1.20767489e-02,2.93732547e-03,5.63137373e-04,9.73161863e-05
