rup_mag,dist_rrup,site_vs30,result_type,damping,pga,0.100,0.200,0.400,1.000,2.000,4.000
5.00,0.100000,180.0,MEAN,5,5.49089969e-01,6.22824614e-01,4.11534055e-01,2.64824705e-01,1.51585300e-01,3.73094289e-02,6.54498309e-03
5.00,0.149830,180.0,MEAN,5,5.46986114e-01,6.21743833e-01,4.11096145e-01,2.64509236e-01,1.51142108e-01,3.71838365e-02,6.52330323e-03
5.00,0.224500,180.0,MEAN,5,5.44889734e-01,6.20663163e-01,4.10657692e-01,2.64193715e-01,1.50700139e-01,3.70586535e-02,6.50169286e-03
5.00,0.336380,180.0,MEAN,5,5.42801071e-01,6.19582743e-01,4.10218751e-01,2.63878181e-01,1.50259444e-01,3.69338945e-02,6.48015452e-03
5.00,0.504020,180.0,MEAN,5,5.40720008e-01,6.18502526e-01,4.09779302e-01,2.63562621e-01,1.49820001e-01,3.68095528e-02,6.45868704e-03
5.00,0.755200,180.0,MEAN,5,5.38646601e-01,6.17422555e-01,4.09339362e-01,2.63247047e-01,1.49381825e-01,3.66856320e-02,6.43729108e-03
5.00,1.131550,180.0,MEAN,5,5.17216023e-01,6.02906829e-01,3.97940000e-01,2.54144525e-01,1.41082086e-01,3.44502229e-02,6.04588571e-03
5.00,1.695450,180.0,MEAN,5,4.56624314e-01,5.58888884e-01,3.64545209e-01,2.26871591e-01,1.17781487e-01,2.82608237e-02,4.96132611e-03
5.00,2.540370,180.0,MEAN,5,4.02791427e-01,5.16412614e-01,3.32676153e-01,2.02146768e-01,9.83062030e-02,2.31833610e-02,4.07130466e-03
5.00,3.806360,180.0,MEAN,5,3.54964942e-01,4.75469832e-01,3.02622014e-01,1.79737103e-01,8.20290777e-02,1.90180750e-02,3.34092744e-03
5.00,5.703240,180.0,MEAN,5,2.91236896e-01,4.19243148e-01,2.64050194e-01,1.52432357e-01,6.34757431e-02,1.43528009e-02,2.52337803e-03
5.00,8.545430,180.0,MEAN,5,2.05080665e-01,3.33033224e-01,2.08424811e-01,1.16060364e-01,4.19515051e-02,9.11000000e-03,1.60482587e-03
5.00,12.804020,180.0,MEAN,5,1.33508976e-01,2.44663969e-01,1.54342518e-01,8.40026682e-02,2.65115835e-02,5.52548351e-03,9.75631897e-04
5.00,19.184850,180.0,MEAN,5,7.81411843e-02,1.62288896e-01,1.04994256e-01,5.68665916e-02,1.59951706e-02,3.20801980e-03,5.68458800e-04
5.00,28.745550,180.0,MEAN,5,4.09178802e-02,9.61133637e-02,6.43070990e-02,3.51283152e-02,9.12337949e-03,1.77837096e-03,3.16426810e-04
5.00,43.070780,180.0,MEAN,5,2.06579355e-02,5.34588527e-02,3.70807046e-02,2.05771823e-02,5.13450900e-03,9.88315902e-04,1.76586551e-04
5.00,64.534950,180.0,MEAN,5,1.18628244e-02,3.30399103e-02,2.36841606e-02,1.33489263e-02,3.28349543e-03,6.31379337e-04,1.13191602e-04
5.00,96.695690,180.0,MEAN,5,7.46008428e-03,2.30141687e-02,1.73999360e-02,1.00720368e-02,2.47968650e-03,4.79140701e-04,8.62313697e-05
5.00,144.883630,180.0,MEAN,5,4.36597273e-03,1.46070830e-02,1.21104958e-02,7.37330616e-03,1.84488466e-03,3.60410545e-04,6.52423083e-05
5.00,217.085850,180.0,MEAN,5,2.24932240e-03,7.53447325e-03,7.15239732e-03,4.72291987e-03,1.22426627e-03,2.43608125e-04,4.44826341e-05
5.00,0.100000,280.0,MEAN,5,6.47077462e-01,9.47231169e-01,7.12489757e-01,4.83330222e-01,1.96462440e-01,4.15907200e-02,7.35932910e-03
5.00,0.149830,280.0,MEAN,5,6.44388788e-01,9.44625231e-01,7.10826148e-01,4.82024215e-01,1.95784367e-01,4.14468814e-02,7.33415646e-03
5.00,0.224500,280.0,MEAN,5,6.41710672e-01,9.42024513e-01,7.09165266e-01,4.80721300e-01,1.95108556e-01,4.13035249e-02,7.30906724e-03
5.00,0.336380,280.0,MEAN,5,6.39043415e-01,9.39429339e-01,7.07507319e-01,4.79421637e-01,1.94435086e-01,4.11606673e-02,7.28406437e-03
5.00,0.504020,280.0,MEAN,5,6.36386860e-01,9.36839585e-01,7.05852230e-01,4.78125162e-01,1.93763922e-01,4.10183006e-02,7.25914649e-03
5.00,0.755200,280.0,MEAN,5,6.33741072e-01,9.34255345e-01,7.04200061e-01,4.76831919e-01,1.93095081e-01,4.08764292e-02,7.23431432e-03
5.00,1.131550,280.0,MEAN,5,6.06453298e-01,9.02621088e-01,6.76157500e-01,4.53086995e-01,1.81353073e-01,3.83481895e-02,6.78667545e-03
5.00,1.695450,280.0,MEAN,5,5.29911450e-01,8.10439590e-01,5.94534487e-01,3.85543678e-01,1.48861320e-01,3.13647360e-02,5.54978566e-03
5.00,2.540370,280.0,MEAN,5,4.62730045e-01,7.26103090e-01,5.21875976e-01,3.27814833e-01,1.22186195e-01,2.56529790e-02,4.53831334e-03
5.00,3.806360,280.0,MEAN,5,4.03768115e-01,6.48998935e-01,4.57232337e-01,2.78486331e-01,1.00286655e-01,2.09813419e-02,3.71117746e-03
5.00,5.703240,280.0,MEAN,5,3.26401588e-01,5.47978681e-01,3.77512261e-01,2.20698930e-01,7.56860541e-02,1.57616080e-02,2.78793594e-03
5.00,8.545430,280.0,MEAN,5,2.24400624e-01,4.07161048e-01,2.73368392e-01,1.50824057e-01,4.79886647e-02,9.92709315e-03,1.75661382e-03
5.00,12.804020,280.0,MEAN,5,1.42520831e-01,2.80616489e-01,1.86125336e-01,9.78962233e-02,2.89984454e-02,5.96341382e-03,1.05629521e-03
5.00,19.184850,280.0,MEAN,5,8.14889617e-02,1.76217463e-01,1.17618489e-01,5.99728306e-02,1.67197695e-02,3.42424509e-03,6.07622848e-04
5.00,28.745550,280.0,MEAN,5,4.18899595e-02,1.00380340e-01,6.82800583e-02,3.43312619e-02,9.17029739e-03,1.87487937e-03,3.33457064e-04
5.00,43.070780,280.0,MEAN,5,2.09136882e-02,5.46429432e-02,3.82003381e-02,1.92329911e-02,5.02902715e-03,1.02952215e-03,1.83601684e-04
5.00,64.534950,280.0,MEAN,5,1.19483331e-02,3.34574261e-02,2.40780943e-02,1.22294468e-02,3.17570661e-03,6.51891226e-04,1.16560746e-04
5.00,96.695690,280.0,MEAN,5,7.49413410e-03,2.31963979e-02,1.75720602e-02,9.13396799e-03,2.38227195e-03,4.91394038e-04,8.81790602e-05
5.00,144.883630,280.0,MEAN,5,4.37769172e-03,1.46745917e-02,1.21731975e-02,6.63857968e-03,1.76378527e-03,3.67126750e-04,6.62694225e-05
5.00,217.085850,280.0,MEAN,5,2.25244321e-03,7.55237906e-03,7.16644188e-03,4.23127785e-03,1.16645004e-03,2.46487045e-04,4.49041046e-05
5.00,0.100000,380.0,MEAN,5,7.10354526e-01,1.19516149e+00,8.83162801e-01,5.68152669e-01,1.74282942e-01,3.70293571e-02,6.91068800e-03
5.00,0.149830,380.0,MEAN,5,7.07201361e-01,1.19100576e+00,8.80412433e-01,5.66258937e-01,1.73666567e-01,3.69003595e-02,6.88682837e-03
5.00,0.224500,380.0,MEAN,5,7.04061592e-01,1.18686267e+00,8.77669642e-01,5.64371174e-01,1.73052305e-01,3.67717976e-02,6.86304857e-03
5.00,0.336380,380.0,MEAN,5,7.00935565e-01,1.18273274e+00,8.74934760e-01,5.62489601e-01,1.72440229e-01,3.66436864e-02,6.83935139e-03
5.00,0.504020,380.0,MEAN,5,6.97823086e-01,1.17861572e+00,8.72207645e-01,5.60614118e-01,1.71830303e-01,3.65160187e-02,6.81573552e-03
