rup_mag,rup_hypo_depth,dist_rjb,site_vs30,site_vs30measured,site_region,result_type,damping,pgv,pga,0.1,0.2,0.5,1.0,2.0,5.0
5.0,15.0,50.0,300.0,1.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,1.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,1.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,300.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,300.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,300.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,0,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,1,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,2,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,3,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,4,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,20.0,600.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,50.0,600.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
5.0,15.0,120.0,600.0,0.0,5,TOTAL_STDDEV,5,0.57603922,0.63292614,0.65461713,0.65303440,0.62997199,0.60362882,0.58268807,0.56989684
