rup_mag,rup_hypo_depth,dist_rjb,site_vs30,site_vs30measured,site_region,result_type,damping,pgv,pga,0.1,0.073,0.2,0.5,1.0,2.0,5.0
4.0,5.0,20.0,300.0,1.0,0,MEAN,5,2.82003370e-01,9.58337145e-03,2.41537270e-02,2.07906643e-02,1.94649928e-02,5.74097388e-03,1.41625501e-03,2.95769004e-04,5.16685503e-05
4.0,5.0,60.0,300.0,1.0,0,MEAN,5,4.11554205e-02,1.07402542e-03,2.32641002e-03,1.90121582e-03,2.56437356e-03,1.04984108e-03,3.13968033e-04,6.68958165e-05,1.07215153e-05
4.0,5.0,120.0,300.0,1.0,0,MEAN,5,9.72657964e-03,1.84411482e-04,3.32313414e-04,2.76143639e-04,4.48436683e-04,2.56693303e-04,9.68735906e-05,2.24481048e-05,3.45746320e-06
4.0,5.0,20.0,300.0,1.0,2,MEAN,5,2.82003370e-01,9.58337145e-03,2.41537270e-02,2.07906643e-02,1.94649928e-02,5.74097388e-03,1.41625501e-03,2.95769004e-04,5.16685503e-05
4.0,5.0,60.0,300.0,1.0,2,MEAN,5,4.11554205e-02,1.07402542e-03,2.32641002e-03,1.90121582e-03,2.56437356e-03,1.04984108e-03,3.13968033e-04,6.68958165e-05,1.07215153e-05
4.0,5.0,120.0,300.0,1.0,2,MEAN,5,9.72657964e-03,1.84411482e-04,3.32313414e-04,2.76143639e-04,4.48436683e-04,2.56693303e-04,9.68735906e-05,2.24481048e-05,3.45746320e-06
4.0,5.0,20.0,300.0,1.0,4,MEAN,5,2.82003370e-01,9.58337145e-03,2.41537270e-02,2.07906643e-02,1.94649928e-02,5.74097388e-03,1.41625501e-03,2.95769004e-04,5.16685503e-05
4.0,5.0,60.0,300.0,1.0,4,MEAN,5,4.11554205e-02,1.07402542e-03,2.32641002e-03,1.90121582e-03,2.56437356e-03,1.04984108e-03,3.13968033e-04,6.68958165e-05,1.07215153e-05
4.0,5.0,120.0,300.0,1.0,4,MEAN,5,9.72657964e-03,1.84411482e-04,3.32313414e-04,2.76143639e-04,4.48436683e-04,2.56693303e-04,9.68735906e-05,2.24481048e-05,3.45746320e-06
4.0,5.0,20.0,600.0,1.0,0,MEAN,5,1.94861340e-01,7.09850384e-03,1.87383826e-02,1.61365567e-02,1.45681219e-02,3.81423270e-03,9.01591588e-04,1.93170012e-04,3.82024644e-05
4.0,5.0,60.0,600.0,1.0,0,MEAN,5,2.84379594e-02,7.95541903e-04,1.80482130e-03,1.47561793e-03,1.91924585e-03,6.97501550e-04,1.99872859e-04,4.36903987e-05,7.92722661e-06
4.0,5.0,120.0,600.0,1.0,0,MEAN,5,6.72096345e-03,1.36595521e-04,2.57807662e-04,2.14327327e-04,3.35622023e-04,1.70543885e-04,6.16699773e-05,1.46611059e-05,2.55636386e-06
4.0,5.0,20.0,600.0,1.0,2,MEAN,5,1.94861340e-01,7.09850384e-03,1.87383826e-02,1.61365567e-02,1.45681219e-02,3.81423270e-03,9.01591588e-04,1.93170012e-04,3.82024644e-05
4.0,5.0,60.0,600.0,1.0,2,MEAN,5,2.84379594e-02,7.95541903e-04,1.80482130e-03,1.47561793e-03,1.91924585e-03,6.97501550e-04,1.99872859e-04,4.36903987e-05,7.92722661e-06
