IMT	f	Cr	Mh	c	Vc	f4	f5	b3 	b4 	c0_crust	c1_crust	c2_crust	c0_slab	c1_slab	c2_slab	sigma_crust	sigma_inter	sigma_slab	We_crust	We_inter	We_slab	Be_crust	Be_inter	Be_slab	phiSS	phiS2S
PGA	199.0	0.0	5.85	-0.6	1500.0	-0.15	-0.00701	-0.4564820129811583	0.0382499084688654	0.1428528	1.8311172	-0.068096	0.0833642	2.0242844	-0.0795	0.5882477191133427	0.6609733014920862	0.6517833907492344	0.2695343088711387	0.2781428363192544	0.4371171299325807	0.4210541953043666	0.5132467904328566	0.3710124029949301	0.319	0.31
0.01	100.0	0.0	5.85	-0.6037219733679098	1500.2016174443593	-0.14833333333333332	-0.00701	-0.4321239989624864	0.0352795984338166	0.1858079	1.835986	-0.068564	0.1461414	2.0253435	-0.079668	0.5891707573698034	0.6581477526095371	0.6502991085972927	0.2827104865134497	0.2631305746503745	0.4350067071335421	0.4136386855155551	0.5175140239154374	0.3708882518916798	0.319	0.31
0.02	50.0	0.0	5.9	-0.5738756667810282	1500.3610246719468	-0.1471	-0.00728	-0.4209048867121666	0.0343552883860402	0.3788124	1.7937459	-0.065544	0.3926504	1.9685245	-0.075674	0.5906919100281849	0.6564213631980238	0.6498255467327309	0.2898855554860094	0.2503723108711098	0.4309610921115986	0.4108324443046253	0.5216346537681448	0.3747609615107619	0.319	0.31
0.030003000300030006	33.33	0.0	6.15	-0.5341302744452499	1502.9542591138745	-0.15485857698769875	-0.0073499399939994	-0.4074900854082593	0.0326778323559757	0.6479953	1.7548111	-0.063509	0.7575199	1.9042317	-0.072015	0.592893932691825	0.6577818075849962	0.6510830319898336	0.2892621440503026	0.2464367347305593	0.4243012733328321	0.4144280727004389	0.5252102837579675	0.3844184490801814	0.32	0.31
0.04	25.0	0.0	5.75	-0.4906464190369123	1503.3483943310396	-0.1677676	-0.00698	-0.3942597934043294	0.0311008797558349	0.8303084	1.7303709	-0.062245	1.0007686	1.8638357	-0.069799	0.5969889787544426	0.6642462271005666	0.6551220773940072	0.2818483117235293	0.2562180980298786	0.4185568429021282	0.4252732885250007	0.5286542693096207	0.397360171065046	0.322	0.31
0.05	20.0	0.0	5.35	-0.45795109058471833	1501.4240703452265	-0.1963325	-0.00647	-0.3872042220905837	0.030295798196675	1.019008	1.7113114	-0.061549	1.2434498	1.8317754	-0.068393	0.6072621537123721	0.6778241665277248	0.6639524822244005	0.2724474509140059	0.2747724238503614	0.4168951781203023	0.4414502461231346	0.5331832009738579	0.4091086886052547	0.332	0.3156919226392606
0.07518796992481203	13.3	0.0	5.2	-0.44434184153093564	1493.9151758236615	-0.22885364210526313	-0.005727744360902256	-0.3693744528442891	0.0283527646879723	1.9363128	1.5294222	-0.050218	2.0974603	1.6746652	-0.05927	0.6268056032585644	0.6989016790392447	0.6792178876390348	0.2677611865543155	0.2899003611827397	0.4133309336990016	0.4534541057569989	0.5374502324183275	0.4182414289771707	0.35	0.3399537986601684
0.1	10.0	0.0	5.45	-0.4872444307650178	1479.1238149606534	-0.249158	-0.0056	-0.3524454309621292	0.0265250085182278	2.0612433	1.5223922	-0.049859	2.0449053	1.7178947	-0.062507	0.6338975269005954	0.7084570441781146	0.6837877738077343	0.2677636877643701	0.2949010842275676	0.403474736804459	0.4518746788522763	0.5375935055684061	0.4228899379647635	0.37	0.3548773826798042
0.14992503748125938	6.67	0.0	5.25	-0.5794738568057596	1442.9135041417426	-0.2571296	-0.005849475262368816	-0.338642054565708	0.0252114260252002	1.9156618	1.5915179	-0.053872	1.3905436	1.9204179	-0.075433	0.6365977401345634	0.7142273299123043	0.6863092895334575	0.2705302338693459	0.2946188721157924	0.4013010417573432	0.4390885194606251	0.532962523637424	0.4131665129212239	0.392	0.3731907654067907
0.2	5.0	0.0	5.45	-0.6876175549933129	1392.6110373521183	-0.2465827	-0.00614	-0.3261850027345212	0.0243650445860804	1.1976394	1.7746622	-0.06552	0.4094375	2.1658134	-0.091005	0.6379204798728414	0.7175650174038529	0.6886118621305368	0.2794948910382598	0.2985042244382068	0.419918277576542	0.4257252693513831	0.5274577164417414	0.3876490645721152	0.391	0.3841655106336327
0.25	4.0	0.0	5.6	-0.7717746991142215	1356.2133768987694	-0.23574459999999997	-0.00644	-0.3077823706788615	0.0218772196277857	0.0657588	2.0753163	-0.085827	-0.987637	2.5268359	-0.114937	0.6449237886374458	0.7238649914408726	0.700507394420585	0.2946883862042289	0.3030868775064255	0.4490771615468309	0.419311862848497	0.5280680454787547	0.3684797182391605	0.384	0.3914881988787751
0.3003003003003003	3.33	0.0	5.85	-0.8419521792657217	1308.3065483824914	-0.21906000960960959	-0.006701501501501502	-0.3084956335215223	0.0223410856911098	-1.082073	2.3665827	-0.104992	-2.344921	2.8594724	-0.136229	0.6559257883546427	0.7313380173598518	0.7218648592066839	0.310927991653233	0.2955059319895369	0.4781756996809185	0.4197171520927012	0.53863865784076	0.3674737257516661	0.378	0.3967366079331965
0.4	2.5	0.0	6.15	-0.9109240322773913	1252.656788171011	-0.19582290000000002	-0.00713	-0.2965977772093245	0.0212260758724609	-2.744799	2.7806937	-0.132406	-4.181405	3.298661	-0.164437	0.6699009037313802	0.7409354913501378	0.7440773369715515	0.3275907882194808	0.2963734965135148	0.5067558522793996	0.4226036012356438	0.5461597388952242	0.3660490364127885	0.381	0.4035563065007463
0.5	2.0	0.0	6.25	-0.9693045215971263	1203.907561708764	-0.17040659999999996	-0.00744	-0.2812533400432924	0.0201580254243318	-4.434368	3.1743708	-0.157102	-5.955038	3.6888328	-0.187762	0.6839151009318686	0.7529874688086199	0.7525996800274545	0.3476563639178173	0.3422858899601504	0.5251523601072439	0.4250429706313488	0.532557139366314	0.3527150209790476	0.399	0.407692765482745
0.8	1.25	0.0	6.85	-1.0209917226234801	1139.20893293117	-0.1325233	-0.00822	-0.264977379383868	0.0188268480022055	-7.968264	3.9712418	-0.205802	-9.36277	4.385247	-0.226892	0.6975189145352997	0.7725322498860177	0.7484947654976736	0.3659675326069178	0.4155825907719518	0.5229141077296948	0.4266031979284738	0.5034749990137726	0.3408740781951128	0.45	0.413049770281145
1.0	1.0	0.0	6.45	-1.0500336389924818	1109.9470817334236	-0.1052142	-0.00844	-0.2661810877060593	0.0201321374754103	-9.422486	4.2415535	-0.21957	-10.62059	4.5653105	-0.233082	0.7010718861378604	0.7879294869646772	0.7365011681374007	0.3731066769148803	0.4721322708709847	0.5005710372039522	0.4253201114154281	0.475949572150902	0.3470829978266226	0.444	0.414
1.4925373134328357	0.67	0.0	6.75	-1.0457716643433437	1073.014087206576	-0.06848863731343284	-0.007736119402985075	-0.289540692077823	0.0245989883881205	-12.19098	4.7224578	-0.243257	-12.78069	4.8086577	-0.238103	0.6965551527416289	0.7909464837379347	0.7226151176687715	0.3722562513226867	0.500976693008008	0.4635378284413603	0.4194466470071202	0.4515969649184814	0.3696301062017831	0.42	0.4131329985326505
2.0	0.5	0.0	6.65	-1.039161103429778	1009.4937301506833	-0.03613609999999999	-0.00479	-0.3001730943640149	0.0272869035780396	-13.36398	4.8520475	-0.2455	-13.60044	4.807092	-0.230555	0.6895034821081156	0.7821002896409709	0.6998060348034836	0.3717903941909072	0.5079848304973409	0.4150421862157243	0.4107927295042367	0.430344033336159	0.3860468650249619	0.419	0.41040990243054
3.0303030303030303	0.33	0.0042	6.65	-1.009967210347025	920.3637769231365	-0.013221472727272728	-0.0018057575757575758	-0.3362655550702224	0.0347566543365056	-14.938882215053328	4.8665685	-0.232389	-14.495349836784555	4.5902041	-0.201187	0.6772866362703034	0.7677574683516714	0.6765267087897692	0.3685418569426256	0.4977522428309425	0.3810408461828983	0.4023605595440166	0.4250845494211882	0.3888081493519698	0.428	0.401238450264341
4.0	0.25	0.1625	6.85	-0.9693804976802449	844.4757455460383	-0.0032122999999999995	-0.00152	-0.35295648468494	0.037906793691587	-15.503362918229438	4.8042808	-0.221216	-14.808634064306917	4.4460372	-0.184846	0.671537532346627	0.7610079053920009	0.6655717318421388	0.3670131335316696	0.4929369074585197	0.3650402155792154	0.3983924795627366	0.4226094981670842	0.3901075772705617	0.421	0.396922472774365
5.0	0.2	0.2852	6.85	-0.9195405181949666	793.1312280772821	-0.00025479999999999996	-0.00144	-0.3688931821796301	0.0409760006440203	-15.824433708127367	4.666816	-0.205107	-14.952648378551087	4.253515	-0.165795	0.6465058234789528	0.7308724749380889	0.6669718580887798	0.3494901575932433	0.4421039105464605	0.3505900629378145	0.3786239146240316	0.4315650195384607	0.411664580015376	0.404	0.3904745072503744
7.692307692307692	0.13	0.5	7.5	-0.7665259092060178	767.086508833329	4.861538461538263e-06	-0.00137	-0.4050606111362064	0.0472347675992962	-16.33223554808867	4.3617284	-0.172557	-15.32503726720488	3.9139993	-0.133369	0.6076018721031521	0.6819457003856956	0.714104433872471	0.3221905305938992	0.3503803020712459	0.3902093776362749	0.3530644093760983	0.4489596444940409	0.4657928340692346	0.387	0.3751250722236302
10.0	0.1	0.5	7.45	-0.655750798606377	775.0	0.0	-0.00136	-0.4202596843528228	0.0498150630541786	-16.600646598152043	4.2229454	-0.158457	-15.6575418416145	3.8019792	-0.122707	0.6076018721031521	0.6076018721031521	0.714104433872471	0.3221905305938992	0.3221905305938992	0.3902093776362749	0.3530644093760983	0.3530644093760983	0.4657928340692346	0.387	0.3751250722236302
