imt   dm_b   mu_c_1_if   mu_c_1_slab   c_2_if   c_2_slab   c_3   c_4_if   c_4_slab   c_5   mu_c_6   mu_c_6b   mu_c_7   c_9_if   c_9_slab   c_6xc   c_1_if_reg_Al   c_1_if_reg_Ca   c_1_if_reg_CAM   c_1_if_reg_Ja   c_1_if_reg_NZ   c_1_if_reg_SA   c_1_if_reg_Tw   c_1_slab_reg_Al   c_1_slab_reg_Ca   c_1_slab_reg_CAM   c_1_slab_reg_Ja   c_1_slab_reg_NZ   c_1_slab_reg_SA   c_1_slab_reg_Tw   c_7_reg_Al   c_7_reg_Ca   c_7_reg_CAM   c_7_reg_Ja   c_7_reg_NZ   c_7_reg_SA   c_7_reg_Tw   c_6_x1_reg_Al   c_6_x1_reg_Ca   c_6_x1_reg_CAM   c_6_x1_reg_Ja   c_6_x1_reg_NZ   c_6_x1_reg_SA   c_6_x1_reg_Tw   c_6_x2_reg_Al   c_6_x2_reg_Ca   c_6_x2_reg_CAM   c_6_x2_reg_Ja   c_6_x2_reg_NZ   c_6_x2_reg_SA   c_6_x2_reg_Tw   c_6_x3_reg_Al   c_6_x3_reg_Ca   c_6_x3_reg_CAM   c_6_x3_reg_Ja   c_6_x3_reg_NZ   c_6_x3_reg_SA   c_6_x3_reg_Tw   c_6_1_reg_Al   c_6_1_reg_Ca   c_6_1_reg_CAM   c_6_1_reg_Ja   c_6_1_reg_NZ   c_6_1_reg_SA   c_6_1_reg_Tw   c_6_2_reg_Al   c_6_2_reg_Ca   c_6_2_reg_CAM   c_6_2_reg_Ja   c_6_2_reg_NZ   c_6_2_reg_SA   c_6_2_reg_Tw   c_6_3_reg_Al   c_6_3_reg_Ca   c_6_3_reg_CAM   c_6_3_reg_Ja   c_6_3_reg_NZ   c_6_3_reg_SA   c_6_3_reg_Tw   dz_b_if   dz_b_slab   c_nft_1   c_nft_2   c_11_Ca   c_12_Ca   theta_11_Sea   c_11_Ja   c_12_Ja   c_11_NZ   c_12_NZ   c_11_Tw   c_12_Tw   k1   k2   phi   tau
0.250   0.00000000   4.44134800   4.73797700   -2.33821600   -2.16215000   0.09317700   0.98666900   1.16660000   0.12994500   -0.00341300   -0.00606500   2.18252800   0.02491700   0.01890700   -0.51376600   4.19296400   4.39680100   4.37563400   4.60638400   4.63872000   4.68392400   4.23980500   4.59072100   4.60452400   4.83242600   5.07930900   4.82020300   4.89813000   4.49781000   1.74216300   2.04194500   2.47611600   1.99561300   2.32477900   2.54292400   2.24256700   -0.00668800   -0.00612600   -0.00767400   -0.00992300   -0.00608600   -0.00439200   -0.00564100   -0.00676000   -0.00717800   -0.00147700   -0.00261700   -0.00533800   -0.00351200   -0.00670700   -0.00615800   -0.00619900   -0.00624000   -0.00702900   -0.00621600   -0.00617200   -0.00595800   -0.00580400   -0.00594200   -0.00641300   -0.00633700   -0.00632700   -0.00751400   -0.00600600   -0.00336000   -0.00514000   -0.00193700   -0.00328800   -0.00281800   -0.00259100   -0.00394500   -0.00627300   -0.00606000   -0.00669300   -0.00936800   -0.00634900   -0.00627900   -0.00559700   13.37493700   -15.12641300   0.87263600   0.19491600   -0.03124000   0.03552400   -0.08799600   -0.00887900   -0.02259200   -0.02214900   -0.11875000   0.02198400   0.05055400   654.0   -2.381   0.649528   0.495846
0.300   0.00000000   4.09596000   4.37473100   -2.25020500   -2.08803200   0.09203200   0.98505600   1.20125800   0.12784600   -0.00350800   -0.00595400   2.30734200   0.02257500   0.01720700   -0.47036800   3.88568200   4.06802600   4.02858800   4.20632200   4.25972800   4.29905300   3.94787400   4.26166700   4.29040500   4.43141800   4.62483900   4.45991000   4.47262900   4.20456700   1.82695600   2.15615500   2.62175100   2.08121200   2.43806600   2.74251300   2.37644000   -0.00665400   -0.00603200   -0.00768800   -0.00960000   -0.00598800   -0.00429100   -0.00563200   -0.00653400   -0.00694300   -0.00155900   -0.00268400   -0.00527000   -0.00350200   -0.00653400   -0.00605600   -0.00609600   -0.00613500   -0.00691200   -0.00608600   -0.00602000   -0.00587400   -0.00575900   -0.00590500   -0.00621200   -0.00613400   -0.00617700   -0.00711700   -0.00595700   -0.00336300   -0.00527600   -0.00196000   -0.00336000   -0.00288200   -0.00258800   -0.00425000   -0.00623500   -0.00598900   -0.00658900   -0.00925700   -0.00623300   -0.00606900   -0.00557800   11.61349700   -14.69940500   0.87039900   0.19476600   -0.02722200   0.05180000   -0.04654900   -0.01082300   -0.00537200   -0.01010400   -0.08400800   0.01967000   0.05331500   587.0   -2.518   0.635787   0.492609
0.400   0.00000000   3.43344900   3.75722000   -2.10293500   -1.97931700   0.09058400   0.98915000   1.26504900   0.12450500   -0.00362000   -0.00571000   2.44403900   0.01872300   0.01444600   -0.39916500   3.28703600   3.42568300   3.37017400   3.47240500   3.54101800   3.57014000   3.36405100   3.69918600   3.73444000   3.76745800   3.88541800   3.83582700   3.76954800   3.68276100   1.94996200   2.28797000   2.74827900   2.18651200   2.54073700   2.95597200   2.51142300   -0.00648500   -0.00582100   -0.00757000   -0.00895000   -0.00575600   -0.00409000   -0.00551800   -0.00610200   -0.00650400   -0.00166900   -0.00277800   -0.00510600   -0.00345700   -0.00619200   -0.00584300   -0.00584000   -0.00589500   -0.00662200   -0.00582700   -0.00573400   -0.00569200   -0.00560300   -0.00573200   -0.00583500   -0.00576900   -0.00585700   -0.00640000   -0.00576300   -0.00336300   -0.00541000   -0.00198400   -0.00345400   -0.00293600   -0.00255600   -0.00466800   -0.00610100   -0.00582300   -0.00635200   -0.00891500   -0.00592700   -0.00565600   -0.00547000   8.76820000   -13.81827300   0.86754300   0.19472600   -0.04571500   0.11065900   0.02301800   -0.01393100   0.03015500   0.00767700   -0.04593800   0.01688900   0.05192600   503.0   -2.657   0.615315   0.488215
0.500   0.00000000   2.84643500   3.26524400   -1.98999100   -1.90787100   0.08984800   1.00068000   1.32012600   0.12209200   -0.00362800   -0.00545400   2.45167400   0.01582300   0.01234500   -0.34227200   2.74733200   2.84840000   2.79107900   2.84710100   2.91294400   2.93325600   2.82744300   3.24623100   3.27407800   3.25179400   3.32440700   3.33066200   3.22733900   3.24684600   1.98442100   2.30268800   2.71812300   2.18792100   2.51978500   2.98030100   2.50229600   -0.00623500   -0.00558000   -0.00735700   -0.00835600   -0.00550300   -0.00388900   -0.00535300   -0.00572000   -0.00612000   -0.00173600   -0.00282900   -0.00493000   -0.00338400   -0.00587700   -0.00559100   -0.00557300   -0.00563300   -0.00631300   -0.00555200   -0.00542900   -0.00546600   -0.00541600   -0.00551900   -0.00551000   -0.00546900   -0.00555900   -0.00579700   -0.00553300   -0.00330300   -0.00539300   -0.00197600   -0.00348200   -0.00292400   -0.00249200   -0.00487800   -0.00588800   -0.00560100   -0.00606300   -0.00849200   -0.00562100   -0.00529800   -0.00531900   6.72811900   -12.94797900   0.86601700   0.19487600   -0.03160000   0.12928200   0.09922900   -0.01998100   0.07473300   0.01612600   -0.01981500   0.01828400   0.06589500   457.0   -2.669   0.603263   0.485607
0.750   0.00000000   1.70164000   2.39883700   -1.81138500   -1.81896600   0.08951800   1.04732100   1.42601500   0.11861400   -0.00347000   -0.00489200   2.09648000   0.01135200   0.00882100   -0.23391500   1.66939200   1.70893700   1.66643300   1.67387500   1.71200300   1.71547000   1.73991300   2.43112400   2.42991700   2.36803900   2.39437500   2.43057200   2.31324200   2.43493800   1.73214700   1.96923600   2.27957100   1.83732300   2.14088700   2.59064500   2.08938000   -0.00557600   -0.00502000   -0.00670000   -0.00717800   -0.00493200   -0.00343600   -0.00492800   -0.00496300   -0.00535500   -0.00182200   -0.00287400   -0.00451000   -0.00318400   -0.00521700   -0.00502700   -0.00497400   -0.00504900   -0.00561800   -0.00493300   -0.00480100   -0.00496200   -0.00494700   -0.00500500   -0.00483600   -0.00488700   -0.00491800   -0.00464700   -0.00499000   -0.00307600   -0.00504900   -0.00191600   -0.00341100   -0.00278700   -0.00231100   -0.00493400   -0.00533200   -0.00506300   -0.00541900   -0.00742100   -0.00498700   -0.00459100   -0.00490300   3.96476000   -10.95322700   0.86498300   0.19552000   -0.03277900   0.18490800   0.20957900   -0.02418700   0.14135900   0.01205900   0.00401100   0.00610900   0.08552300   410.0   -2.401   0.594773   0.482859
1.000   0.00000000   0.89049200   1.82961600   -1.71999300   -1.79148100   0.09009600   1.10381400   1.50092600   0.11715700   -0.00321800   -0.00440500   1.51638200   0.00916800   0.00664500   -0.15085200   0.88399900   0.89485000   0.86976800   0.86852300   0.88091500   0.87366200   0.94144900   1.87790000   1.85576700   1.80135700   1.81963400   1.83788800   1.74213900   1.87098600   1.24580800   1.40036100   1.66498200   1.26485400   1.57266600   1.98083400   1.46066500   -0.00496200   -0.00453700   -0.00605400   -0.00632000   -0.00444700   -0.00308400   -0.00450700   -0.00440000   -0.00476900   -0.00184700   -0.00281500   -0.00413500   -0.00297300   -0.00468900   -0.00453700   -0.00446200   -0.00454500   -0.00506500   -0.00442900   -0.00429600   -0.00450600   -0.00451800   -0.00453200   -0.00430300   -0.00444800   -0.00440500   -0.00384200   -0.00452000   -0.00283600   -0.00456500   -0.00183800   -0.00323000   -0.00260700   -0.00213300   -0.00467400   -0.00479600   -0.00459200   -0.00485000   -0.00646400   -0.00445700   -0.00408000   -0.00449100   2.99839600   -9.25585200   0.86559600   0.19622700   -0.02905800   0.17391600   0.23675700   -0.00267100   0.18875000   0.03044800   0.04483200   0.01514500   0.11085000   400.0   -1.955   0.598970   0.482329
1.500   -0.14762800   -0.17509700   1.09015400   -1.65268800   -1.79780400   0.09189700   1.21594700   1.60075600   0.11677300   -0.00274800   -0.00368400   0.45984400   0.00781500   0.00402000   -0.02375000   -0.17611900   -0.17763300   -0.18084000   -0.17262900   -0.18611700   -0.20316800   -0.13547700   1.13301300   1.09742700   1.07444100   1.09962000   1.07722200   1.02952600   1.11018200   0.31030400   0.35655000   0.59274600   0.22421600   0.54446900   0.91334700   0.34695900   -0.00402800   -0.00378500   -0.00499500   -0.00517200   -0.00370000   -0.00256700   -0.00384500   -0.00363800   -0.00392300   -0.00184500   -0.00274000   -0.00354500   -0.00261200   -0.00390300   -0.00379000   -0.00370900   -0.00378000   -0.00427400   -0.00369000   -0.00355200   -0.00379800   -0.00382800   -0.00379500   -0.00358500   -0.00382900   -0.00364300   -0.00279600   -0.00379000   -0.00240900   -0.00366700   -0.00170100   -0.00286200   -0.00226800   -0.00187500   -0.00393900   -0.00395000   -0.00382700   -0.00396500   -0.00495500   -0.00370300   -0.00340900   -0.00379500   2.95859000   -6.60057500   0.86803600   0.19745900   -0.02387600   0.20171500   0.28640000   0.00460800   0.24953600   0.04301800   0.09409900   0.02235700   0.15125200   400.0   -1.025   0.611546   0.482850
2.000   -0.25237200   -0.85422700   0.58659300   -1.64603500   -1.82503000   0.09368400   1.31370500   1.66632000   0.11765100   -0.00234000   -0.00317200   -0.17602400   0.00807000   0.00239800   0.06932300   -0.86643100   -0.85988300   -0.85461300   -0.83651900   -0.85415900   -0.87287100   -0.83215400   0.61201300   0.58232700   0.57930200   0.61020000   0.57004400   0.55235000   0.58569100   -0.28125100   -0.26281800   -0.06379600   -0.39993700   -0.08281100   0.27463300   -0.31546600   -0.00337700   -0.00325800   -0.00420700   -0.00441900   -0.00316400   -0.00218200   -0.00335600   -0.00313600   -0.00332900   -0.00181000   -0.00264300   -0.00309900   -0.00232900   -0.00334800   -0.00325700   -0.00317600   -0.00324900   -0.00371100   -0.00317100   -0.00304000   -0.00328300   -0.00330900   -0.00326500   -0.00310000   -0.00337900   -0.00312100   -0.00215100   -0.00328700   -0.00206400   -0.00292100   -0.00159200   -0.00251500   -0.00198200   -0.00168500   -0.00323500   -0.00333000   -0.00327100   -0.00333500   -0.00386900   -0.00319000   -0.00298000   -0.00326300   3.46776600   -4.64626300   0.87053400   0.19840500   -0.03921800   0.23098200   0.28235800   -0.01441900   0.28058000   0.04678800   0.11224100   0.01347800   0.16836500   400.0   -0.299   0.617348   0.483536
3.000   -0.40000000   -1.70759700   -0.14618400   -1.67662900   -1.87587600   0.09650200   1.46312000   1.75268400   0.12019100   -0.00175700   -0.00249500   -0.59241500   0.00982000   0.00027900   0.18661600   -1.73985800   -1.71232600   -1.70649500   -1.68479700   -1.68967500   -1.70307900   -1.70617400   -0.14923500   -0.15487000   -0.14816400   -0.12041200   -0.15481300   -0.15173300   -0.16611900   -0.72129700   -0.63810600   -0.54489300   -0.80276400   -0.49804500   -0.17435900   -0.74948300   -0.00257200   -0.00253200   -0.00314400   -0.00344400   -0.00244700   -0.00163300   -0.00266700   -0.00250900   -0.00253800   -0.00169400   -0.00246400   -0.00246700   -0.00188000   -0.00260900   -0.00255600   -0.00247400   -0.00253500   -0.00300000   -0.00248900   -0.00236200   -0.00258700   -0.00260900   -0.00254100   -0.00246300   -0.00273500   -0.00242500   -0.00138900   -0.00260700   -0.00158500   -0.00191000   -0.00140800   -0.00198500   -0.00155200   -0.00141600   -0.00218600   -0.00252000   -0.00254700   -0.00251100   -0.00252200   -0.00251300   -0.00243600   -0.00251800   3.92727000   -1.99422900   0.87444600   0.19969400   0.00042100   0.21050600   0.28627300   0.01705000   0.30566100   0.05867200   0.12463800   0.02534400   0.15717500   400.0   0.000   0.609291   0.484022
4.000   -0.40000000   -2.25768000   -0.71121300   -1.70983000   -1.90828400   0.09843800   1.56604600   1.81176100   0.12261200   -0.00137700   -0.00204400   -0.58538900   0.01172400   -0.00118300   0.24231100   -2.29656600   -2.25837600   -2.25742100   -2.24324200   -2.23362800   -2.23911200   -2.26111600   -0.72721500   -0.71467800   -0.71387500   -0.69679200   -0.71063700   -0.70876000   -0.73202800   -0.76594900   -0.59215000   -0.58062800   -0.78081600   -0.48319800   -0.20531400   -0.74105700   -0.00211100   -0.00204600   -0.00247900   -0.00280300   -0.00198800   -0.00122600   -0.00221100   -0.00211500   -0.00202900   -0.00158500   -0.00231500   -0.00203600   -0.00155400   -0.00213400   -0.00210000   -0.00202600   -0.00206800   -0.00252800   -0.00204600   -0.00192600   -0.00212800   -0.00215900   -0.00206800   -0.00204700   -0.00228300   -0.00198400   -0.00095400   -0.00216600   -0.00127900   -0.00129600   -0.00127100   -0.00163100   -0.00126500   -0.00122000   -0.00152300   -0.00201800   -0.00208300   -0.00200800   -0.00176100   -0.00208300   -0.00208000   -0.00203500   3.37065600   -0.30537500   0.87706400   0.20049400   0.01883200   0.24494700   0.44800200   0.05236800   0.30716400   0.04213400   0.13654600   0.03081100   0.13208700   400.0   0.000   0.587788   0.483600
5.000   -0.40000000   -2.66361600   -1.18257700   -1.73263600   -1.92582900   0.09977400   1.63788300   1.85744700   0.12465400   -0.00112400   -0.00173400   -0.51267100   0.01338700   -0.00231100   0.25902700   -2.69928600   -2.66021300   -2.66363500   -2.65902400   -2.64090600   -2.63895500   -2.66449200   -1.20029700   -1.17960000   -1.18664900   -1.17952200   -1.17641600   -1.18100400   -1.19765800   -0.72417400   -0.48793700   -0.51916200   -0.68758200   -0.40149300   -0.15904900   -0.65958000   -0.00182300   -0.00170800   -0.00204300   -0.00234500   -0.00167300   -0.00089600   -0.00189200   -0.00184500   -0.00168000   -0.00148500   -0.00217400   -0.00173100   -0.00130100   -0.00180500   -0.00178700   -0.00171800   -0.00175200   -0.00218400   -0.00173700   -0.00162500   -0.00180500   -0.00185400   -0.00174100   -0.00174500   -0.00195200   -0.00168200   -0.00068200   -0.00186100   -0.00107400   -0.00091300   -0.00116800   -0.00141300   -0.00106200   -0.00108100   -0.00111000   -0.00169100   -0.00177000   -0.00168300   -0.00131200   -0.00177700   -0.00182400   -0.00170500   2.12962700   0.84070400   0.87880400   0.20102600   0.01638300   0.26163700   0.52132500   0.01024200   0.29274000   0.04475500   0.15927300   0.01298200   0.13528500   400.0   0.000   0.562102   0.482730
7.500   -0.40000000   -3.36809700   -2.10067400   -1.75001900   -1.93339700   0.10159400   1.73864400   1.94135800   0.12832800   -0.00082600   -0.00128000   -0.43158700   0.01639900   -0.00428700   0.20913400   -3.37662100   -3.35772100   -3.36521900   -3.37555500   -3.36042800   -3.34466800   -3.35559500   -2.09855700   -2.08904600   -2.10367200   -2.10613800   -2.09442400   -2.10961900   -2.09984300   -0.63111700   -0.36470900   -0.41000800   -0.54970800   -0.33241500   -0.11304200   -0.55192900   -0.00146000   -0.00122200   -0.00146300   -0.00159800   -0.00123400   -0.00034100   -0.00141700   -0.00144400   -0.00118200   -0.00128700   -0.00193500   -0.00127700   -0.00090200   -0.00133800   -0.00134400   -0.00128100   -0.00128800   -0.00159300   -0.00128400   -0.00120700   -0.00134100   -0.00142700   -0.00126100   -0.00129300   -0.00142600   -0.00125200   -0.00034700   -0.00140100   -0.00086800   -0.00049500   -0.00100300   -0.00121900   -0.00077400   -0.00087500   -0.00066600   -0.00126300   -0.00135400   -0.00127000   -0.00088100   -0.00133500   -0.00140100   -0.00126200   -2.25430400   2.47242800   0.88100500   0.20173200   0.01289000   0.22066500   0.48504600   -0.00572200   0.24874000   0.03714200   0.12667700   0.01325200   0.12574700   400.0   0.000   0.500922   0.480025
10.000   -0.40000000   -3.83777900   -2.76899900   -1.73529500   -1.91814400   0.10231200   1.78043800   2.00091300   0.13064300   -0.00072800   -0.00104200   -0.42849100   0.01828200   -0.00554100   0.10122100   -3.81291800   -3.82434800   -3.82912900   -3.83850300   -3.84587500   -3.82173400   -3.81649300   -2.73557500   -2.75994500   -2.76428000   -2.75689100   -2.77309200   -2.78435900   -2.76183500   -0.56952700   -0.36212300   -0.38700400   -0.50596600   -0.38798800   -0.14345000   -0.53130600   -0.00130400   -0.00096900   -0.00121200   -0.00116400   -0.00103200   0.00002900   -0.00117200   -0.00122800   -0.00095600   -0.00113700   -0.00177600   -0.00105000   -0.00065200   -0.00112000   -0.00112300   -0.00106900   -0.00105200   -0.00123400   -0.00104700   -0.00099800   -0.00110600   -0.00123800   -0.00101100   -0.00103600   -0.00115800   -0.00105100   -0.00023500   -0.00114900   -0.00083000   -0.00039000   -0.00089900   -0.00125300   -0.00063500   -0.00073700   -0.00061100   -0.00108400   -0.00116600   -0.00112200   -0.00084600   -0.00108600   -0.00114600   -0.00107500   -6.94908300   3.23920600   0.88169200   0.20200400   0.01575700   0.18633700   0.40273400   -0.01216100   0.21444300   0.02009200   0.10909400   -0.00262900   0.11204300   400.0   0.000   0.453378   0.477483
