rup_mag,rup_rake,dist_rrup,site_vs30,result_type,component_type,damping,0.07,0.1,0.2,0.3,0.4,0.5,0.75,1,1.5,2,3,4,pga
4,0,0.019505231,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,0,5.559866553,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,0,18.90021346,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,0,50.39858029,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,0,83.35704446,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,0,116.5433737,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,90,0.019505231,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,90,5.559866553,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,90,18.90021346,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
4,90,50.39858029,800,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.84,0.85,0.87,0.89,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.83
