rup_mag,dist_rhypo,site_vs30,result_type,damping,pga,0.1,0.2,0.25,0.4,0.5,1,1.25,2
3,0.1,100,MEAN,5,0.024370393,0.036025366,0.032759515,0.020910268,0.013760127,0.009276493,0.003578912,0.001843724,0.000422962
3,1,100,MEAN,5,0.016973081,0.027402544,0.028413386,0.018874576,0.012485641,0.008554695,0.003225316,0.001700330,0.000393028
3,5,100,MEAN,5,0.001924536,0.003677160,0.006308145,0.005412177,0.003943866,0.003009248,0.001049192,0.000647349,0.000171097
3,10,100,MEAN,5,0.000504374,0.000942298,0.001734171,0.001617485,0.001324627,0.001034896,0.000387116,0.000254395,0.000078126
3,20,100,MEAN,5,0.000134319,0.000241800,0.000446420,0.000432630,0.000401048,0.000312351,0.000128341,0.000087162,0.000030944
3,50,100,MEAN,5,0.000028900,0.000050738,0.000092571,0.000090757,0.000092855,0.000071496,0.000029116,0.000019529,0.000007393
3,70,100,MEAN,5,0.000018586,0.000032893,0.000060083,0.000058458,0.000059520,0.000045770,0.000017029,0.000011076,0.000003981
3,90,100,MEAN,5,0.000014331,0.000025774,0.000047315,0.000045501,0.000045083,0.000034710,0.000011479,0.000007193,0.000002382
3,100,100,MEAN,5,0.000013141,0.000023869,0.000043972,0.000042000,0.000040833,0.000031477,0.000009750,0.000005987,0.000001889
3.2,0.1,100,MEAN,5,0.031886046,0.046283663,0.042176096,0.027507287,0.019886585,0.013438355,0.005192646,0.002905970,0.000808530
3.2,1,100,MEAN,5,0.022237160,0.035211258,0.036589736,0.024830909,0.018053641,0.012405356,0.004693553,0.002685058,0.000751972
3.2,5,100,MEAN,5,0.002541991,0.004730779,0.008144883,0.007125626,0.005736639,0.004421900,0.001576682,0.001045653,0.000330614
3.2,10,100,MEAN,5,0.000669628,0.001213328,0.002244332,0.002131200,0.001937861,0.001541831,0.000598632,0.000419984,0.000152340
3.2,20,100,MEAN,5,0.000179281,0.000311628,0.000579246,0.000570537,0.000590567,0.000472918,0.000204892,0.000147520,0.000060957
3.2,50,100,MEAN,5,0.000038850,0.000065469,0.000120538,0.000119832,0.000137970,0.000110694,0.000048547,0.000034200,0.000014769
3.2,70,100,MEAN,5,0.000025050,0.000042462,0.000078337,0.000077221,0.000088733,0.000071453,0.000028853,0.000019644,0.000007993
3.2,90,100,MEAN,5,0.000019354,0.000033282,0.000061751,0.000060125,0.000067378,0.000054525,0.000019685,0.000012878,0.000004800
