rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pgv,pga,0.01,0.02,0.025,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,2.5,3,4,5,7.5,10
7.25,80,345,456,MEAN,5,1.1328157594,0.0123503645,0.0127160591,0.0133037565,0.0135738690,0.0139925999,0.0147962502,0.0162270172,0.0206728853,0.0258067418,0.0313403697,0.0345000281,0.0370284511,0.0388646860,0.0361198508,0.0331789467,0.0225499586,0.0164234071,0.0088928041,0.0055363368,0.0038697753,0.0027378174,0.0016284753,0.0009855053,0.0004677625,0.0002619948
7.3,80,345,456,MEAN,5,1.2213980326,0.0133100143,0.0137026822,0.0143674188,0.0146589549,0.0151107048,0.0159778993,0.0175223152,0.0223226744,0.0278657112,0.0338412842,0.0372536824,0.0399819927,0.0419617474,0.0389986909,0.0358261974,0.0243538750,0.0177422793,0.0096103603,0.0059847127,0.0041842045,0.0029723558,0.0017753052,0.0010797659,0.0005139032,0.0002902274
7.5,80,345,456,MEAN,5,1.4981186483,0.0150606965,0.0155014645,0.0163021509,0.0166826961,0.0172477282,0.0182913907,0.0201186899,0.0257065527,0.0321851188,0.0392032354,0.0432842498,0.0465869785,0.0490326186,0.0457041629,0.0421147100,0.0287200282,0.0209929762,0.0114101017,0.0071296108,0.0050014538,0.0035687414,0.0021379138,0.0013042164,0.0006225930,0.0003526665
