rup_mag,dist_rrup,site_vs30,result_type,damping,pgv,pga,0.01,0.02,0.025,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,2.5,3,4,5,7.5,10
5.3,654,224,MEAN,5,0.0036146313,0.0000069329,0.0000075876,0.0000082137,0.0000083991,0.0000083410,0.0000082090,0.0000080883,0.0000085387,0.0000092529,0.0000106809,0.0000124604,0.0000155355,0.0000196038,0.0000241483,0.0000273388,0.0000496588,0.0000604732,0.0000736967,0.0000729350,0.0000655733,0.0000523639,0.0000405425,0.0000277328,0.0000175462,0.0000111769
7.1,654,224,MEAN,5,0.0572102812,0.0000880099,0.0000963177,0.0001007602,0.0001019280,0.0001001341,0.0000971403,0.0000946836,0.0000979967,0.0001046752,0.0001184614,0.0001362239,0.0001677169,0.0002097421,0.0002555005,0.0002902020,0.0006081749,0.0008201174,0.0011531282,0.0012655345,0.0012329942,0.0010518512,0.0009135342,0.0006815534,0.0005105516,0.0003665222
7.9,654,224,MEAN,5,0.2438552247,0.0002114662,0.0002314183,0.0002420919,0.0002448971,0.0002405848,0.0002333895,0.0002274856,0.0002354451,0.0002514908,0.0002924645,0.0003431187,0.0004282311,0.0005402726,0.0006645057,0.0007590234,0.0015985891,0.0021559696,0.0030246796,0.0033067342,0.0032092247,0.0027297529,0.0023577210,0.0017506746,0.0013011080,0.0009296415
