rup_mag,rup_hypo_depth,dist_rrup,site_vs30,site_z2pt5,result_type,damping,pgv,pga,0.01,0.02,0.025,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,2.5,3,4,5,7.5,10
7.6,20,200,20,20,MEAN,5,16.0642892810,0.0827576151,0.0902205275,0.0978344212,0.0975953436,0.0976508927,0.0973363001,0.1102832478,0.1565923393,0.1828987399,0.2102292858,0.2427948892,0.2733340397,0.2950843025,0.3894319918,0.4335413242,0.4532502105,0.4015366844,0.2395669760,0.1355026641,0.0974168657,0.0621489828,0.0292902047,0.0164972145,0.0064770041,0.0032726034
7.6,20,200,20,2000,MEAN,5,16.0642892810,0.0827576151,0.0902205275,0.0978344212,0.0975953436,0.0976508927,0.0973363001,0.1094801023,0.1556955214,0.1817364073,0.2089628002,0.2427948892,0.2677741436,0.2950843025,0.3894319918,0.4335413242,0.4532502105,0.4015366844,0.2395669760,0.1355026641,0.0974168657,0.0621489828,0.0292902047,0.0164972145,0.0064770041,0.0032726034
7.6,20,200,20,40,MEAN,5,16.0642892810,0.0827576151,0.0902205275,0.0978344212,0.0975953436,0.0976508927,0.0973363001,0.1102832478,0.1565923393,0.1828987399,0.2102292858,0.2427948892,0.2733340397,0.2950843025,0.3894319918,0.4335413242,0.4532502105,0.4015366844,0.2395669760,0.1355026641,0.0974168657,0.0621489828,0.0292902047,0.0164972145,0.0064770041,0.0032726034
7.7,20,200,20,20,MEAN,5,17.5366247246,0.0864657567,0.0941334753,0.1022368768,0.1021491808,0.1023574434,0.1021838242,0.1159679633,0.1649548283,0.1930307484,0.2223762035,0.2574713989,0.2905089145,0.3142971308,0.4157347401,0.4638997739,0.4861253859,0.4317456248,0.2582888650,0.1464759846,0.1055743883,0.0677355323,0.0319710111,0.0180341646,0.0070910577,0.0035882415
7.7,20,200,20,2000,MEAN,5,17.5366247246,0.0864657567,0.0941334753,0.1022368768,0.1021491808,0.1023574434,0.1021838242,0.1151234184,0.1640101177,0.1918040263,0.2210365412,0.2574713989,0.2845996637,0.3142971308,0.4157347401,0.4638997739,0.4861253859,0.4317456248,0.2582888650,0.1464759846,0.1055743883,0.0677355323,0.0319710111,0.0180341646,0.0070910577,0.0035882415
7.7,20,200,20,40,MEAN,5,17.5366247246,0.0864657567,0.0941334753,0.1022368768,0.1021491808,0.1023574434,0.1021838242,0.1159679633,0.1649548283,0.1930307484,0.2223762035,0.2574713989,0.2905089145,0.3142971308,0.4157347401,0.4638997739,0.4861253859,0.4317456248,0.2582888650,0.1464759846,0.1055743883,0.0677355323,0.0319710111,0.0180341646,0.0070910577,0.0035882415
7.8,20,200,20,20,MEAN,5,19.1352321976,0.0902831514,0.0981480826,0.1067637068,0.1068421496,0.1072170708,0.1071991512,0.1218629213,0.1736480368,0.2035918486,0.2350804688,0.2728801138,0.3085983084,0.3345921620,0.4436061746,0.4961703238,0.5211806590,0.4640668864,0.2783930453,0.1583001667,0.1143931919,0.0738242547,0.0348971802,0.0197143033,0.0077633268,0.0039343224
7.8,20,200,20,2000,MEAN,5,19.1352321976,0.0902831514,0.0981480826,0.1067637068,0.1068421496,0.1072170708,0.1071991512,0.1209754460,0.1726535394,0.2022980100,0.2336642721,0.2728801138,0.3023211008,0.3345921620,0.4436061746,0.4961703238,0.5211806590,0.4640668864,0.2783930453,0.1583001667,0.1143931919,0.0738242547,0.0348971802,0.0197143033,0.0077633268,0.0039343224
7.8,20,200,20,40,MEAN,5,19.1352321976,0.0902831514,0.0981480826,0.1067637068,0.1068421496,0.1072170708,0.1071991512,0.1218629213,0.1736480368,0.2035918486,0.2350804688,0.2728801138,0.3085983084,0.3345921620,0.4436061746,0.4961703238,0.5211806590,0.4640668864,0.2783930453,0.1583001667,0.1143931919,0.0738242547,0.0348971802,0.0197143033,0.0077633268,0.0039343224
7.7,2,222,555,0,MEAN,5,1.8868078985,0.0130506740,0.0144764340,0.0154769299,0.0155190435,0.0159508322,0.0168872473,0.0188650527,0.0235045552,0.0273892656,0.0311050675,0.0354544790,0.0351094081,0.0308370645,0.0298897235,0.0265293736,0.0210345543,0.0180091877,0.0159446952,0.0121116598,0.0118135364,0.0086737040,0.0054155772,0.0038509367,0.0018912608,0.0011553016
7.7,2,222,555,0,MEAN,5,1.8868078985,0.0130506740,0.0144764340,0.0154769299,0.0155190435,0.0159508322,0.0168872473,0.0188650527,0.0235045552,0.0273892656,0.0311050675,0.0354544790,0.0351094081,0.0308370645,0.0298897235,0.0265293736,0.0210345543,0.0180091877,0.0159446952,0.0121116598,0.0118135364,0.0086737040,0.0054155772,0.0038509367,0.0018912608,0.0011553016
7.7,2,222,555,0,MEAN,5,1.8868078985,0.0130506740,0.0144764340,0.0154769299,0.0155190435,0.0159508322,0.0168872473,0.0188650527,0.0235045552,0.0273892656,0.0311050675,0.0354544790,0.0351094081,0.0308370645,0.0298897235,0.0265293736,0.0210345543,0.0180091877,0.0159446952,0.0121116598,0.0118135364,0.0086737040,0.0054155772,0.0038509367,0.0018912608,0.0011553016
